,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Connection Size,Connection Type,Type,Grade,Attachment 2,Attachment 3,Diameter,Operating Temperature,Range,Weight,Size,Colour,Material,Number of Ports,Operator Type,Seal Material,Thread Size,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Attachment 4,Attachment 5,Attachment 6,Pack Quantity
0,P236570,Center Brass Compression Stop Cock 15mm,Center,3.97,"Suitable for use in hot or cold water systems, this Center 15mm compression stop cock is manufactured in robust brass and has a tap handle for shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Center Brass Compression Stop Cock 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/70/236570_wm.jpg,N,CMTFST-15,N,Brass construction,Compression connection,Tap handle shut-off,Maximum operating pressure 16 bar,Maximum temperature 85°C,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P172121,Midbrass HP (type A) brass plain shank drain cock 15mm,Midbrass,1.79,"This Midland Brass brass drain cock provides a handy draw-off point in a pipe, system or tank. It is installed with a 15mm connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midbrass HP (type A) brass plain shank drain cock 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/21/NW-172121_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/PYorkshire_Performa_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P250276,Tradefix brass plain shank drain cock (Type-A) 15mm,Tradefix,2.91,"Allowing for the draining of a central heating system for maintenance, this Tradefix 15mm capillary solder drain cock is designed for soldering into 15mm copper pipe. A serrated outlet nozzle makes connecting a hose pipe possible for easier, directed drainage. Hardwearing and tough, the main body of the valve is manufactured from hot-forged brass.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Tradefix brass plain shank drain cock (Type-A) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/76/250276_wm.jpg,N,BFDOCTA-15,N,Heavy pattern,Complies with BS 2879/2,12 month warranty,,,,,15mm,Threaded,Drain Cock,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P172124,Midland Brass brass extended plain shank drain cock (Type-A) 15mm,Midland Brass,4.85,"This Midland Brass brass drain cock provides a handy draw-off point in a pipe, system or tank. It is installed with a 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass brass extended plain shank drain cock (Type-A) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/24/NW-172124_wm.jpg,N,MBFDOCTAEX-15,N,Brass construction,Metallic finish,12 month warranty,,,,,15mm,Threaded,Drain Cock,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P236569,Center Brass Compression Stop Cock 22mm,Center,8.75,"Suitable for use in hot or cold water systems, this Center 22mm compression stop cock is manufactured in robust brass and has a tap handle for shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Center Brass Compression Stop Cock 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/69/236569_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/69/236569.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/k_/v2/ 236570 Brass Stopcock v2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
5,PF82911,Midland Brass MDPE x copper stop cock 25 x 22mm,Midland Brass,10.0,This Midland Brass brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is fitted with a 25 x 22mm threaded x compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass MDPE x copper stop cock 25 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/12/NW-F82910_F82912_wm.jpg,N,MBFST-2522W,N,CW617N brass material,"Can blank-off 1/2"" BSP thread/15mm compression fitting",12 month warranty,,,,,25 x 22 mm,Threaded x Compression,Stopcock,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PN11370,JET Range CXC automatic air vent 15 mm,JET Range,11.04,"Continually removing the air that builds up inside a heating system, the JET range CXC 15mm automatic air vent eliminates the need for manual venting. Made up of a simple float connected to a valve, the AAV opens to release trapped air as a pre-determined level of air inside the float chamber is reached. After release the liquid in the system rises, moving the float back to its starting position to reseal the valve.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> JET Range CXC automatic air vent 15 mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/70/N11370_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/N11370 Installation & User Guide.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/N11370 Auto Air Vent TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
7,PF82912,Midland Brass MDPE x copper stop cock 25 x 15mm,Midland Brass,7.49,This Midland Brass brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is fitted with a 25 x 15mm threaded x compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass MDPE x copper stop cock 25 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/12/NW-F82910_F82912_wm.jpg,N,MBFST-2515W,N,CW617N brass material,Meets EN 1213 standard,WRAS approved,12 month warranty,,,,25 x 15 mm,Threaded x Compression,Stopcock,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P598012,Surestop Surestop Stopcock  SS/15/RPL pushfit remote stopcock 15mm,Surestop,66.25,"Suitable for use with copper or plastic pipes, the push-fit Surestop 15mm stopcock is ideal for the isolation of a water supply for maintenance or in an emergency. Supplied with a remote switch for fitting onto a wall or in a cupboard for convenient ease of access, this stopcock is the ideal choice for properties where pipework is difficult to get to or where the water supply needs to be isolated regularly.","Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Surestop Surestop Stopcock  SS/15/RPL pushfit remote stopcock 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/13/NW-598012_598013_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ep/17/Surestop_Brochure_Sep17.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/598012_598013.Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Surestop_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
9,P292004,Midland Brass brass copper x copper stop cock 28mm,Midland Brass,31.21,This Midland Brass brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is fitted with a 28mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Stopcocks/Stopcocks.csv -> Midland Brass brass copper x copper stop cock 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/04/NW-292004_wm.jpg,N,MBFST-28W,N,Meets EN 1213 standard,12 month warranty,,,,,,28 mm,Compression,Stopcock,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,
