,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1
0,P657907,Danfoss SC15CL spare part - compressor (Single Pack),Danfoss,413.77,"A genuine Danfoss spare, this SC15CL compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss SC15CL spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/sc/657898_657983_SC_wm.jpg,Single Pack,N,118U5349,Compressor,N,Single pack,Suitable for R4040A refrigerant,Compressor power supply 220/240V single phase 50Hz,
1,P657958,Danfoss SC12CNX/A spare part - compressor (Single Pack),Danfoss,464.52,"A genuine Danfoss spare, this SC12NX/A compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss SC12CNX/A spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/sc/657898_657983_SC_wm.jpg,Single Pack,N,118U5408,Compressor,N,Single pack,Suitable for R290 refrigerant,Compressor power supply 220/240V single phase 50Hz,
2,P657898,Danfoss FR6CL spare part - compressor (Single Pack),Danfoss,308.57,"A genuine Danfoss spare, this FR6CL compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss FR6CL spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/fr/657898_657983_FR_wm.jpg,Single Pack,N,118U5338,Compressor,N,Single pack,Suitable for R4040A refrigerant,Compressor power supply 220/240V single phase 50Hz,
3,P657910,Danfoss FR10G spare part - compressor (Single Pack),Danfoss,287.74,"A genuine Danfoss spare, this FR10G compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss FR10G spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/fr/657898_657983_FR_wm.jpg,Single Pack,N,118U5352,Compressor,N,Single pack,Suitable for R134A refrigerant,Compressor power supply 220V single phase 50/60Hz,
4,P657959,Danfoss SC15CNX/A spare part - compressor (Single Pack),Danfoss,491.48,"A genuine Danfoss spare, this SC15CNX/A compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss SC15CNX/A spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/sc/657898_657983_SC_wm.jpg,Single Pack,N,118U5409,Compressor,N,Single pack,Suitable for R290 refrigerant,Compressor power supply 220/240V single phase 50Hz,
5,P657919,Danfoss FR7.5G spare part - compressor (Single Pack),Danfoss,277.37,"A genuine Danfoss spare, this FR7.5G compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss FR7.5G spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/fr/657898_657983_FR_wm.jpg,Single Pack,N,118U5362,Compressor,N,Single pack,Suitable for R134A refrigerant,Compressor power supply 220V single phase 50/60Hz,
6,P657912,Danfoss SC18G spare part - compressor (Single Pack),Danfoss,444.99,"A genuine Danfoss spare, this SC18G compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss SC18G spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/sc/657898_657983_SC_wm.jpg,Single Pack,N,118U5354,Compressor,N,Single pack,Suitable for R134A refrigerant,Compressor power supply 220V single phase 50/60Hz,
7,P657924,Danfoss SC12G spare part - compressor (Single Pack),Danfoss,367.66,"A genuine Danfoss spare, this SC12G compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss SC12G spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/sc/657898_657983_SC_wm.jpg,Single Pack,N,118U5367,Compressor,N,Single pack,Suitable for R134A refrigerant,Compressor power supply 220V single phase 50/60Hz,
8,P657920,Danfoss FR8.5G spare part - compressor (Single Pack),Danfoss,284.41,"A genuine Danfoss spare, this FR8.5G compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss FR8.5G spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/fr/657898_657983_FR_wm.jpg,Single Pack,N,118U5363,Compressor,N,Single pack,Suitable for R134A refrigerant,Compressor power supply 220V single phase 50/60Hz,
9,P657928,Danfoss FR6DL spare part - compressor (Single Pack),Danfoss,321.26,"A genuine Danfoss spare, this FR6DL compressor is part of the brand's light commercial refrigeration range.",Refrigeration/Condensing Units/Condensing Units Parts and Accessories/Condensing Units Parts and Accessories.csv -> Danfoss FR6DL spare part - compressor (Single Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/fr/657898_657983_FR_wm.jpg,Single Pack,N,118U5373,Compressor,N,Single pack,Suitable for R4040A refrigerant,Compressor power supply 220/240V single phase 50Hz,
