,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Evaporator Fans,Hazardous,Power Supply,Supplier Product Code,Type,WEEE Compliant,Connection Size,Pressure,Feature 1,Weight,Defrost,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Pack Quantity,Material Type,Warranty,Material,Amps,Connection Type,Voltage Rating,Display Type,Sensor,Application,Operating Temperature Range (C),Feature 13,Feature 14,Electric Supply,Cable Length (m),IP Rating,Maximum Working Pressure (Bar g),Feature 15
0,P675003,"Danfoss EVR3 normally closed solder solenoid valve 3/8""",Danfoss,43.42,"A direct or servo operated solenoid valve, the Danfoss EVR3 is designed for use in liquid, suction and hot gas lines. It offers compatibility with most refrigerants, including flammable options. This solenoid valve has 3/8"" solder ODF connections.","Refrigeration/Controls/Controls.csv -> Danfoss EVR3 normally closed solder solenoid valve 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/03/NW-675003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fe/ty/Danfoss_EVR_Safety.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_EVR_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_EVR_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_SolenoidValve_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P693155,Dixell Universal R controller,Dixell,80.12,"Dixell offer a complete range of electronic controllers and monitoring systems for refrigeration applications.  The Universal-R and Universal-J offer fast, easy to use solutions for the service replacement of standard 32 x 74 mm format refrigeration controllers",Refrigeration/Controls/Controls.csv -> Dixell Universal R controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/693155.jpg_wm.jpg,,,,,Dixell,7 Amps,N,12v or 230v,DIXL042,Controller,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P673662,Eliwell Idnext IDN974PED3070000 974 p NTC 2hp/8/5 230vac buz,Eliwell,60.78,"Controllers in the IDNext range are new-generation devices suitable for static and ventilated units at normal and low temperatures. IDNext range is suitable for use with units which utilize flammable refrigerants in category 2L or 3, such as R290 or R600. IDNext provides an innovative modular defrost management which is under patent process due to its uniqueness in the refrigeration market.",Refrigeration/Controls/Controls.csv -> Eliwell Idnext IDN974PED3070000 974 p NTC 2hp/8/5 230vac buz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/673661_673662.jpg_wm.jpg,,,,,IDNEXT,,N,,IDN974PED307000,Temperature controllers,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P672332,"Henry Technologies 5231 pressure relief valve 27.6bar 1/2x5/8"" (ce ped)",Henry Technologies,69.3,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 1/2"" NPTF x 5/8"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Controls.csv -> Henry Technologies 5231 pressure relief valve 27.6bar 1/2x5/8"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/32/NW-672329_672332_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P675633,Ranco O17 O17-R4701 flared dual pressure control,Ranco,44.08,"Certified for use as a specific safety device, this Ranco O17-R4701 adjustable dual pressure switch with 1/4"" flare connection is part of an SPDT series with high capacity contacts. Switches in this range are supplied in various pressure ranges and with fittings including a solder braze tube, mechanical fitting or with capillary and switch action. Suitable for use in commercial applications, O16 switches control refrigeration cabinets and chillers or can be used as safety cut-outs.",Refrigeration/Controls/Controls.csv -> Ranco O17 O17-R4701 flared dual pressure control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/33/NW-675633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ranco_O16_O17_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ranco_O16_O17_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ranco_O16_O17_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ranco_O-Series_HD_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P675088,Danfoss TES 2 flared external equalization (Range-N),Danfoss,67.72,"Used to regulate the injection of R404A or R507A refrigerant into an evaporator, the Danfoss TE2 3/8 x 1/2"" thermostatic expansion valve is particularly well suited to liquid injection in dry evaporators where the superheat at the evaporator's outlet is proportional to evaporator load.",Refrigeration/Controls/Controls.csv -> Danfoss TES 2 flared external equalization (Range-N),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/88/NW-675088_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_T2_TE2_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P675427,Danfoss EVR6 normally closed solenoid valve 1/2'',Danfoss,56.95,"A direct or servo operated solenoid valve, the Danfoss EVR6 is designed for use in liquid, suction and hot gas lines. It offers compatibility with most refrigerants, including flammable options. This solenoid valve has 1/2"" solder ODF connections.",Refrigeration/Controls/Controls.csv -> Danfoss EVR6 normally closed solenoid valve 1/2'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/28/NW-675427_675428_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fe/ty/Danfoss_EVR_Safety.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_EVR_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_EVR_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_SolenoidValve_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P675109,Danfoss T2/TE2 flared orifice (03),Danfoss,16.2,"Compatible with a variety of refrigerants, this Danfoss T2/TE2 size 03 orifice is intended for use with thermostatic expansion valves. It has a flare connection type.",Refrigeration/Controls/Controls.csv -> Danfoss T2/TE2 flared orifice (03),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/12/NW-675106_675112_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_T2_TE2_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P623364,Danfoss TE2 range-N flare/solder thermostatic expansion valve (refrigerant R448A/R449A),Danfoss,67.72,"Used to regulate the injection of R448A and R449A refrigerant into an evaporator, the Danfoss TE2 3/8 x 1/2"" thermostatic expansion valve is particularly well suited to liquid injection in dry evaporators where the superheat at the evaporator's outlet is proportional to evaporator load.",Refrigeration/Controls/Controls.csv -> Danfoss TE2 range-N flare/solder thermostatic expansion valve (refrigerant R448A/R449A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/64/NW-623363_623364_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_T2_TE2_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P675119,Danfoss T2/TE2 solder orifice (03),Danfoss,16.2,"Compatible with a variety of refrigerants, this Danfoss T2/TE2 size 03 orifice is intended for use with thermostatic expansion valves. It has a solder connection type.",Refrigeration/Controls/Controls.csv -> Danfoss T2/TE2 solder orifice (03),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/22/NW-675115_675122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_T2_TE2_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
