,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Evaporator Fans,Hazardous,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 1,Amps,Connection Type,Voltage Rating,Display Type,Sensor,Application,Electric Supply,Defrost,Feature 13,Feature 14,Feature 15
0,P693155,Dixell Universal R controller,Dixell,80.12,"Dixell offer a complete range of electronic controllers and monitoring systems for refrigeration applications.  The Universal-R and Universal-J offer fast, easy to use solutions for the service replacement of standard 32 x 74 mm format refrigeration controllers",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Dixell Universal R controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/693155.jpg_wm.jpg,Dixell,7 Amps,N,12v or 230v,DIXL042,Controller,N,,,,,,,,,,,,,,,,,,,,,,,,
1,P673662,Eliwell Idnext IDN974PED3070000 974 p NTC 2hp/8/5 230vac buz,Eliwell,60.78,"Controllers in the IDNext range are new-generation devices suitable for static and ventilated units at normal and low temperatures. IDNext range is suitable for use with units which utilize flammable refrigerants in category 2L or 3, such as R290 or R600. IDNext provides an innovative modular defrost management which is under patent process due to its uniqueness in the refrigeration market.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Eliwell Idnext IDN974PED3070000 974 p NTC 2hp/8/5 230vac buz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/673661_673662.jpg_wm.jpg,IDNEXT,,N,,IDN974PED307000,Temperature controllers,N,,,,,,,,,,,,,,,,,,,,,,,,
2,P673658,Eliwell IDNEXT 961 P NTC 2hp 230Vac air -hc,Eliwell,45.86,Controllers in the IDNext range are new-generation devices suitable for static and ventilated units at normal and low temperatures.,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Eliwell IDNEXT 961 P NTC 2hp 230Vac air -hc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/58/673658_wm.jpg,IDNEXT,,N,,IDN961P7D107000,Thermostat,N,,,,,,,,,,,,,,,,,,,,,,,,
3,P673660,Eliwell IDNEXT 971 P NTC 2hp/8 230Vac buz air -hc,Eliwell,57.14,Controllers in the IDNext range are new-generation devices suitable for static and ventilated units at normal and low temperatures.,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Eliwell IDNEXT 971 P NTC 2hp/8 230Vac buz air -hc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/60/673660_wm.jpg,IDNEXT,,N,,IDN971P9D307000,Thermostat,N,,,,,,,,,,,,,,,,,,,,,,,,
4,P673661,Eliwell Idnext IDN974PED3030000 974 p NTC 2hp/8/5 12vac/dc bu,Eliwell,66.07,"Controllers in the IDNext range are new-generation devices suitable for static and ventilated units at normal and low temperatures. IDNext range is suitable for use with units which utilize flammable refrigerants in category 2L or 3, such as R290 or R600. IDNext provides an innovative modular defrost management which is under patent process due to its uniqueness in the refrigeration market.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Eliwell Idnext IDN974PED3030000 974 p NTC 2hp/8/5 12vac/dc bu,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/673661_673662.jpg_wm.jpg,IDNEXT,,N,,IDN974PED303000,Temperature controllers,N,,,,,,,,,,,,,,,,,,,,,,,,
5,P692397,Eliwell EWRC 500 RCS3UDTX2E700 electronic cold room control 2HP NT RTC HACCP coldface,Eliwell,129.78,"EWRC 500 NT Electronic Cold Room Control NTC, PTC, RTC, HACCP, 230Vac 4DIN.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Eliwell EWRC 500 RCS3UDTX2E700 electronic cold room control 2HP NT RTC HACCP coldface,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/97/692397_wm.jpg,EWRC 500,,N,,RCS3UDTX2E700,Electronic Cold Room Control,N,Easy access to parameter settings,"Either 3 or 5 output relays, configurable","3 sensor inputs, NTC or PTC configurable","2 digital inputs, configurable","Embedded Real Time Clock to enable scheduling for defrost, loads activation, economy mode or standby","Up to 6 different parameter sets, selectable by of a single parameter change covering various applications",HACCP management with storage up to 20 temperature alarms and 20 power failure alarms,"Deep cooling cycle, pressure switch management, pump-down",Large internal space to host wiring and accessories,Quick programming through Copy Card or Unicard,Quick and smart programming with PC using the Device Manager software tool,Compatible with Eliwell Televis supervision systems and standard Modbus monitoring systems,,,,,,,,,,,,
6,P670063,Danfoss XGE-4C fan speed controller,Danfoss,123.67,Speed controller.,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss XGE-4C fan speed controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/65/670065_wm.jpg,,,N,,061H3140,Speed Fan Controller,N,Controls fan motors from 0.2 to 3.0 amps,,,,,,,,,,,,,,,,,,,,,,,
7,P623372,Danfoss Superheat EKE 1A controller,Danfoss,228.0,"A Danfoss Superheat EKE 1A controller. Danfoss is committed to energy efficient solutions for better, more comfortable indoors environments.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss Superheat EKE 1A controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/s_/92/Danfoss_92_wm.jpg,Superheat,,N,,080G5300,EKE 1A,N,"Valve output type: ETS 100, ETS 25, ETS 50, ETS 6",Alarm management,Defrost Sequence,"Ext. reference, SH control",Limitation functions,Manual operation,Preset OD,Reversible system with 1 EXV,Service mode,Start up,Superheat reference,Valve driver: Reference of OD,,,,,,,,,,,,
8,P623378,Danfoss MMIGRS2 electric control panel,Danfoss,199.62,"A remote interface for the MCX family, this Danfoss MMIGRS2 control panel has a graphic display for complete customisation of the user interface. Connecting to MCX range units via the CANbus network, this control panel needs no programming because all user interface info is present in the MCX controller. Powered externally or from the connected controller, MMIGRS2 automatically displays the user interface on its high-res LCD display.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss MMIGRS2 electric control panel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/78/NW-623378_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_MMIGRS2_Technical.pdf,,,,,,,,,,,
9,P601688,Danfoss EKE/EKD 080G5555 backup power module 2U 24V,Danfoss,185.6,Backup power module for use with EKE and EKD products,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss EKE/EKD 080G5555 backup power module 2U 24V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/88/601688_wm.jpg,EKE/EKD,,N,,080G5555,EKE 2U,N,,,,,,,,,,,,,,,,,,,,,,,,
