,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Weight,Defrost,Hazardous,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 2,Attachment 3,Cable Length (m),IP Rating
0,P673946,Eliwell SN8 NTC sensor pvc 3.0m x 6mm x 40mm  -15/100c,Eliwell,8.61,"Detecting temperatures in a chosen application, the Eliwell SN8 PTC sensor should be selected based on precise criteria, bearing in mind the characteristics of the probe itself. Accurate selection minimises the risk of errors and potential breakdown.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Eliwell SN8 NTC sensor pvc 3.0m x 6mm x 40mm  -15/100c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/46/NW-673946_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Eliwell_SN7_SN8_Brochure.pdf,,,,,,,,,,,,,,,,,,,
1,P673944,Eliwell SN8 NTC sensor -15/+100c 1.5mtr x 6 x 40mm,Eliwell,4.88,"Detecting temperatures in a chosen application, the Eliwell SN8 PTC sensor should be selected based on precise criteria, bearing in mind the characteristics of the probe itself. Accurate selection minimises the risk of errors and potential breakdown.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Eliwell SN8 NTC sensor -15/+100c 1.5mtr x 6 x 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/44/NW-673944_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Eliwell_SN7_SN8_Brochure.pdf,,,,,,,,,,,,,,,,,,,
2,P673886,Eliwell SN7 PTC sensor with cable 1.5mtr -50/140c,Eliwell,6.4,"Detecting temperatures in a chosen application, the Eliwell SN7 PTC sensor should be selected based on precise criteria, bearing in mind the characteristics of the probe itself. Accurate selection minimises the risk of errors and potential breakdown.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Eliwell SN7 PTC sensor with cable 1.5mtr -50/140c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/86/NW-673886_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Eliwell_SN7_SN8_Brochure.pdf,,,,,,,,,,,,,,,,,,,
3,P673882,Eliwell SN7 PTC sensor with cable 2.5mtr -20/80c,Eliwell,5.23,"Detecting temperatures in a chosen application, the Eliwell SN7 PTC sensor should be selected based on precise criteria, bearing in mind the characteristics of the probe itself. Accurate selection minimises the risk of errors and potential breakdown.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Eliwell SN7 PTC sensor with cable 2.5mtr -20/80c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/82/NW-673882_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Eliwell_SN7_SN8_Brochure.pdf,,,,,,,,,,,,,,,,,,,
4,P675421,Alco PT5N PT5N-07M suction pressure transducer,Alco,110.22,"The Alco PT5N-07M -0.8 to 7 bar pressure transmitter is built to convert pressure into a linear electrical 4 to 20 mA output signal. This signal can control simple compressor and fan switching, converting it to superheat modulation of an electronic control valve. Featuring an easy installation pre-fabricated M12 cable assembly and 7/16"" UNF connection, the PT5N transmitter is an affordable and high performing  choice for heat pump, refrigeration and air conditioning use.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Alco PT5N PT5N-07M suction pressure transducer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/23/NW-675421_675423_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alco_PT5N_Brochure.pdf,,,,,,,,,,,,,,,,,,,
5,P692375,Eliwell ID Plus ID+974 NTC sensor 8a 12V,Eliwell,70.66,"Electronic controllers for static, ventilated refrigerators and heated surfaces in the catering industry. Enriched by functions such as Deep Cooling Cycle (advanced algorithm that allows a rapid reduction in temperature), Easy Map (function that allows multiple preloaded machine configurations) and Condenser Over Heating (function that allows monitoring of the compressor discharge temperature, notifying the need for maintenance of the condenser).",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Eliwell ID Plus ID+974 NTC sensor 8a 12V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/75/692375_wm.jpg,,ID Plus,150.00000,8 Amps,N,12V,IDP2EDB3E0000,Sensor,N,New simplified range of controllers,Standard eliwell 32x74mm format,All controllers with one voltage free digital input,Display with 3 digits and 8 coloured icons,Connections: ttl port for connections to usb unicard or televis system,All suitable for 230vac supply - no transformer required,Buzzer,,,,
6,P673951,Eliwell SN7 PTC sensor with cable 1.5mtr -20/+80c,Eliwell,4.88,"Detecting temperatures in a chosen application, the Eliwell SN7 PTC sensor should be selected based on precise criteria, bearing in mind the characteristics of the probe itself. Accurate selection minimises the risk of errors and potential breakdown.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Eliwell SN7 PTC sensor with cable 1.5mtr -20/+80c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/51/NW-673951_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Eliwell_SN7_SN8_Brochure.pdf,,,,,,,,,,,,,,,,,,,
7,P668368,Carel negative temperature coefficient temperature sensor,Carel,6.6,"A high quality passive temperature probe, this Carel NTC sensor senses the value of the heater, converting it into a temperature via the electronic control. Suitable for use in HVAC/R, this NTC sensor is part of a range designed to meet the various needs of different installations.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Carel negative temperature coefficient temperature sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/68/NW-668368_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Carel_Sensor_Brochure.pdf,,,,,,,,,,,,,,,,,,,
8,P761235,Danfoss AKS33 transducer -1-12bar,Danfoss,271.15,"With a pressure rating of -1 to 12 bar, this Danfoss AKS33 pressure transmitter with 1/4"" flare connection measures pressure and converts it into a standard signal. This hardwearing transmitter is recommended for use in air conditioning systems, refrigeration plants, process control and laboratories.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Danfoss AKS33 transducer -1-12bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/35/NW-761235_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AKS33_Brochure.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_AKS_Installation.pdf,,,
9,P600044,Danfoss EKS221 plastic cable 3.5mtr,Danfoss,13.47,"The Danfoss EKS221 temperature sensor has characteristics suitable for Optyma room controllers and MCX unit controllers. It is used for temperature measurement in refrigeration, air conditioning and heating applications.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Danfoss EKS221 plastic cable 3.5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/44/NW-600044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_EKS221_Installation.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_EKS221_Brochure.pdf,,,
