,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Range,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Pack Quantity,Attachment 2,Attachment 3
0,P688625,Europa PX coupler including depressor 500mm,Europa,6.58,This Europa PX 500mm coupler is supplied with depressor.,Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Europa PX coupler including depressor 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/25/688625_wm.jpg,N,688625*,Coupler,N,500mm,Including depressor,,,,,,,,,,,,,,,,,
1,P674126,Eliwell Angle Mounting Bracket,Eliwell,1.53,This Eliwell O Controls angle mounting bracket is made of steel.,Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Eliwell Angle Mounting Bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/26/NW-674126_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Eliwell_Product_Catalogue.pdf,,,,,,,,,,,,,,,,
2,P692545,Europa Pressure Coupler 1m,Europa,6.62,A Europa 1M pressure coupler.,Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Europa Pressure Coupler 1m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/45/NW-692545_wm.jpg,N,PC-1000,Pressure Coupler,N,1meter length,,,,,,,,,,,,,,,,,,
3,P672100,"Henry Technologies S-5180 helical oil separator 1/4""",Henry Technologies,196.15,"The Henry Technologies S-5180 1/4"" helical oil separator offers a higher level of efficiency compared to traditional separator designs. Removing oil from discharge gas and returning it to the compressor, this 1/4"" separator assists in the maintenance of crankcase oil levels while also improving system efficiency by reducing oil circulation.","Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Henry Technologies S-5180 helical oil separator 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ic/al/Helical_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/es/Henry_10-15_Brochures.pdf,,,,,,,,,,,,,,,,
4,P672228,"Henry Technologies oil lever switch 3/4""",Henry Technologies,139.96,"This Henry Technologies liquid level switch with 3/4"" connection detects and monitors oil liquid levels. S-94 series electronic level switches employ infrared light reflected from a conical glass prism to detect the absence of fluid at the level of the glass cone.","Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Henry Technologies oil lever switch 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/28/NW-672228_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Product_Catalogue.pdf,,,,,,,,,,,,,,,,
5,P605015,"Henry Technologies V vibration eliminator 1/2""",Henry Technologies,18.13,"Designed to absorb compressor vibration, the Henry Technologies V series 1/2"" vibration eliminator helps to prevent damage to system equipment or pipework. It is constructed of a deep pitch corrugated hose covered with a stainless steel braid reinforced by ferrules at each end and connects to copper tube ends via a high temperature braze alloy.","Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Henry Technologies V vibration eliminator 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/22/NW-605015_605022_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Product_Catalogue.pdf,,,,,,,,,,,,,,,,
6,P605021,"Henry Technologies V vibration eliminator 1.5/8""",Henry Technologies,69.46,"Designed to absorb compressor vibration, the Henry Technologies V series 1 5/8"" vibration eliminator helps to prevent damage to system equipment or pipework. It is constructed of a deep pitch corrugated hose covered with a stainless steel braid reinforced by ferrules at each end and connects to copper tube ends via a high temperature braze alloy.","Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Henry Technologies V vibration eliminator 1.5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/22/NW-605015_605022_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Product_Catalogue.pdf,,,,,,,,,,,,,,,,
7,P623370,Danfoss female angled connector cable 2mtr,Danfoss,19.0,"Measuring 2M in length, this Danfoss cable with M12 female angled connector is compatible with ETS 100, ETS 25 and ETS 50.",Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Danfoss female angled connector cable 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/70/NW-623370_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_034G7073_Declaration.pdf,,,,,,,,,,,,,,,,
8,P672203,"Henry Technologies flared oil filter drier 3/8""",Henry Technologies,82.44,"Especially suitable for systems using highly hydroscopic POE oil, this Henry Technologies S-4005 oil filter drier works on the basis that POE oil absorbs moisture at a much higher rate than mineral oils, meaning a higher risk of issues and damage in a refrigeration system.","Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Henry Technologies flared oil filter drier 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/03/NW-672203_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Product_Catalogue.pdf,,,,,,,,,,,,,,,,
9,P605016,"Henry Technologies V vibration eliminator 5/8""",Henry Technologies,19.81,"Designed to absorb compressor vibration, the Henry Technologies V series 5/8"" vibration eliminator helps to prevent damage to system equipment or pipework. It is constructed of a deep pitch corrugated hose covered with a stainless steel braid reinforced by ferrules at each end and connects to copper tube ends via a high temperature braze alloy.","Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Henry Technologies V vibration eliminator 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/22/NW-605015_605022_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Product_Catalogue.pdf,,,,,,,,,,,,,,,,
10,P690742,Alco TraxOil OM3-CCA oil management scroll 3/4-14NPTF,Alco,458.27,"This Alco TraxOil OM3-CCA oil management system measures and displays oil levels using a Hall sensor and magnetic float. It is compatible with Copeland ZB15 - ZB48, Copeland ZBD21 - ZBD45 and Copeland ZB56/75/92.",Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Alco TraxOil OM3-CCA oil management scroll 3/4-14NPTF,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/42/NW-690742_wm.jpg,N,805304,Oil Management System,N,Moulded housing,Electrical connection with moulded cable assemblies,,TraxOil,Three-zone level control via precision Hall-sensor measurement,3/4-14 NPTF,230VAC/3A rated SPDT output contact for compressor shut down/alarming,Easy installation via sight-glass replacement and front side mounting,No nuts required,Self-contained unit with oil level sensor and integral solenoid manages oil supply,"LED alarm, status and three-zone indication","24V AC, 50/60Hz power supply",Adapters are compatible with various compressor types,Recommended by leading compressor manufacturers,IP65 rated,CE marking under low voltage and EMC directive,,,
11,P605018,"Henry Technologies V vibration eliminator 7/8""",Henry Technologies,28.33,"Designed to absorb compressor vibration, the Henry Technologies V series 7/8"" vibration eliminator helps to prevent damage to system equipment or pipework. It is constructed of a deep pitch corrugated hose covered with a stainless steel braid reinforced by ferrules at each end and connects to copper tube ends via a high temperature braze alloy.","Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Henry Technologies V vibration eliminator 7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/22/NW-605015_605022_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Product_Catalogue.pdf,,,,,,,,,,,,,,,,
12,P605020,"Henry Technologies V vibration eliminator 1.3/8""",Henry Technologies,52.35,"Designed to absorb compressor vibration, the Henry Technologies V series 1 3/8"" vibration eliminator helps to prevent damage to system equipment or pipework. It is constructed of a deep pitch corrugated hose covered with a stainless steel braid reinforced by ferrules at each end and connects to copper tube ends via a high temperature braze alloy.","Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Henry Technologies V vibration eliminator 1.3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/22/NW-605015_605022_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Product_Catalogue.pdf,,,,,,,,,,,,,,,,
13,P672076,"Henry Technologies flared oil line strainer 3/8""",Henry Technologies,47.72,"Suitable for use in low or high pressure oil management systems, the Henry Technologies SH-9105 series oil strainer is compatible with HCFC, HFC and CO2 refrigerants and their associated oils. Although the strainer is compatible with HFC/POE refrigerant/oil combinations, the use of an oil filter or oil filter drier is recommended due to the scavenging nature of POE oil.","Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Henry Technologies flared oil line strainer 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/76/NW-672076_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Product_Catalogue.pdf,,,,,,,,,,,,,,,,
14,P630001,Danfoss filters (Pack of 10),Danfoss,45.12,"Supplied in a pack of ten, this Danfoss filter and gasket pack is for use with AKV(A)10/15 valves.",Refrigeration/Controls/Refrigeration System Accessories/Refrigeration System Accessories.csv -> Danfoss filters (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/19/450419_wm.jpg,N,068F0540,Filter and Gasket,N,Pack of 10,,,,,,,,,,,,,,,,pack of 10,,
