,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Size,Evaporator Fans,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 2,Attachment 3,Material Type,Warranty,Material
0,P672332,"Henry Technologies 5231 pressure relief valve 27.6bar 1/2x5/8"" (ce ped)",Henry Technologies,69.3,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 1/2"" NPTF x 5/8"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 pressure relief valve 27.6bar 1/2x5/8"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/32/NW-672329_672332_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
1,P672331,"Henry Technologies 5231 pressure relief valve 24.8bar 1/2x5/8"" (ce ped)",Henry Technologies,69.3,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 1/2"" NPTF x 5/8"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 pressure relief valve 24.8bar 1/2x5/8"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/32/NW-672329_672332_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
2,P672330,"Henry Technologies 5231 pressure relief valve 24.1bar 1/2x5/8"" (ce ped)",Henry Technologies,69.3,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 1/2"" NPTF x 5/8"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 pressure relief valve 24.1bar 1/2x5/8"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/32/NW-672329_672332_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
3,P693826,"Danfoss NRV28S angle check valve 1.1/8""",Danfoss,193.55,"NRV and NRVH can be used in liquid, suction and hot gas lines in refrigeration and air conditioning plants with fluorinated refrigerants. NRV and NRVH can be supplied with flare and solder connections. They are also available with oversize solder connections providing flexibility in the use of check valves.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss NRV28S angle check valve 1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/23/693823_wm.jpg,,1.1/8,-,N,020-1021,Check Valve,N,NRV,copper solder connections,angleway,Max working pressure = 46 bar Max test pressure = 60 bar Temperature of the medium: -50 - +140°C,,,,,
4,P672378,"Henry Technologies 5231 straight through pressure relief valve 29.3bar 1/2x5/8""",Henry Technologies,69.3,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 1/2"" NPTF x 5/8"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 straight through pressure relief valve 29.3bar 1/2x5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/78/NW-672378_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
5,P693704,"Danfoss KVP22 solder evaporator pressure regulator 7/8""",Danfoss,217.8,"Intended to be mounted in the suction line after the evaporator, this Danfoss KVP22 evaporator pressure regulator with 7/8"" solder ODF connections maintains a constant evaporating pressure and, in turn, ensures a constant surface temperature on the evaporator. With modulating regulation, the regulator throttles the suction line, matching refrigerant gas to the evaporator load. Closing when pressure inside the evaporator falls below a set value, this valve ensures that pressure doesn't fall to a lower level than required. It can allow for differentiation between evaporating pressures in two or more evaporators in a single compressor system.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss KVP22 solder evaporator pressure regulator 7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/04/NW-693704_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Installation.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_KVP_Brochure.pdf,,,
6,P693713,"Danfoss KVL15 solder crank case pressure regulator 5/8""",Danfoss,126.9,"Installed into the suction line of refrigeration systems, this Danfoss KVL15 crankcase pressure regulator protects a compressor motor against the overload that can occur during start-up after long off periods or just after a defrost. It incorporates 5/8"" solder ODF connections.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss KVL15 solder crank case pressure regulator 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/13/NW-693713_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Installation.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_KVP_Brochure.pdf,,,
7,P693710,"Danfoss KVL12 solder crank case pressure regulator 1/2""",Danfoss,126.9,"Installed into the suction line of refrigeration systems, this Danfoss KVL12 crankcase pressure regulator protects a compressor motor against the overload that can occur during start-up after long off periods or just after a defrost. It incorporates 1/2"" solder ODF connections.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss KVL12 solder crank case pressure regulator 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/10/NW-693710_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Installation.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_KVP_Brochure.pdf,,,
8,P693714,"Danfoss KVL35 solder crank case pressure regulator 1.3/8""",Danfoss,276.3,"Installed into the suction line of refrigeration systems, this Danfoss KVL35 crankcase pressure regulator protects a compressor motor against the overload that can occur during start-up after long off periods or just after a defrost. It incorporates 1 3/8"" solder ODF connections.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss KVL35 solder crank case pressure regulator 1.3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/14/NW-693714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Installation.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_KVP_Brochure.pdf,,,
9,P693706,"Danfoss KVP15 solder evaporator pressure regulator 5/8""",Danfoss,149.4,"Intended to be mounted in the suction line after the evaporator, this Danfoss KVP22 evaporator pressure regulator with 5/8"" solder ODF connections maintains a constant evaporating pressure and, in turn, ensures a constant surface temperature on the evaporator. With modulating regulation, the regulator throttles the suction line, matching refrigerant gas to the evaporator load. Closing when pressure inside the evaporator falls below a set value, this valve ensures that pressure doesn't fall to a lower level than required. It can allow for differentiation between evaporating pressures in two or more evaporators in a single compressor system.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss KVP15 solder evaporator pressure regulator 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/06/NW-693706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Installation.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_KVP_Brochure.pdf,,,
