,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Dimensions (L x W x D),Range,Diameter,Nominal Running Current (A),Speed RPM,Phase,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7
0,P667294,Pump House multi fit fan motor 16w,Pump House,62.38,This Pump House 16kW universal multi-fit fan motor is a suitable replacement part for use in most industrial and commercial refrigeration and ventilation equipment.,Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House multi fit fan motor 16w,,Fan motor1m power lead,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/99/NW-667293_667299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Fan-Motor_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
1,P667295,Pump House multi fit fan motor 18w,Pump House,67.42,This Pump House 18kW universal multi-fit fan motor is a suitable replacement part for use in most industrial and commercial refrigeration and ventilation equipment.,Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House multi fit fan motor 18w,,Fan motor1m power lead,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/99/NW-667293_667299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Fan-Motor_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
2,P667296,Pump House multi fit fan motor 25w,Pump House,78.56,This Pump House 25kW universal multi-fit fan motor is a suitable replacement part for use in most industrial and commercial refrigeration and ventilation equipment.,Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House multi fit fan motor 25w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/99/NW-667293_667299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Fan-Motor_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
3,P667393,Pump House axial fan motor ball and terminal 120 x 120 x 38mm,Pump House,68.81,"Compact in design, this Pump House 120 x 120 x 38mm axial mini shaded fan motor is made of a lightweight reinforced plastic. Promising low operational noise, the fan motor is suitable for use on refrigeration equipment, bottle coolers, vending machines and similar ventilating and cooling equipment.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House axial fan motor ball and terminal 120 x 120 x 38mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/95/NW-667392_667395_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Axial-FM_Datasheet.pdf,,,,,,,,,,,,,,,,,,,
4,P667394,Pump House axial fan motor ball 120 x 120 x 38mm,Pump House,68.81,"Compact in design, this Pump House 120 x 120 x 38mm axial mini shaded fan motor is made of a lightweight reinforced plastic. Promising low operational noise, the fan motor is suitable for use on refrigeration equipment, bottle coolers, vending machines and similar ventilating and cooling equipment.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House axial fan motor ball 120 x 120 x 38mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/95/NW-667392_667395_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Axial-FM_Datasheet.pdf,,,,,,,,,,,,,,,,,,,
5,P667297,Pump House multi fit fan motor 34w,Pump House,87.35,This Pump House 34kW universal multi-fit fan motor is a suitable replacement part for use in most industrial and commercial refrigeration and ventilation equipment.,Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House multi fit fan motor 34w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/99/NW-667293_667299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Fan-Motor_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
6,P667293,Pump House multi fit fan motor 10w,Pump House,54.29,This Pump House 10kW universal multi-fit fan motor is a suitable replacement part for use in most industrial and commercial refrigeration and ventilation equipment.,Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House multi fit fan motor 10w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/99/NW-667293_667299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Fan-Motor_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
7,P667298,Pump House multi fit fan motor 5w,Pump House,48.11,This Pump House 5kW universal multi-fit fan motor is a suitable replacement part for use in most industrial and commercial refrigeration and ventilation equipment.,Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Pump House multi fit fan motor 5w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/99/NW-667293_667299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Fan-Motor_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,
8,P677878,Kelvion 2 speed fan motor 25w,Kelvion,154.44,"A Kelvion Searle two speed 220 - 240V, 25W fan motor for use with KG/DSR.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Kelvion 2 speed fan motor 25w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/78/NW-677878_wm.jpg,,,N,KG/DSR,"220 to 240 V, 25 W",100654290,fan motor,N,2 speed,,,,,,,,,,,,
9,P681702,Kelvion fan motor,Kelvion,154.33,"This Kelvion Searle 230V, 70W fan motor is compatible with KS10, KS15, KS20, KS20, KS35, KS40, KS45, KS55, KS70, BME 100, CME 100 and BMC100.",Refrigeration/Refrigeration Electrical Components/Refrigeration Fans And Motors/Refrigeration Fans And Motors.csv -> Kelvion fan motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/02/NW-681702_wm.jpg,,,N,KS10KS15KS20KS20KS35KS40KS45KS55KS70BME 100CME 100BMC100,"230 V, 70 W",100461089,fan motor,N,"For use with KS, BME and CME units",230V power,,,,,,,,,,,
