,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Colour,Range,Material,Feature 7,Feature 8,Feature 9,Diameter,Thickness,Warranty,Connection Size,Length (M),Size,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Depth (mm),Pack Quantity,Dimensions mm (H x W x D)
0,P689834,"Javac hydraulic bender 1/4 - 7/8""",Javac,589.96,"The Javac OB/85S hydraulic tube bender has a die cast aluminium body and stainless steel body pump along with hydraulic assistance for smooth control and effortless bending of soft drawn copper pipe. Fully adjustable to suit individual hand sizes, the operating lever is designed to make bending easier while reducing hand fatigue.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac hydraulic bender 1/4 - 7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/34/NW-689834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Javac_HB-35_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P670000,Aspen Pumps Xtra single aluminium channel 3mtr,Aspen Pumps,41.65,This Aspen Pumps Xtra single aluminium channel with 40 x 20mm profile is supplied in a 3M length.,Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra single aluminium channel 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-670000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P690081,"Pump House male x copper flared access valve 1/4 x 1/4""",Pump House,4.0,"Made of copper, this Pump House extended tube is suitable for installation in any position on either high or low side. It is used for charging, purging, quick testing or pressure checking.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Pump House male x copper flared access valve 1/4 x 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/81/NW-690081_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Access-Fittings_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P693285,"Javac Edge 41 bar safe seal hoses 1/4""",Javac,179.54,"This Javac Edge Safe Seal 72"" charging hose has a 600/3000 psi (41 bar) working pressure and 3000 psi (207 bar) bursting pressure. With patented Safe Seal technology and One-Touch design this hose is simply screwed on to the system before a knob is turned to start refrigerant, minimising refrigerant loss and the risk of refrigerant burn. Designed to prevent leaks, a safety swivel sleeve allows free rotational movement of the hose while maintaining the security of the fitting.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge 41 bar safe seal hoses 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/86/NW-693285_693286_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Safe_Seal_Charging_Hoses_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P693286,"Javac Edge 55 bar safe seal hoses 1/4 x 5/16""",Javac,182.2,"This Javac Edge Safe Seal 72"" charging hose has a 600/3000 psi (41 bar) working pressure and 3000 psi (207 bar) bursting pressure. With patented Safe Seal technology and One-Touch design this hose is simply screwed on to the system before a knob is turned to start flow, minimising refrigerant loss and the risk of refrigerant burn. Designed to prevent leaks, a safety swivel sleeve allows free rotational movement of the hose while maintaining the security of the fitting.","Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge 55 bar safe seal hoses 1/4 x 5/16""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/86/NW-693285_693286_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Safe_Seal_Charging_Hoses_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P617124,Javac Edge eccentric flaring tool,Javac,186.75,"A ratchet-type tool, the Javac Edge eccentric flaring tool includes an eccentric flaring cone for a smooth finish on all flares. Ideal for joints on high pressure R410A systems, this tool minimises leaks, using a positioning plate to ensure the tube is set at the correct position for a perfect finish.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge eccentric flaring tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/24/NW-617124_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Javac_Eccentric-Flaring_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Eccentric-Flaring_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P689840,Javac Edge JAV-275-K flaring and swaging tool,Javac,92.02,"Made of tough steel, this Javac Edge flaring and swaging kit is designed for use with copper tube and is ideal for use in tight areas, ensuring a professional seal on all flaring and swaging joints.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Edge JAV-275-K flaring and swaging tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/40/NW-689840_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Javac_JAV-275-K_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P685042,Aspen Pumps Xtra adaptor (for tube 6/10mm) (Pack of 3),Aspen Pumps,58.09,"Supplied in a pack of three, these Aspen Pumps Xtra 6 to 10mm (1/4 to 3/8"") self-sealing  pipe adapters connect tube-to-soil stack or hose-to-overflow or waste/soil pipe. They are recommended for use with Xtra pumps.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Xtra adaptor (for tube 6/10mm) (Pack of 3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/42/NW-685042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Tube-Connector_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P690856,Javac Heat Shield JAV-1002 heat shield putty,Javac,53.04,"Javac Heat Shield heat blocking compound is a removable, reusable putty for protecting sensitive parts from heat damage during brazing, soldering and welding.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Javac Heat Shield JAV-1002 heat shield putty,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/56/NW-690856_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Javac_690856_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Heat_Shield_Blocking_Cmpd_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P667549,Aspen Pumps Peri Spares spare peristaltic tube,Aspen Pumps,11.02,"This Aspen Pumps peristaltic spare tube kit is suitable for all peristaltic models in the Aspen range, including Universal, Universal Silent +, Standard Mk2, Mechanical, Mechanical with Alarm, MK4 and Compressor Sensor.",Refrigeration/Refrigeration Parts and Accessories/Accessories/Accessories.csv -> Aspen Pumps Peri Spares spare peristaltic tube,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/49/NW-667549_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Spare_Tube_Kit_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
