,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Range
0,P693857,"Danfoss GBC28S solder ball valve 1.1/8""",Danfoss,52.22,"GBC ball valves are manually operated shut-off valves suitable for applications where bi-directional flow is a requirement; GBC valves are approved for applications in liquid, suction, and hot gas lines in refrigeration and air conditioning systems; GBC valves offer maximum tightness across the seat and seal, with minimum pressure drop; GBC valves give maximum flow in the fully open position;They are designed for operation within a broad temperature range and are approved for use with any fluorinated refrigerant;Standard GBC valves may be used in applications using high pressure refrigerants, including R410A, and GBC bi-directional ball valves can be delivered with or without external access port; For CO2 applications a dedicated range is available with a max;working pressure of 90 bar (1300 psig); GBC valves are equipped with a one-piece seal cap to prevent tampering;Complies with European Safety Directive EN 378 (Safety and environmental requirements).","Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Danfoss GBC28S solder ball valve 1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/51/693851_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,
1,P693854,"Danfoss GBC16S solder ball valve 5/8""",Danfoss,37.67,"GBC ball valves are manually operated shut-off valves suitable for applications where bi-directional flow is a requirement; GBC valves are approved for applications in liquid, suction, and hot gas lines in refrigeration and air conditioning systems; GBC valves offer maximum tightness across the seat and seal, with minimum pressure drop; GBC valves give maximum flow in the fully open position;They are designed for operation within a broad temperature range and are approved for use with any fluorinated refrigerant;Standard GBC valves may be used in applications using high pressure refrigerants, including R410A, and GBC bi-directional ball valves can be delivered with or without external access port; For CO2 applications a dedicated range is available with a max;working pressure of 90 bar (1300 psig); GBC valves are equipped with a one-piece seal cap to prevent tampering;Complies with European Safety Directive EN 378 (Safety and environmental requirements).","Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Danfoss GBC16S solder ball valve 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/51/693851_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,
2,P693852,"Danfoss GBC10S solder ball valve 3/8""",Danfoss,28.63,"GBC ball valves are manually operated shut-off valves suitable for applications where bi-directional flow is a requirement; GBC valves are approved for applications in liquid, suction, and hot gas lines in refrigeration and air conditioning systems; GBC valves offer maximum tightness across the seat and seal, with minimum pressure drop; GBC valves give maximum flow in the fully open position;They are designed for operation within a broad temperature range and are approved for use with any fluorinated refrigerant;Standard GBC valves may be used in applications using high pressure refrigerants, including R410A, and GBC bi-directional ball valves can be delivered with or without external access port; For CO2 applications a dedicated range is available with a max;working pressure of 90 bar (1300 psig); GBC valves are equipped with a one-piece seal cap to prevent tampering;Complies with European Safety Directive EN 378 (Safety and environmental requirements).","Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Danfoss GBC10S solder ball valve 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/51/693851_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,
3,P689841,Javac EL33023 ball valve (R410A),Javac,18.99,"Since it’s inception in 1964, the company has lead the way in HVAC tool technology and is one of the worlds leading manufacturing specialists in vacuum and refrigeration products, designing and building their own brand of recovery and vacuum products for the refrigeration industry.",Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Javac EL33023 ball valve (R410A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/41/689841_wm.jpg,,,5/16 in,N,EL33023,Ball Valve,N,Quality assured to ISO 9001-2008 standards,
4,P619303,"Henry Technologies 907617-CE ball valve 2.1/8""",Henry Technologies,170.53,"Ball valves are used in a wide variety of air conditioning and refrigeration applications. They can be used for both liquid and gas applications. This type of valve is commonly used for isolating purposes. All valves are suitable for CO2, HCFC and HFC refrigerants along with their associated oils.","Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Henry Technologies 907617-CE ball valve 2.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Pic of Ball Valve_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Henry_64-66_Brochure.pdf,,,,,,,,
5,P619324,"Henry Technologies 937202 schraeder+ ball valve 1/4""",Henry Technologies,23.83,"Ball valves are used in a wide variety of air conditioning and refrigeration applications. They can be used for both liquid and gas applications. This type of valve is commonly used for isolating purposes. All valves are suitable for CO2, HCFC and HFC refrigerants along with their associated oils.","Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Henry Technologies 937202 schraeder+ ball valve 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Pic of Ball Valve_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Henry_64-66_Brochure.pdf,,,,,,,,
6,P619326,"Henry Technologies 937204 schraeder+ ball valve 1/2""",Henry Technologies,25.13,"Ball valves are used in a wide variety of air conditioning and refrigeration applications. They can be used for both liquid and gas applications. This type of valve is commonly used for isolating purposes. All valves are suitable for CO2, HCFC and HFC refrigerants along with their associated oils.","Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Henry Technologies 937204 schraeder+ ball valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Pic of Ball Valve_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Henry_64-66_Brochure.pdf,,,,,,,,
7,P619329,"Henry Technologies 937307 schraeder+ ball valve 7/8""",Henry Technologies,43.04,"Ball valves are used in a wide variety of air conditioning and refrigeration applications. They can be used for both liquid and gas applications. This type of valve is commonly used for isolating purposes. All valves are suitable for CO2, HCFC and HFC refrigerants along with their associated oils.","Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Henry Technologies 937307 schraeder+ ball valve 7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Pic of Ball Valve_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Henry_64-66_Brochure.pdf,,,,,,,,
8,P675194,"Danfoss GBC12S solder ball valve 1/2""",Danfoss,26.67,"GBC ball valves are manually operated shut-off valves suitable for applications where bi-directional flow is a requirement; GBC valves are approved for applications in liquid, suction, and hot gas lines in refrigeration and air conditioning systems; GBC valves offer maximum tightness across the seat and seal, with minimum pressure drop; GBC valves give maximum flow in the fully open position;They are designed for operation within a broad temperature range and are approved for use with any fluorinated refrigerant;Standard GBC valves may be used in applications using high pressure refrigerants, including R410A, and GBC bi-directional ball valves can be delivered with or without external access port; For CO2 applications a dedicated range is available with a max;working pressure of 90 bar (1300 psig); GBC valves are equipped with a one-piece seal cap to prevent tampering;Complies with European Safety Directive EN 378 (Safety and environmental requirements).","Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Danfoss GBC12S solder ball valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/02/693802_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,
9,P619295,"Henry Technologies 907203 ball valve 3/8""",Henry Technologies,22.3,"Suitable for use in air conditioning and refrigeration, this Henry Technologies 3/8"" ball valve can be used in both liquid and gas. A popular choice for isolating applications, this valve is compatible with CO2, HCFC and HFC refrigerants and their associated oils.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Refrigeration/Refrigeration Parts and Accessories/Refrigeration Ball Valves/Refrigeration Ball Valves.csv -> Henry Technologies 907203 ball valve 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Pic of Ball Valve_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Henry_64-66_Brochure.pdf,,,,,,,,
