,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Bend (in degrees),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3
0,PG15981,Domus single metal airbrick 220 x 90mm Cotswold,Domus,97.97,"Non-combustible, the Domus Ventilation Solis Air Brick 220 x 90mm single metal airbrick, finished in a Cotswold Beige to seamlessly blend with its surroundings, maintains low resistance and ensures compliance with fire regs, providing peace of mind for both residents and developers.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus single metal airbrick 220 x 90mm Cotswold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/81/G15981_wm.jpg,Cotswold Beige,N,N/A,Metal,SOL-AB-220X90C,Fire Rated AirBrick,N,Metal construction,Cotswold Beige finish,Low resistance,Compatible with Domus Rigid and Thermal ducting range,Non-combustible as set out in Approved Document B (fire safety),"Air brick powder coating pre-qualified to EN13501-1 classification A2-s1,d0","Air brick material 1.5mm galvanised steel, fire class A1 ‘no contribution to fire’",,,
1,P800174,Stadium Black hole  BM418 Anti-Draught Core Drill Vent Kit,Stadium,27.28,"This Stadium 5"" multi-size core vent is designed with fixed anti-draught baffles to minimise cold, noisy draughts. Made of polypropylene, this vent has a brown outer cowl around its white grille.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Stadium Black hole  BM418 Anti-Draught Core Drill Vent Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/74/NW-800174_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,
2,PG76719,Domus EasiPipe 100 flexible PVC hose 100mm 3mtr White,Domus,8.99,"Reducing pressure drops and almost completely eliminating air leakage, the Domus EasiPipe 100 rigid duct flexible hose is suitable for use in the bathroom, toilet or utility room. This wire-reinforced, flexible PVC ducting has a round profile for compatibility with the Domus Ventilation rigid PVC product range, helping to overcome the issue of installations where a rigid component can't be installed. The use of flexible hose is recommended for use in the ducting of tumble driers or for other slow moving air applications.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus EasiPipe 100 flexible PVC hose 100mm 3mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/20/NW-G76719_G76720_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Domus_EasiPipe100_Flexible_Hose_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Domus_Ventilation_Ducting_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf
3,P800151,"Stadium BM72/1 louvre ventilator 10"" x 7""",Stadium,3.78,"Measuring 10 x 7"", this Stadium BM72/1 face-fitting fixed louvred grille is suitable for plastering into a wall.","Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Stadium BM72/1 louvre ventilator 10"" x 7""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/51/NW-800151_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,
4,PG76899,Domus Megaduct flat channel 2mtr,Domus,21.66,"Manufactured to exacting tolerances, the Domus Megaduct 90 x 220mm rectangular rigid duct helps to maximise the energy efficiency of ventilation appliances. Almost completely eliminating air leakage and reducing pressure drops, it is suitable for use in the bathroom, toilet or utility room.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Megaduct flat channel 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/99/NW-G76899_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf,
5,PG75926,Domus Supertube flat channel end cap,Domus,6.4,"This Domus SuperTube rigid duct end cap is fast and simple to install, securely terminating a duct run with an air-tight seal.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Supertube flat channel end cap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/26/G75926_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,
6,P800247,"Stadium BM473 plastic hit & miss vents 9"" x 3""",Stadium,2.58,These Stadium 241 x 89mm hit and miss ventilators are made of white plastic and are supplied with integral flyscreens.,"Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Stadium BM473 plastic hit & miss vents 9"" x 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/47/NW-800247_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,
7,PG15976,Domus single metal airbrick 220 x 126mm Brown,Domus,110.4,"Non-combustible, the Domus Ventilation Solis 220 x 126mm single metal air brick in brown is designed to maintain low resistance while complying with the latest standards found in Approved Document B (fire safety).",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus single metal airbrick 220 x 126mm Brown,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/76/G15976_wm.jpg,Brown,N,,Metal,SOL-AB-220X126B,Non Combustible Metal Air Brick,N,Low resistance,Compatible with Domus Rigid and Thermal ducting ranges,Air brick material 1.5mm galvanised steel meets fire class A1 ‘no contribution to fire',Non-combustible as set out in Approved Document B (fire safety),"Air brick powder coating pre-qualified to EN13501-1 classification A2-s1,d0",,,,,
8,PG75895,"Domus Supertube super 45deg horizontal bend 5"" White",Domus,24.44,This 45° horizontal-angled Domus SuperTube rigid duct bend is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances.,"Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Supertube super 45deg horizontal bend 5"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/95/G75895_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,
9,PG15969,Domus metal sleeve 220 x 126mm 500mm,Domus,40.98,"Measuring 220 x 126 x 500mm, the Domus metal duct sleeve is designed to be used with the brand's Solis air brick.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus metal sleeve 220 x 126mm 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/46/579046_wm.jpg,Metal / Silver,N,,Metal,SOL-DUCT-220X126,Non-Combustible Metal Duct,N,Non-combustible design,Metal with untreated finish,For use with Solis air brick,,,,,,,
10,PG82280,Domus Supertube 45deg vertical bend ducting insulation,Domus,4.13,"This Domus SuperTube rigid duct insulation with 45° vertical bend is part of a patented system designed to significantly improve domestic thermal insulation ducting, reducing heat loss and preventing condensation.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Supertube 45deg vertical bend ducting insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/80/G82280_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_SynthosSilver_MSDS.pdf,
11,P800261,"Stadium BM469 plastic louverd vent 9"" x 9""",Stadium,3.25,"Made of white plastic, this Stadium surface-mounted louvred ventilator measures 241 x 241mm.","Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Stadium BM469 plastic louverd vent 9"" x 9""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/61/NW-800261_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,
12,PG75847,"Domus EasePipe 125 F5904B louvred grille and fly screen 5"" Brown",Domus,17.87,"Made of brown PVC, this Domus EasiPipe 125 louvred grille with flyscreen is suitable for use on the exterior of any building, blending in seamlessly with many types of commonly used brick. It is designed with a 125mm spigot diameter.","Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus EasePipe 125 F5904B louvred grille and fly screen 5"" Brown",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/47/NW-G75847_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf,
13,PG15970,Domus metal sleeve 220 x 90mm 500mm,Domus,39.52,"Non-combustible, the Domus Ventilation Solis Air Brick 220 x 90mm metal sleeve is designed for use with air bricks in the Solis range. These low resistance air bricks comply with fire regs, providing peace of mind for both residents and developers.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus metal sleeve 220 x 90mm 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/70/G15970_wm.jpg,White,N,N/A,Metal,SOL-DUCT-220X90,Fire Rated AirBrick,N,For use with Solis metal airbrick,Non-combustible,Metal construcation,White colour,Complies with Approved Document B (fire safety),,,,,
14,PG82281,Domus Supertube thermal shell 204 x 60mm (Pair),Domus,6.37,"This Domus SuperTube rigid duct insulation with fixed spigot plenus is part of a patented system designed to significantly improve domestic thermal insulation ducting, reducing heat loss and preventing condensation.",Renewables/Ventilation Systems/Ducting & Grilles/Ducting & Grilles.csv -> Domus Supertube thermal shell 204 x 60mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/81/G82281_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_SynthosSilver_MSDS.pdf,
