,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Colour,Warranty,Hazardous,Sector,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Material Type,Range,Depth (mm),Material,Position,Shower Tray Shape,Style,Anti Slip Surface,Thickness,Frame Colour,Feature 11,Feature 12
0,PD03670,Recoup Pipe HEX WWHRS heat exchange unit 2100mm Grey,Recoup,525.28,"A popular WWHRS innovation, this Recoup Pipe HEX heat exchanger unit succeeds the Recoup Pipe+ HE, with a new Turbo Rotator for increased efficiency of up to 68.5% and an improved SAP pound to points ratio. Easy to install and highly durable, this compact unit requires no end user interaction and, thanks to its lightweight PVC outer, is an on-site theft deterrent. Offering simple, reliable heat exchange technology, Pipe HEX is recommended for new build homes, hotels and student accommodation.",Showering/Commercial Showering/Commercial Showering.csv -> Recoup Pipe HEX WWHRS heat exchange unit 2100mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/70/NW-D03670_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Recoup_Pipe_Hex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Recoup_Pipe_HEX-Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD72428,Triton Elina bar mixer valve only (inc fixing brackets),Triton,166.78,This Triton Elina bar mixer bottom outlet valve is made of durable brass with a chrome finish. It incorporates a thermostatic temperature control and automatic shutdown feature and works effortlessly in a minimum running pressure/flow rate of 0.1 bar at 8LPM.,Showering/Commercial Showering/Commercial Showering.csv -> Triton Elina bar mixer valve only (inc fixing brackets),,Bar mixer bottom outlet valve;Push fit fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/28/NW-D72428_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Triton_MixerShowers-Taps_Brchr_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_Elina_Mixer_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Triton_Bar_Mixer_Bracket_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Triton_Elina_TNV3_ShowerMixer_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD12156,Rada V12 exposed shower valve,Rada,289.74,"Certified to TMV3, the Rada V12 exposed surface-mounted thermostatic shower valve offers sequential single lever operation with easy to understand graphics for inclusive use. This pack includes cartridge, check valves, filters and optional flow regulators and has a Insutech cool-touch surface for safety.",Showering/Commercial Showering/Commercial Showering.csv -> Rada V12 exposed shower valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/56/NW-D12156_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_V12_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_V12_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/ic/Rada_V12_App_Schematic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD01690,Building Products Distributors Showersave recoh-vert heat exchanger,Building Products Distributors,530.16,"This Building Products Distributors Showersave QB1-21 heat exchanger is a suitable replacement for the Recoh-Vert RV3 system, connecting up to two showers on a single system. Just as simple to install and equally reliable, the QB1-21 looks exactly the same as RV3 too.",Showering/Commercial Showering/Commercial Showering.csv -> Building Products Distributors Showersave recoh-vert heat exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/90/NW-D01690_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Showersave_QB1-21_CAD_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Showersave_QB1-21_CE_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Showersave_QB1-21_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Showersave_QB1-21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Showersave_QB1-21_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Showersave_QB1-21_KIWA_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Showersave_QB1-21_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD67388,"Saracen exposed time flow shower, 30 seconds",Saracen,68.1,"This Saracen exposed time flow shower control is for use with thermostatic mixing valves, providing water conservation for public spaces where multiple water outlets are in use. Stylish and economical, this flow timer has non-concussive operation to prevent water hammer.","Showering/Commercial Showering/Commercial Showering.csv -> Saracen exposed time flow shower, 30 seconds",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/88/NW-D67388_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D67388_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D67388_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD12143,Rada shower control with isolating elbows and compression fittings 425mm,Rada,1097.21,"The easy to install Rada 425 IC shower control is a thermostatic mixing valve incorporating the patented Radatherm temperature sensor, isolating ball valves, check-valves, integral isolators, test points and filters plus 28mm compression fittings.",Showering/Commercial Showering/Commercial Showering.csv -> Rada shower control with isolating elbows and compression fittings 425mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/43/NW-D12143_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_425_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_425_IC_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD03671,Recoup Pipe HEX Installation Pack install component pack various colours and size,Recoup,47.11,"Offering waste water heat recovery for showers, the Recoup Pipe HEX installation pack is suitable for the Recoup Pipe HEX. This system recovers heat energy from your shower water, using it to heat mains cold for pre-heated water. This water is used by the shower and water heater, reducing hot water energy demand. With efficiency of up to 68.5%, the pipe HEX boosts SAP points and is easy to install, with no end-user interaction required. Designed for installation on the floor below the shower, this system is recommended for new build homes, hotels and student accommodation.",Showering/Commercial Showering/Commercial Showering.csv -> Recoup Pipe HEX Installation Pack install component pack various colours and size,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/71/NW-D03671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Recoup_Pipe_HEX-Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD12153,Rada V10 concealed shower valve,Rada,281.18,"Easy to use, this Rada V10 concealed single sequential thermostatic shower valve is designed for built-in installation and is supplied with integral strainers and optional flow regulators.",Showering/Commercial Showering/Commercial Showering.csv -> Rada V10 concealed shower valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/53/NW-D12153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Rada_V10_Exposed_Shower_Valve_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_V10_Shower_Range_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_V10_Concealed_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD63668,Intatec Intacept vandal resistant standard head,Intatec,64.49,"Ideal for schools, hospitals and sports facilities, The Intatec vandal-resistant showerhead is designed for use with a thermostatic mixing valve. This robust showerhead includes hidden wall fixings for added security and is suitable for fitting with a flow regulator to prevent water waste.",Showering/Commercial Showering/Commercial Showering.csv -> Intatec Intacept vandal resistant standard head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/68/NW-D63668_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inta_VR991CP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Inta_VR991CP_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD98041,Rada T2 300 timed flow shower control,Rada,160.87,The surface-mounted Rada T2 300 timed flow control is a chrome push-button shower control offering a 30 seconds timed flow for water saving use.,Showering/Commercial Showering/Commercial Showering.csv -> Rada T2 300 timed flow shower control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/41/NW-D98041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_T2_300_300B_320_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_T1_T2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_T2_300_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/ic/Rada_T2_300_App_Schematic.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PD12157,Rada V12 concealed shower valve,Rada,289.74,"Certified to TMV3, the Rada V12 concealed built-in thermostatic shower valve features integral isolating ball valves and offers sequential single lever operation with easy to understand graphics for inclusive use. This pack includes cartridge, check valves, filters and optional flow regulators.",Showering/Commercial Showering/Commercial Showering.csv -> Rada V12 concealed shower valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/57/NW-D12157_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_V12_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_V12_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/cs/Rada_V12_Concealed_App_Schematics.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PD64386,Intatec Acura exposed thermostatic sequential shower valve,Intatec,312.01,"Designed for inclusive use, the Intatec Acura exposed sequential shower valve is suitable for every user, including the visually impaired or those with reduced dexterity. This high performance shower incorporates a range of safety features including reliable temperature stability and a factory-set maximum temperature.",Showering/Commercial Showering/Commercial Showering.csv -> Intatec Acura exposed thermostatic sequential shower valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/86/NW-D64386_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inta_90032_33CP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Inta_90032_33CP_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PD67389,"Saracen concealed time flow shower, 30 seconds",Saracen,68.1,"This Saracen concealed time flow shower control is for use with thermostatic mixing valves, providing water conservation for public spaces where multiple water outlets are in use. Stylish and economical, this flow timer has non-concussive operation to prevent water hammer.","Showering/Commercial Showering/Commercial Showering.csv -> Saracen concealed time flow shower, 30 seconds",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/89/NW-D67389_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D67389_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D67389_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
