,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Diameter,Sector,Pack Quantity,Depth (mm),Feature 9
0,PD06007,Mira Elevate hinged bath screen square 800mm,Mira,139.01,"A minimal, sleek design, the Mira Elevate 1450 x 800mm square bath screen incorporates a patented water retention seal, keeping water from seeping underneath the screen and over the bath's edge. Manufactured in toughened safety glass, this screen is made to last.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Mira Elevate hinged bath screen square 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/07/D06007_wm.jpg,Chrome,Elevate,5 mm,10 Year,N,Chrome,Toughened Safety Glass,2.1814.107,Bath Screen,N,Single pivot hinge,With lifting effect,Patented water retention feature,Unhanded design,Door swings in or out for easy access,Chrome frame,Toughened safety glass,10 year warranty,,,,,,,,,
1,PD28955,Ionic single square bath screen,Ionic,142.71,"The angular, modern Ionic single square bath/shower screen provides a sense of space with its sleek, frameless design with minimalist concealed fixings. This easy to clean screen is manufactured in toughened 6mm glass and treated with Mershield Stayclear.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic single square bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/55/UP-D28955_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28955_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D28955_Installation.pdf,,,,,
2,PD06008,Mira Elevate hinged bath screen curved 800mm,Mira,142.91,"A minimal, sleek design, the Mira Elevate 1450 x 800mm curved bath screen incorporates a patented water retention seal, keeping water from seeping underneath the screen and over the bath's edge. Manufactured in toughened safety glass, this screen is made to last.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Mira Elevate hinged bath screen curved 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/08/D06008_wm.jpg,Chrome,Elevate,5 mm,10 Year,N,Chrome,Toughened Safety Glass,2.1814.108,Bath Screen,N,Single pivot hinge,With lifting effect,Patented water retention feature,Unhanded design,Door swings in or out for easy access,Chrome frame,Toughened safety glass,10 year warranty,,,,,,,,,
3,PT41181,Scudo 6mm radius single bath screen,Scudo,82.69,"Manufactured in Aquashield protected 6mm thick glass, this Scudo 800 x 1400mm radius barrel hinge shower screen reduces splashing when using an over bath shower.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Scudo 6mm radius single bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/81/T41181_wm.jpg,Clear,,6mm,"Lifetime (fixed parts only) parts, 2 years moving parts and seals",N,Chrome,Aluminium,LS010N,Radius barrel hinge,N,Universal right or left-handed fitting,With Aquashield protection,6mm thick glass construction,Clear glass,Aluminium frame,Lifetime warranty on fixed parts,2 year warranty on moving parts and seals,,,,,,,,,,
4,PT26394,Essentials Element 750x1300mm curved bath screen with 5mm glass,Essentials,70.09,"An elegant design, the Essentials Element 750 x 1300mm curved bath screen is manufactured in toughened safety glass for reliable safety. Fitted with a chrome frame, this bath screen offers flexible fitting and folds both into the bath area and away from it for convenient, space-saving use.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Essentials Element 750x1300mm curved bath screen with 5mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/94/T26394_wm.jpg,Chrome,,5 mm,5 Years,N,Chrome,AluminiumGlass,EB301,Shower Screen,N,Curved design,5mm toughened safety glass construction,Suitable for left or right-handed fitting,Folds inwards and outwards,Chrome frame,5 year warranty,,,,,,,,,,,
5,PD29031,Merlyn 2 panel square bath screen 1500 x 900mm,Merlyn,250.53,"This smoothly pivoting Merlyn 1500 x 900mm two panel folding square bath/shower screen provides sleek, space-efficient splash protection in your bathroom, folding neatly out of the way after use. This frameless screen is fitted with HydraSEAL to provide added protection from leaks and features the patented Easy-Fit system for optional fitting directly into existing screw holes for fast, effortless installation.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Merlyn 2 panel square bath screen 1500 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/31/UP-D29031_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Two_Panel_Bathscreen_Install.pdf,,,,,,,
6,PD29077,Ionic single square fixed bath screen,Ionic,111.17,"The minimalist Ionic MB0 fixed square bath/shower screen is manufactured from 6mm toughened safety glass to provide watertight, leak-free practicality in your bathroom.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Ionic single square fixed bath screen,,Fixed square bath screen;Fixed panel;Wall profile;3 piece screws (3.9 x 40 mm);3 piece wall plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/77/UP-D29077_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Fixed_Panel_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D29077_Technical.pdf,,,,,,,
7,PD30444,Croydex Profile 800 shower rail 1830mm Silver,Croydex,32.2,"The lightweight and strong 1830mm Croydex Profile 800 straight shower rail is a professional rail system designed to effortlessly hold a shower curtain. Supplied with hooks and gliders, this curtain rail is pre-formed and incorporates a rigid H section for bends without sagging.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex Profile 800 shower rail 1830mm Silver,,Straight shower rail;Wall plugs x 4-10;No.8 x 1 1/4 inch screws x 4 -10;No.6 x 1 inch self tapping screw x 1 or 2;No.4 x 1/4 inch self tapping screw x 1 or 2;Gliders and hooks x 12 - 24;End stop and fixing nut x 1 or 2;Ceiling hanger support x 1 or 2;Cei,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/44/UP-D30444_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_SlenderlineKit_Installation.pdf,,,,,,,
8,PD30247,Croydex textile shower curtain 2000 x 2000mm White,Croydex,12.11,"Designed for long-lasting use, this Croydex clean, bright white 2M shower curtain is made from 100% polyester with a Proseal coating for unbeatable water repellency. Machine washable and strong, this ready-to-hang shower curtain remains opaque even when wet for added privacy.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Croydex textile shower curtain 2000 x 2000mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/47/UP-D30247_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,
9,PD12201,Saracen textile shower curtain 1800 x 1800mm White,Saracen,23.14,"Saracen textile shower curtain has two sides, one that keeps water where the user want it and another that adds a touch of character to the bathroom.",Showering/Shower Curtains and Screens/Shower Curtains and Screens.csv -> Saracen textile shower curtain 1800 x 1800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/01/NW-D12201_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12201_Saracen_Technical.pdf,,,,,,,,
