,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Range,Thickness,Warranty,Hazardous,Depth (mm),Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 3,Weight,Attachment 4
0,PD05994,Mira Elevate corner entry 760mm,Mira,350.64,"Make the most of a bathroom space with the Mira Elevate 760mm corner entry shower enclosure. Built in tough 6mm glass with CleanCoat streak-free technology, the Elevate is easy to clean and offers useful installation features including pre-drilled channels and generous adjustment for wonky walls.",Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> Mira Elevate corner entry 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/95/UP-D05994_D05995_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Elevate_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,PD28418,Ionic Express right hand corner entry enclosure 800mm,Ionic,287.1,The 800mm Ionic Express corner entry shower enclosure is 1900mm tall and built from strong glass with Mershield Stayclear coating and quick release rollers for easy day-to-day cleaning and double fin seals for reliable leak-free water retention.,Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> Ionic Express right hand corner entry enclosure 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/18/D28418_wm.jpg,,,Clear,Express,6mm,20years,N,800,Chrome,Glass,A0312G2,Corner Entry Shower Enclosure,N,Patented easy fit system,Mershield Stayclear easy-clean glass coating,6mm toughened safety glass,Smooth action extra strong rollers,"Easy-clean, quick release rollers",Rollers pre-assembled on door,Concealed fixings,Exclusive Ionic Express tool and fittings kit provided,20mm adjustment per wall profile,20 year warranty,,,
2,PD05997,Mira Elevate corner entry 900mm,Mira,374.84,"Make the most of a bathroom space with the Mira Elevate 900mm corner entry shower enclosure. Built in tough 6mm glass with CleanCoat streak-free technology, the Elevate is easy to clean and offers useful installation features including pre-drilled channels and generous adjustment for wonky walls.",Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> Mira Elevate corner entry 900mm,,Corner entry shower enclosure;2x wall channels;2x panels;2x doors;Seal pack (6 seals);2x tracks (LH);2x tracks (RH);Fittings box;4x roller covers;4x plastic covers;12x plastic washers;12x cover caps (chrome);16x screws;8x screws (12 mm);4x screws (8 mm);,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/97/UP-D05997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Elevate_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
3,PD05995,Mira Elevate corner entry 800mm,Mira,349.86,"Make the most of a bathroom space with the Mira Elevate 800mm corner entry shower enclosure. Built in tough 6mm glass with CleanCoat streak-free technology, the Elevate is easy to clean and offers useful installation features including pre-drilled channels and generous adjustment for wonky walls.",Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> Mira Elevate corner entry 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/95/UP-D05994_D05995_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Elevate_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,PD28584,Merlyn MBOX shower corner door 800mm,Merlyn,486.67,"Combining practicality and style, the 800mm Merlyn MBox shower enclosure corner door is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> Merlyn MBOX shower corner door 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/85/UP-D28583_D28585_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBOX_CornerDoor_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBOX_CornerDoor_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBOX_Enclosures_Brochure.pdf,,
5,PD28567,Merlyn MBOX sliding shower door fixed panel box 1500mm,Merlyn,303.98,"Combining practicality and style, the 1500mm Merlyn MBox shower enclosure fixed panel sliding door is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> Merlyn MBOX sliding shower door fixed panel box 1500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/70/UP-D28562_D28570_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBOX_SlidingDoor_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBOX_SlidingDoor_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBOX_Enclosures_Brochure.pdf,,
6,PD28417,Ionic Express left hand corner entry enclosure 800mm,Ionic,406.74,The 800mm Ionic Express corner entry shower enclosure is 1900mm tall and built from strong glass with Mershield Stayclear coating and quick release rollers for easy day-to-day cleaning and double fin seals for reliable leak-free water retention.,Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> Ionic Express left hand corner entry enclosure 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/17/D28417_wm.jpg,,,Clear,Express,6mm,20years,N,800,Chrome,Glass,A0312F1,Corner Entry Shower Enclosure,N,Patented Easy Fit system,Mershield Stayclear easy-clean glass coating,6mm toughened safety glass,Smooth action extra strong rollers,"Easy-clean, quick-release rollers",Rollers pre-assembled onto door,Concealed fixings,Exclusive Ionic Express tool and fittings kit provided,20mm adjustment per wall profile,20 year guarantee,,,
7,PD28416,Ionic Express corner entry enclosure 760mm,Ionic,660.6,"The Ionic Express 760mm corner entry shower enclosure has a height of 1900mm. Built in toughened glass for safety and treated with Mershield Stayclear with quick release rollers, this enclosure is easy to clean and maximises water retention via reliable double fin seals.",Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> Ionic Express corner entry enclosure 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/16/UP-D28416_wm.jpg,,,Clear,Express,6mm,20years,N,760,Chrome,Glass,A0312C0,Corner Entry Shower Enclosure,N,Patented Easy-Fit system,Mershield Stayclear easy-clean glass coating,6mm toughened safety glass,"Smooth action, extra strong rollers",Easy-clean quick-release rollers,Rollers are pre-assembled on the door,Concealed fixings,Exclusive Ionic Express tool and fittings kit provided,20mm adjustment per wall profile,20 year guarantee,,141.41125,
8,PD65201,PREMIER8 CORNER ENTRY 800X2000 GLASS CH,Coram,410.52,"A style-led, minimalist solution for small bathrooms and en-suites, the Coram Premier 8 800 x 2000mm corner entry shower enclosure has two smoothly sliding doors designed to create a wide opening corner entry. With linear, symmetrical handles, a highly polished chrome frame and ultra-clear seals, this attractive enclosure is easier to clean and fast to install using the Cam and Pin system.",Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> PREMIER8 CORNER ENTRY 800X2000 GLASS CH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/03/UP-D65200_D65203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Premier_8_Corner_Entry_Install.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Premier_8_Corner_Entry_Tech.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf
9,PD65143,CORAM OPTIMA6 CORNR ENTRY 900X1900 GL CH,Coram,376.66,"Maximise your showering space with the 900 x 1900mm Coram Optima 6 corner entry shower enclosure. With two sliding doors making getting in and out of your shower effortless, the Optima 6 is supplied with the Level and Lock system, designed for easy installation and long-lasting sturdiness.",Showering/Shower Doors and Enclosures/Corner Entry Shower Enclosures/Corner Entry Shower Enclosures.csv -> CORAM OPTIMA6 CORNR ENTRY 900X1900 GL CH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/43/UP-D65141_D65143_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Corner_Entry_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Corner_Entry_Install.pdf
