,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Warranty,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,PC98080,Ideal Standard Markwik thermostatic cartridge A962280NU,Ideal Standard,107.79,An Ideal Standard Markwik thermostatic cartridge for basin mixer taps.,Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Ideal Standard Markwik thermostatic cartridge A962280NU,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/80/NW-C98080_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Markwik21_Install.pdf,,,,,,,,,,,,
1,PD78005,Aqualisa Aquavalve high pressure cartridge,Aqualisa,164.61,An Aqualisa Aquavalve green cartridge for control of high pressure systems.,Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Aqualisa Aquavalve high pressure cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/05/NW-D78005_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Aqualisa_Cartridgereplacement_Manual.pdf,,,,,,,,,,,,,
2,PD59923,Mira Excel cartridge assembly,Mira,227.96,"This Mira thermostatic shower cartridge lowers the chemical levels in water and reduces limescale, providing a longer life for your shower.",Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Mira Excel cartridge assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/23/NW-D59923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Spare_Parts_Guide.pdf,,,,,,,,,,,,,
3,PA05073,Nabis thermostatic  cartridge,Nabis,14.8,This Nabis thermostatic cartridge for the A05040 provides safe showering temperatures.,Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Nabis thermostatic  cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/73/A05073_wm.jpg,,,White,n/a,N,WUK142,Cartridge,N,For safe thermostatic showering,Compatible with A05040,,,,
4,PC11943,Bristan lever cartridge kit,Bristan,120.9,A Bristan lever cartridge assembly.,Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Bristan lever cartridge kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/43/NW-C11943_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_SK15032LP_Drawing.pdf,,,,,,,,,,,,,
5,PQ97156,Hansgrohe Ecomax flow cartridge,Hansgrohe,27.27,"This Hansgrohe Ecomax 3/4"" spindle flow cartridge is a replacement part for a Hansgrohe shower.",Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Hansgrohe Ecomax flow cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/56/NW-Q97156_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hansgrohe_92929000_Technical.pdf,,,,,,,,,,,,,
6,PQ97371,Hansgrohe thermostatic cartridge,Hansgrohe,134.59,A Hansgrohe thermostatic cartridge with wax element.,Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Hansgrohe thermostatic cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/71/NW-Q97371_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_98282000_instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hansgrohe_98282000_Technical.pdf,,,,,,,,,,,,
7,PC02587,Grohe thermostatic compact cartridge 3/4IN,Grohe,117.55,"Using TurboStart technology, the compact Grohe 3/4"" thermostatic cartridge maintains a constant shower temperature for improved comfort and reliable safety.",Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Grohe thermostatic compact cartridge 3/4IN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/87/NW-C02587_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_47483000_Technical.pdf,,,,,,,,,,,,,
8,PC92717,Ideal Standard Trevi Boost tap boost cartridge,Ideal Standard,267.52,This Ideal Standard Trevi Boost thermostatic cartridge is designed for use in pre-2012 Trevi Boost models.,Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Ideal Standard Trevi Boost tap boost cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/17/NW-C92717_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,
9,PD66474,Mira Minilite cartridge assembly sequential,Mira,125.78,"Featuring a robust brass body, this Mira Minilite thermostatic mixer cartridge helps to decrease the amount of chemicals in a shower's water supply. Reducing problem limescale, this cartridge can help to improve the efficiency and performance of your shower.",Showering/Shower Parts and Accessories/Shower Cartridges/Shower Cartridges.csv -> Mira Minilite cartridge assembly sequential,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/74/NW-D66474_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,
