,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Warranty,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4
0,PA05052,Nabis shower hose 11mm bore 1.5mtr,Nabis,6.25,"Suitable for any bathroom or shower, this Nabis shower hose is made of long-lasting stainless steel with a chrome-plated finish.",Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Nabis shower hose 11mm bore 1.5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/53/NW-A05052_A05053_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/A05052_Nabis_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A05052_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033_A05060_Shower_Technical.pdf,,,,,,,,,,
1,PD61490,Mira Response hose plastic 1.25m Chrome Plated,Mira,25.56,"The 1.25M Mira Response shower hose is reliable, free flowing and easy to clean, providing a fast, smart upgrade to your shower.",Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Mira Response hose plastic 1.25m Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/91/NW-D61490_D61491_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_ResponseSF_Installation.pdf,,,,,,,,,,,
2,PA05446,Nabis spare shower hose,Nabis,4.72,This Nabis 1.5M replacement shower hose is finished in chrome.,Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Nabis spare shower hose,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/44/597544_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,
3,PD50665,Aqualisa hose Chrome Plated,Aqualisa,60.87,This 1.5M Aqualisa metal shower hose features a screw twist end for easy fitting and a chrome finish.,Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Aqualisa hose Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/65/NW-D50665_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aqualisa_Brochure.pdf,,,,,,,,,,,,
4,PA05053,Nabis shower hose 11mm bore 1.75mtr,Nabis,7.38,"Suitable for any bathroom or shower, this Nabis shower hose is made of long-lasting stainless steel with a chrome-plated finish.",Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Nabis shower hose 11mm bore 1.75mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/53/NW-A05052_A05053_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033_A05060_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/A05053_Nabis_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A05053_Technical.pdf,,,,,,,,,,
5,PA05054,Nabis smooth shower hose - wipe clean 2mtr,Nabis,9.09,"A practical Nabis 2M smooth, wipe clean shower hose made of PVC with a silver finish.",Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Nabis smooth shower hose - wipe clean 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/54/NW-A05054_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,
6,PA05605,Nabis Barford/Ossia/Swish/Corda/Galene shower hose,Nabis,5.17,"This Nabis 1.5M shower hose is suitable for use with Barford, Ossia, Swish, Corda and Galene bath/shower mixers.",Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Nabis Barford/Ossia/Swish/Corda/Galene shower hose,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/94/597494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Bathroom_Tap_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_Parts_List.pdf,,,,,,,,,,
7,PQ42425,Hansgrohe Metaflex shower hose 1.25m Chrome Plated,Hansgrohe,31.03,"Made of plastic, this kink-resistant Hansgrohe Metaflex 1.25M shower hose has an easy to clean chrome finish.",Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Hansgrohe Metaflex shower hose 1.25m Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/25/NW-Q42425_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_Metaflex_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Q42425_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hansgrohe_Brochure.pdf,,,,,,,,,,
8,PD78062,Triton reinforced shower hose 2mtr,Triton,21.87,"Suitable for use with any shower, this Triton anti-twist 2M shower hose is made of double interlocked stainless steel for long lasting use. Extra-long, this hose is highly practical for washing hair and rinsing down baths.",Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Triton reinforced shower hose 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/62/NW-D78062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Triton_MixerShowers-Taps_Brchr_2017.pdf,,,,,,,,,,,,
9,PQ42415,Hansgrohe Isiflex B shower hose 1.60m Chrome Plated,Hansgrohe,32.76,The Hansgrohe Isiflex B 1.6M shower hose is kink-resistant and easy to clean.,Showering/Shower Parts and Accessories/Shower Hoses/Shower Hoses.csv -> Hansgrohe Isiflex B shower hose 1.60m Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/15/NW-Q42415_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_28276000_instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hansgrohe_28276000_Technical.pdf,,,,,,,,,,,
