,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Shower Tray Shape,Warranty,Hazardous,Depth (mm),Anti Slip Surface,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Position,Range,Style,Waste Kit Included
0,PD33539,Just Trays Fusion JT40 waste and trap 90 mm,Just Trays,29.75,"Designed to complement JT40 Fusion shower trays, this Just Trays JT40 90mm waste and trap offers a 48LPM flow rate for efficient removal of water. This contemporary white waste is fitted with a dome that is easily removed for effortless cleaning.",Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Just Trays Fusion JT40 waste and trap 90 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/39/NW-D33539_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Fusion_Spec_Sheet_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,
1,PD52580,Mira Flight Low extended quadrant shower tray riser kit,Mira,90.21,"The Mira Flight Low quadrant riser conversion kit is designed for use on uneven floor surfaces, creating a level finish. The kit includes corner and end pieces, along with clip-on fixings for a seamless, neat look.",Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Mira Flight Low extended quadrant shower tray riser kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/80/NW-D52579_D52580_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Flight_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Trays_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
2,PD52523,Mira Flight Low rectangle riser kit 1200mm White,Mira,56.08,"The Mira Flight Low 1200mm rectangular riser conversion kit is designed for use on uneven floor surfaces, creating a level finish. The kit includes corner and end pieces, along with clip-on fixings for a seamless, neat look.",Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Mira Flight Low rectangle riser kit 1200mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/24/NW-D52523_D52524_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLowLevelST_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Trays_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
3,PD56816,Mira Flight quadrant riser conversion kit 900mm,Mira,64.1,"This Mira Flight 900mm quadrant riser conversion kit includes corner and end pieces along with clip-on fixings to give a neat, seamless finish.",Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Mira Flight quadrant riser conversion kit 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/21/NW-D56815_D56821_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Mira_1192074_W2_B_Flight_Tray_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Trays_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
4,PD52524,Mira Flight Low rectangle riser kit 1700mm White,Mira,78.83,"The Mira Flight Low 1700mm rectangular riser conversion kit is designed for use on uneven floor surfaces, creating a level finish. The kit includes corner and end pieces, along with clip-on fixings for a seamless, neat look.",Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Mira Flight Low rectangle riser kit 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/24/NW-D52523_D52524_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLowLevelST_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Trays_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
5,PT04182,Marleton Cross square / rectangle riser kit over 1200,Marleton Cross,55.11,"Suitable for any shower tray (exclusing Optimum and Classic gel coat designs), the Marleton Cross 1200mm+ square/rectangle riser kit converts a tray to a raised installation. The included circular base plates and feet ensure that levelling is done quickly while also offering complete stress support.",Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Marleton Cross square / rectangle riser kit over 1200,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/82/T04182_wm.jpg,,,,,Silver,Rectangle,1 year,N,70,No,Mixed,WD5,Shower panel riser pack,N,Includes 1225mm straight panel and 2M straight panel,With 3x panel joining brackets and 6x upright brackets plus hook and loops,Includes 12x feet and 12x circular base plates with adhesive pads,With floor fixing brackets and screws,Silver colour,1 year warranty,,,,
6,PD29055,Merlyn Touchstone shower tray waste,Merlyn,41.98,This 90mm Merlyn Touchstone waste complete is compatible with Merlyn MStone and Touchstone trays.,Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Merlyn Touchstone shower tray waste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/55/NW-D29055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/tn/Merlyn_LowLevelShowerTray_FitIstrctn.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_Upstand_Tray_HR_Square_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,
7,PD52521,Mira Flight Low square riser kit 900mm White,Mira,50.39,"The Mira Flight Low 900mm square riser conversion kit is designed for use on uneven floor surfaces, creating a level finish. The kit includes corner and end pieces, along with clip-on fixings for a seamless, neat look.",Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Mira Flight Low square riser kit 900mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/21/NW-D52521_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLowLevelST_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Trays_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
8,PD52526,Mira Flight Low quadrant riser kit White,Mira,56.08,"The Mira Flight Low quadrant riser conversion kit is designed for use on uneven floor surfaces, creating a level finish. The kit includes corner and end pieces, along with clip-on fixings for a seamless, neat look.",Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Mira Flight Low quadrant riser kit White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/26/NW-D52526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Flight_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Trays_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
9,PD08503,Classic Marble ClassiSeal flexible self adhesive upstand 3.2mtr,Classic Marble,33.07,"A professional waterproofing system, the patented Classic Marble ClassiSeal 3.2M flexible self-adhesive waterproof upstand is suitable for shower installation but can also be used elsewhere in the home, including the kitchen. Accommodating 15mm of movement, this EPDM upstand is applied by hand to the sides of a shower tray or bath ahead of installation for reliable sealing with less effort. It can be used in new build installations as well as being suitable for renovation and refit jobs.",Showering/Shower Trays and Bases/Shower Tray Accessories/Shower Tray Accessories.csv -> Classic Marble ClassiSeal flexible self adhesive upstand 3.2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/04/NW-D08501_D08504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Classic_Marble_ClassiSeal_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
