,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Pressure,Range,Warranty,Hazardous,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Depth (mm),Manual / Thermostatic,Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Number of Spray Patterns,Water Entry,Water Heating Energy Efficiency,Cable Entry,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Feature 6,Feature 7,Feature 8,Feature 9,Pack Quantity,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14
0,PD35294,Mira Sport single outlet electric shower 9.8kW,Mira,216.0,"The Mira Sport thermostatic single outlet 9.8kW electric shower is an adaptable unit designed to meet your every showering need. Separate temperature and power controls give the user complete control of their comfort while four spray modes provide a range of different experiences, from drenching coverage to a muscle-easing massage.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Sport single outlet electric shower 9.8kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/34/D90834_wm.jpg,Chrome / White,N/A (conditions apply),10.0,0.7,0.7 Bar Minimum dynamic,Sport,2 years,N,XS,A,15 dB,90,Manual,120,358,215,90,1.25m,4,"Left (rising, falling & rear)",39,"Left (rising, falling & rear)",D35294 PK,N,With 120mm handset,Handset offers 4x spray modes,Chrome and white finish,2 year warranty,,,,,,,,,,,,,,,,,
1,PD35290,Mira Sport manual single outlet electric shower 9.0kW,Mira,183.0,"Enjoy a luxurious showering experience with the Mira Sport 9.0kW manual single outlet electric shower. A simple chrome and white design, this shower is supplied complete with separated power and temperature controls and a four-mode handset, allowing every user to enjoy a bespoke showering experience, whether that's an invigorating post-workout cool down or a relaxing warm deluge.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Sport manual single outlet electric shower 9.0kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/33/D90832_D90833_wm.jpg,White / Chrome,N/A (conditions apply),10.0,0.7,10 BAR,Sport,2 years,N,XS,A,15 dB,90,Manual,120,358,215,90,1.25m,4,"Left (rising, falling & rear)",39,"Left (rising, falling & rear)",D35290 PK,N,With 120mm handset,Includes 4x spray modes,White and chrome finish,A-rated efficiency,2 year warranty,,,,,,,,,,,,,,,,
2,PD35292,Mira Sport manual dual outlet electric shower 9.0kW,Mira,258.0,"Easy to install, the Mira Sport manual dual outlet 9kW electric shower offers retrofit options to minimise the hassle of a bathroom refit. Attractively styled in white and chrome, this shower is supplied complete with a luxury overhead soaking shower and a targeted handheld head, providing you with a range of showering options to suit your mood.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Sport manual dual outlet electric shower 9.0kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/36/D90836_wm.jpg,White / Chrome,N/A (conditions apply),10.0,0.7,10 BAR,Sport,2 years,N,XS,A,15 dB,90,Manual,250,358,215,90,1.25m,5,"Left (rising, falling & rear)",39,"Left (rising, falling & rear)",D35292 PK,N,Includes 120mm handheld spray,Includes large 250mm overhead showerhead,With 5x spray patterns total,White and chrome finish,2 year warranty,,,,,,,,,,,,,,,,
3,PD35293,Mira Sport thermostatic single outlet electric shower 9.0kW,Mira,220.0,"The Mira Sport thermostatic single outlet 9kW electric shower is an adaptable unit designed to meet your every showering need. Separate temperature and power controls give the user complete control of their comfort while four spray modes provide a range of different experiences, from drenching coverage to a muscle-easing massage.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Sport thermostatic single outlet electric shower 9.0kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/42/D90842_wm.jpg,Chrome / White,N/A (conditions apply),10.0,0.7,0.7 Bar Minimum dynamic,Sport,2 years,N,XS,A,15 dB,90,Thermostatic,120,358,215,90,1.25m,4,"Left (rising, falling & rear)",39,"Left (rising, falling & rear)",D35293 PK,N,With 120mm handset,Handset offers 4x spray modes,Chrome and white finish,2 year warranty,,,,,,,,,,,,,,,,,
4,PD35291,Mira Sport manual single outlet electric shower 7.5kW,Mira,167.0,"Enjoy a luxurious showering experience with the Mira Sport 7.5W manual single outlet electric shower. A simple chrome and white design, this shower is supplied complete with separated power and temperature controls and a four-mode handset, allowing every user to enjoy a bespoke showering experience, whether that's an invigorating post-workout cool down or a relaxing warm deluge.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Sport manual single outlet electric shower 7.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/33/D90832_D90833_wm.jpg,White / Chrome,N/A (conditions apply),10.0,0.7,10 BAR,Sport,2 years,N,XS,A,15 dB,90,Manual,120,358,215,90,1.25m,4,"Left (rising, falling & rear)",39,"Left (rising, falling & rear)",D35291 PK,N,With 120mm handset,Includes 4x spray modes,White and chrome finish,A-rated efficiency,2 year warranty,,,,,,,,,,,,,,,,
5,PD35295,Mira Sport manual dual outlet electric shower 9.8kW,Mira,275.0,"Easy to install, the Mira Sport manual dual outlet 9.8kW electric shower offers retrofit options to minimise the hassle of a bathroom refit. Attractively styled in white and chrome, this shower is supplied complete with a luxury overhead soaking shower and a targeted handheld head, providing you with a range of showering options to suit your mood.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Sport manual dual outlet electric shower 9.8kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/37/D90837_wm.jpg,Chrome / White,N/A (conditions apply),10.0,0.7,0.7 Bar Minimum dynamic,Sport,2 years,N,XS,A,15 dB,90,Manual,250,358,215,90,1.25m,5,"Left (rising, falling & rear)",39,"Left (rising, falling & rear)",D35295 PK,N,Includes 120mm handheld spray,Includes large 250mm overhead showerhead,With 5x spray patterns total,White and chrome finish,2 year warranty,,,,,,,,,,,,,,,,
6,PD62146,Mira Advance Flex 1.1785.003 thermostatic electric shower 8.7kW,Mira,287.51,"Designed for usability, the 8.7kW Mira Advance Flex electric thermostatic shower, styled in sleek chrome and white, includes a wide range of safety and operation features to make showering easy for every family member, young or old. Boasting Mira's Opti-floPro™, this efficient A-rated electric shower delivers consistent comfort all year, regardless of water pressure while thermostatic temperature control and adjustable maximum temperature settings keep users safe and comfortable.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Advance Flex 1.1785.003 thermostatic electric shower 8.7kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/48/NW-D62144_D62148_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Advance_J09A_DGKN_Spare_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Mira_AdvanceFlex_Elec_Shower_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_AdvanceFlex_Elec_Shower_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Advance_Shower_Fittings_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Thermo_Elec_Shwr_Installation.pdf,,,,,,,,,,,
7,PD90814,Mira Jump Multi-Fit electric shower 9.5Kw,Mira,157.67,"With three spray showerheads, the 9.5kW Mira Jump Multi-Fit electric shower offers the ultimate in flexible showering comfort. Easy to install, with multiple cable and water entry points, this stylish chrome and white unit is the perfect upgrade to an existing electric shower, minimising the need to re-tile after fitting. The A-rated Jump provides an eco setting, rub-clean nozzles and inbuilt Mira Clearscale™ technology to reduce the build-up of limescale by up to 50% for better performance over a longer lifetime.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Jump Multi-Fit electric shower 9.5Kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/NW-D90813_D90815_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Jump_Multi-Fit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Jump_Multi-Fit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Beat-Nectar_Shower_Fits_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Jump_Elec_Shower_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Jump_Multi-fit_Spare_Guide.pdf,,,,,,,,,,,
8,PD00465,Triton T80Z fast fit shower 8.5kw White/Chrome Plated,Triton,154.58,"Attractively designed for a modern, stylish look, the chrome and white 8.5kW Triton T80Z Fast-Fit manual shower is an ideal replacement for outdated shower units, offering multiple cable and water entry points located to the left and right side of the unit for straightforward refitting. Simple start/stop controls, a rub clean showerhead with a range of spray patterns and a sleek adjustable riser rail kit make the A-rated T80Z as popular with homeowners as it is with installers.",Showering/Showers/Electric Showers/Electric Showers.csv -> Triton T80Z fast fit shower 8.5kw White/Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/65/D00465_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Triton_Lewis_Riser_Rail_Assy_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_T80Z_Fast-Fit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Triton_T80Z_Fast-Fit_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_T80Z_Fast-Fit_Installation.pdf,,,,,,,,,,,,
9,PD90813,Mira Jump Multi-Fit electric shower 8.5kw,Mira,148.45,"With three spray showerheads, the 8.5kW Mira Jump Multi-Fit electric shower offers the ultimate in flexible showering comfort. Easy to install, with multiple cable and water entry points, this stylish chrome and white unit is the perfect upgrade to an existing electric shower, minimising the need to re-tile after fitting. The A-rated Jump provides an eco setting, rub-clean nozzles and inbuilt Mira Clearscale™ technology to reduce the build-up of limescale by up to 50% for better performance over a longer lifetime.",Showering/Showers/Electric Showers/Electric Showers.csv -> Mira Jump Multi-Fit electric shower 8.5kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/NW-D90813_D90815_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Jump_Multi-Fit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Jump_Multi-Fit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Beat-Nectar_Shower_Fits_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Jump_Elec_Shower_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Jump_Multi-fit_Spare_Guide.pdf,,,,,,,,,,,
