,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Warranty,Hazardous,Depth (mm),Material,Number of Outlets,Number of Spray Patterns,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Range,Pressure,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry,Water Heating Energy Efficiency,Cable Entry,Operating Temperature,Projection Depth,Style,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Attachment 6,Feature 13,Attachment 7,Attachment 8,Pack Quantity,Remote Options,Shower Head Position,Controls,Display Type,Water Entry Points,Voltage (V),Feature 14,Eco Setting
0,PD62146,Mira Advance Flex 1.1785.003 thermostatic electric shower 8.7kW,Mira,287.51,"Designed for usability, the 8.7kW Mira Advance Flex electric thermostatic shower, styled in sleek chrome and white, includes a wide range of safety and operation features to make showering easy for every family member, young or old. Boasting Mira's Opti-floPro™, this efficient A-rated electric shower delivers consistent comfort all year, regardless of water pressure while thermostatic temperature control and adjustable maximum temperature settings keep users safe and comfortable.",Showering/Showers/Showers.csv -> Mira Advance Flex 1.1785.003 thermostatic electric shower 8.7kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/48/NW-D62144_D62148_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Advance_J09A_DGKN_Spare_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Mira_AdvanceFlex_Elec_Shower_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_AdvanceFlex_Elec_Shower_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Advance_Shower_Fittings_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Thermo_Elec_Shwr_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PA05033,Nabis ERD 803161D disc bar valve shower,Nabis,99.01,"Offering indulgent showering experiences every time, the Nabis disc ERD bar valve shower with diverter is supplied with two individual showerheads for your choice of targeted rinsing or luxurious deluge. Not only does this shower have a smart modern design, it also incorporates a range of must-have safety features, including thermostatic control which will maintain temperatures when fluctuations in pressure occur.",Showering/Showers/Showers.csv -> Nabis ERD 803161D disc bar valve shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/33/A05033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Nabis Shower Spare Parts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_A05033_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD51495,Aqualisa AQ AQ75BAR1 AQ75 Therm Bar Vlv And Kit,Aqualisa,102.49,"A stylish, modern brass valve with polished chrome finish and metal handles. This affordable, entry level bar valve from Aqualisa, has an unmistakeable feel of quality and reliability. The cool touch body, as well as the temperature override button, add assuring features which make it a great choice for family-safe showering. Complete with a 110mm multi-mode handset, the shower delivers 3 impressive spray patterns to suit different individual preferences. This bar valve, which can be fitted to all UK water systems, is easily installed with a wall fixing bracket and adjustable rail fixing points. It comes complete with a 5 year guarantee as standard (T&C's apply)",Showering/Showers/Showers.csv -> Aqualisa AQ AQ75BAR1 AQ75 Therm Bar Vlv And Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/19/414819_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Aqualisa_AQ075_AQ100_3245F_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD01196,Center Cool-Touch thermostatic bar valve and kit,Center,63.0,"Suitable for all plumbing systems, the Center Cool-Touch thermostatic bar valve makes use of Cool Chrome technology, keeping the bar cool to the touch throughout use. Thermostatic technology meanwhile maintains a safe temperature, ceasing operation when a chosen maximum temperature is reached.",Showering/Showers/Showers.csv -> Center Cool-Touch thermostatic bar valve and kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/96/D01196_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D01196_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D01196_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD01191,Nabis Zeus D01191 squential shower mixer with exposed variable and kit,Nabis,129.76,"The Nabis Zeus sequential shower mixer with exposed variable and kit is supplied with an easy-clean showerhead. Controlled thermostatically, the Zeus provides safe, practical showering, maintaining a comfortable temperature, even in the face of pressure fluctuations.",Showering/Showers/Showers.csv -> Nabis Zeus D01191 squential shower mixer with exposed variable and kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/91/NW-D01191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_D01191_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_D01191_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD10633,Bristan Sonique Sonique Seq. Ev Mixer & Kit,Bristan,143.75,"Supplied with all required parts for easy installation, the Bristan Sonique exposed mini valve shower has a modern, angular design well-suited to contemporary bathrooms and incorporates thermostatic technology for reliably comfortable and safe showering.",Showering/Showers/Showers.csv -> Bristan Sonique Sonique Seq. Ev Mixer & Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/33/NW-D10633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_Sonique_SOQ2_SHXAR_C_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Sonique_Capri_Acute_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD00223,Nabis Showerplate  bar valve fast fixing kit,Nabis,12.99,This Nabis fast fixing kit is suitable for the fitting of a shower bar valve.,Showering/Showers/Showers.csv -> Nabis Showerplate  bar valve fast fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/23/NW-D00223_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_D00223_FittingInstructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD01193,Nabis Geo D01193 square exposed rigid shower with diverter thermostatic bar valve,Nabis,185.99,"With a cool, square design, the Nabis Geo exposed rigid shower with diverter thermostatic bar valve is an attractive finishing touch for the contemporary bathroom. Dual controlled for precise delivery, balancing temperature and flow perfectly, the Geo incorporates a range of safety features including an automatic shut-off in the event of water supply failure, ideal for families.",Showering/Showers/Showers.csv -> Nabis Geo D01193 square exposed rigid shower with diverter thermostatic bar valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/93/NW-D01193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_D01193_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_D01193_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD90814,Mira Jump Multi-Fit electric shower 9.5Kw,Mira,157.67,"With three spray showerheads, the 9.5kW Mira Jump Multi-Fit electric shower offers the ultimate in flexible showering comfort. Easy to install, with multiple cable and water entry points, this stylish chrome and white unit is the perfect upgrade to an existing electric shower, minimising the need to re-tile after fitting. The A-rated Jump provides an eco setting, rub-clean nozzles and inbuilt Mira Clearscale™ technology to reduce the build-up of limescale by up to 50% for better performance over a longer lifetime.",Showering/Showers/Showers.csv -> Mira Jump Multi-Fit electric shower 9.5Kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/NW-D90813_D90815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Jump_Multi-Fit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Jump_Multi-Fit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Beat-Nectar_Shower_Fits_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Jump_Elec_Shower_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Jump_Multi-fit_Spare_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD00465,Triton T80Z fast fit shower 8.5kw White/Chrome Plated,Triton,154.58,"Attractively designed for a modern, stylish look, the chrome and white 8.5kW Triton T80Z Fast-Fit manual shower is an ideal replacement for outdated shower units, offering multiple cable and water entry points located to the left and right side of the unit for straightforward refitting. Simple start/stop controls, a rub clean showerhead with a range of spray patterns and a sleek adjustable riser rail kit make the A-rated T80Z as popular with homeowners as it is with installers.",Showering/Showers/Showers.csv -> Triton T80Z fast fit shower 8.5kw White/Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/65/D00465_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Triton_Lewis_Riser_Rail_Assy_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_T80Z_Fast-Fit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Triton_T80Z_Fast-Fit_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_T80Z_Fast-Fit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
