,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Pack Quantity,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Application,Feature 6
0,PM93023,Trench medium duty cable tray 150mm x 3m,Trench,23.1,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Trench medium duty cable tray 150mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/23/NW-M93023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,
1,PM10997,Scolmore Thorsman all round galvanised band 12 x 0.75mm x 10mtr,Scolmore,7.25,"This Scolmore Thorsman 10M x 12mm galvanised fixing band is suitable for suspended installations and anchoring in electrical, building, heating and ventilation applications.",Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Scolmore Thorsman all round galvanised band 12 x 0.75mm x 10mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/97/NW-M10997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SE_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/SE_2700610_Technical.pdf,,,,,,,,,,,,,,,,
2,P800834,Regin cable ties 250mm (Pack of 30),Regin,2.48,"Supplied in a pack of 30, Regin 250mm length cable ties are an inexpensive, simple cable management solution, allowing users to easily bunch cables for trunking or fix them neatly out of the way to minimise mess and trip hazards.",Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Regin cable ties 250mm (Pack of 30),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/34/NW-800834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,
3,PM93015,Trench medium duty cable tray 100mm x 3m,Trench,19.1,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Trench medium duty cable tray 100mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/15/NW-M93015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,
4,PM93008,Trench medium duty cable tray 75mm x 3m,Trench,16.82,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Trench medium duty cable tray 75mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/08/NW-M93008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,
5,PM93058,Trench medium duty cable tray couplers (2),Trench,3.5,"Made of steel with a pre-galvanised finish, these Trench 177 x 33 x 25mm straight wrapover couplers are designed for medium duty cable trays. Offering a female connection, Trench wrapover couplers eliminate the need for couplers when connecting to lengths.",Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Trench medium duty cable tray couplers (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/58/NW-M93058_wm.jpg,,,Galvanised,2,N,Steel,177 (L) x 33 (W) x 25 mm (H),MDTSC,Straight Coupler,N,Pack of 2,Medium duty gauge,Pre-galvanised finish,Meets BS EN 61537: 2007 standard,For use with Trench medium duty 25mm return edge cable tray,,,
6,PM93042,Trench medium duty cable tray 300mm x 3m,Trench,51.44,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Trench medium duty cable tray 300mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/42/NW-M93042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,
7,PM93032,Trench medium duty cable tray 225mm x 3m,Trench,39.73,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Trench medium duty cable tray 225mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/32/NW-M93032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,
8,PM96174,"Walraven Britclip sliding wall bracket 16-24"" (50)",Walraven,2.33,"Making mounting jobs quick and easy, these Walraven Britclips 16 - 24"" rapid sliding wall brackets are suitable for the installation of electrical boxes, conduit and pipework. Supplied in a pack of 50, these brackets can be used in stud walls and floor joists made of wood or metal.","Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Walraven Britclip sliding wall bracket 16-24"" (50)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/74/NW-M96174_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Walraven_Britclips_RSWB_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Walraven_Britclips_Wall_Bracket_Tech.pdf,,,,,,,,,,,,,,,,
9,PN90757,Marshall Tufflex MMT5 mini trunking 20 x 25mm,Marshall Tufflex,13.09,"Protecting cables while also offering space for other electrical equipment, Marshall Tufflex MMT5WH 20 x 25mm mini trunking is supplied in a 3M length. Finished in simple, clean white, this trunking is made of unplasticised polyvinyl chloride, or PVC-u and includes pre-galvanised surface protection.",Trade Essentials/Electrical Essentials/Cable Management/Cable Management.csv -> Marshall Tufflex MMT5 mini trunking 20 x 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/57/NW-N90757_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/MarshallTufflex_PVCU_Trunk_Catalogue.pdf,,,,,,,,,,,,,,,,,
