,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Hazardous,Sheath Colour,Voltage Rating,Cross Sectional Area (mm),Conductor Strand Type,Pack Length,Harmonised Code,Pack Type,Conductor Material,Insulation Material,Number of Cores,Number of Strands,Operating Temperature Range (C),Outer Diameter,Sheath Material,Strands Size,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,PE01085,Doncaster 3093Y 3 core heat resisting electrical cable 0.75mm2 reel 50mtr White,Doncaster,1.72,"Heat resisting ordinary duty flexible cords are used where the risk of mechanical damage and mechanical stresses is normal, i.e. when cables are subject to low mechanical stresses in the areas of application, and the risk of mechanical damage is low, as is the case to be expected in the normal use of small to medium size equipment in domestic and commercial as well as in light industrial premises. Examples of appliances that use heat resisting ordinary duty flexible cords are portable tools, immersion heaters, washing machines, cookers and refrigerators; especially in higher temperature zones.",Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster 3093Y 3 core heat resisting electrical cable 0.75mm2 reel 50mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/85/NW-E01085_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Doncaster_309_Y_Cables_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PE01095,Doncaster 3095Y 5 core heat resisting electrical cable per coil 0.75mm 2 reel 50mtr White,Doncaster,1.52,"Heat resisting ordinary duty flexible cords are used where the risk of mechanical damage and mechanical stresses is normal, i.e. when cables are subject to low mechanical stresses in the areas of application, and the risk of mechanical damage is low, as is the case to be expected in the normal use of small to medium size equipment in domestic and commercial as well as in light industrial premises. Examples of appliances that use heat resisting ordinary duty flexible cords are portable tools, immersion heaters, washing machines, cookers and refrigerators; especially in higher temperature zones.",Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster 3095Y 5 core heat resisting electrical cable per coil 0.75mm 2 reel 50mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/95/NW-E01095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Doncaster_309_Y_Cables_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PM10002,Doncaster NYY nyy 4 core 1.5mm 50mtr rl per reel Black,Doncaster,140.48,A 50M reel of Doncaster NYY black electrical cable.,Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster NYY nyy 4 core 1.5mm 50mtr rl per reel Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/02/M10002_wm.jpg,,NYY,N,Black,600 /1000 V,1.5,Class 1,50,N/A,REEL,Plain annealed copper,PVC,4,1,-15 to 70,12.0 mm,Polyvinyl Chloride,1.38,BS EN 60502-1,NYY4C1.5050,Electrical Cable,N,"PVC Insulated, bedded and sheathed multicore cable  bending radius 12 x Ø manufactured to BS EN 60502-1",,,,,,,,
3,PM10004,Doncaster 318-Y 4core 1.5mm 50m rl per reel BLACK,Doncaster,120.22,"Ideal for appliances such as washing machines, toasters or televisions, this Doncaster 318-Y 50M, 10.5mm diameter ordinary duty cord/flexible is designed for use anywhere at normal risk of mechanical damage and mechanical stresses. This makes it suitable for domestic or commercial use in small to medium sized electrical equipment.",Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster 318-Y 4core 1.5mm 50m rl per reel BLACK,,,"https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4-/15/E01109,M10004,12,14-15_wm.jpg",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Doncaster_Flexible_Cord_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PM10010,Doncaster SY sy 1.5mm 5 core 50mtr rl per reel Clear,Doncaster,187.93,"Suitable for use as an interconnecting cable, this Doncaster SY 12.3mm power cable, supplied on a 50M reel, is manufactured for the measurement, control or regulation of the control equipment used on assembly and production lines. It is also suitable for use in conveyors or for computer units, however it is most popularly chosen for building and construction applications, rail and transport infrastructure and for transmission and automation and process control applications. It can also be employed in fixed installations under light mechanical stress. Suitable for use indoors in dry or moist atmospheres, SY class 5 annealed copper cable is also well-protected enough for outdoor applications.",Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster SY sy 1.5mm 5 core 50mtr rl per reel Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/10/NW-M10009_M10010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_SY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PM10008,Doncaster YY yy 0.75mm 2 core 50mtr rl per reel Grey,Doncaster,41.59,"Suitable for use as an interconnecting cable, this Doncaster YY 5.9mm power cable, supplied on a 50M reel, is manufactured for the measurement, control or regulation of the control equipment used on assembly and production lines. It is also suitable for use in conveyors or for computer units and, thanks to its flexibility, this cable is particularly recommended for linking fixed mobile equipment. Suitable for use indoors in dry or moist atmospheres, YY class 5 annealed copper cable is also well-protected enough for outdoor applications.",Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster YY yy 0.75mm 2 core 50mtr rl per reel Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/08/NW-M10008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_YY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PM10001,Doncaster YY yy 1.5 4 core 50mtr rl per reel Grey,Doncaster,115.33,"Supplied in a 50M reel, this Doncaster YY 8.8mm power cable can be used as an interconnecting cable suitable for measurement, control or regulation in control equipment on assembly and production lines, in conveyors or for computer units. Highly flexible, this cable is commonly used to link fixed and mobile equipment. Well protected, YY cable can be used outdoor, however it is more commonly selected for indoor use in dry or moist conditions.",Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster YY yy 1.5 4 core 50mtr rl per reel Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/01/NW-M10001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_YY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PM09999,Doncaster CY cy 0.75 2core scrnd 50mtr rl per reel Grey,Doncaster,57.08,"Supplied in a 50M reel, this Doncaster CY 7.3mm power cable can be used as an interconnecting cable suitable for measurement, control or regulation in control equipment on assembly and production lines, in conveyors or for computer units. Because the cable's shielding reduces electromagnetic interference, it is especially suited to data transmission tasks. Well protected, CY cable can be used outdoor, however it is more commonly selected for indoor use in dry or moist conditions.",Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster CY cy 0.75 2core scrnd 50mtr rl per reel Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-M09999_M10000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_CY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PM10000,Doncaster CY cy 1.5 2core scrnd 50mtr rl per reel Grey,Doncaster,85.84,"Supplied in a 50M reel, this Doncaster CY 8.1mm power cable can be used as an interconnecting cable suitable for measurement, control or regulation in control equipment on assembly and production lines, in conveyors or for computer units. Because the cable's shielding reduces electromagnetic interference, it is especially suited to data transmission tasks. Well protected, CY cable can be used outdoor, however it is more commonly selected for indoor use in dry or moist conditions.",Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster CY cy 1.5 2core scrnd 50mtr rl per reel Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-M09999_M10000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_CY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PM10014,Doncaster 318-Y 3183y 1.5 5mtr coil per coil white,Doncaster,11.83,"Suitable for small to medium sized commercial or domestic electrical items, Doncaster 318-Y 9.4mm diameter ordinary duty cord is ideal for use with washing machines, televisions or toasters. Manufactured for applications where a normal risk of mechanical damage and mechanical stresses occurs, this white flexible cord is supplied on a 5M coil.",Trade Essentials/Electrical Essentials/Cables/Cables.csv -> Doncaster 318-Y 3183y 1.5 5mtr coil per coil white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/14/NW-M10014_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Doncaster_Flexible_Cord_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
