,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Range,Hazardous,Sheath Colour,Voltage Rating,Cross Sectional Area (mm),Conductor Strand Type,Pack Length,Harmonised Code,Pack Type,Conductor Material,Insulation Material,Number of Cores,Number of Strands,Operating Temperature Range (C),Outer Diameter,Sheath Material,Strands Size,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Diameter,Pack Quantity,Colour,Depth (mm),Back Box Type,Material,Number of Gangs,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Amps,Voltage (V),Ways,Application,Size,Dimensions (L x W x D)
0,P459248,Regin Electrical Connectors 5-way connector (1 pr),Regin,8.49,"Highly robust, this quality Regin five-way electrical connector makes the wiring in boilers more efficient, meaning simpler servicing and easier maintenance. It is supplied with a strain relief for additional safety.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Regin Electrical Connectors 5-way connector (1 pr),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/48/NW-459248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Regin_Eleccon_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Regin_3_or_5_way_Connector_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PE01085,Doncaster 3093Y 3 core heat resisting electrical cable 0.75mm2 reel 50mtr White,Doncaster,1.72,"Heat resisting ordinary duty flexible cords are used where the risk of mechanical damage and mechanical stresses is normal, i.e. when cables are subject to low mechanical stresses in the areas of application, and the risk of mechanical damage is low, as is the case to be expected in the normal use of small to medium size equipment in domestic and commercial as well as in light industrial premises. Examples of appliances that use heat resisting ordinary duty flexible cords are portable tools, immersion heaters, washing machines, cookers and refrigerators; especially in higher temperature zones.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster 3093Y 3 core heat resisting electrical cable 0.75mm2 reel 50mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/85/NW-E01085_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Doncaster_309_Y_Cables_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PE01095,Doncaster 3095Y 5 core heat resisting electrical cable per coil 0.75mm 2 reel 50mtr White,Doncaster,1.52,"Heat resisting ordinary duty flexible cords are used where the risk of mechanical damage and mechanical stresses is normal, i.e. when cables are subject to low mechanical stresses in the areas of application, and the risk of mechanical damage is low, as is the case to be expected in the normal use of small to medium size equipment in domestic and commercial as well as in light industrial premises. Examples of appliances that use heat resisting ordinary duty flexible cords are portable tools, immersion heaters, washing machines, cookers and refrigerators; especially in higher temperature zones.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster 3095Y 5 core heat resisting electrical cable per coil 0.75mm 2 reel 50mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/95/NW-E01095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Doncaster_309_Y_Cables_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PM93023,Trench medium duty cable tray 150mm x 3m,Trench,23.1,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Trench medium duty cable tray 150mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/23/NW-M93023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PM10002,Doncaster NYY nyy 4 core 1.5mm 50mtr rl per reel Black,Doncaster,140.48,A 50M reel of Doncaster NYY black electrical cable.,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster NYY nyy 4 core 1.5mm 50mtr rl per reel Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/02/M10002_wm.jpg,,,NYY,N,Black,600 /1000 V,1.5,Class 1,50,N/A,REEL,Plain annealed copper,PVC,4,1,-15 to 70,12.0 mm,Polyvinyl Chloride,1.38,BS EN 60502-1,NYY4C1.5050,Electrical Cable,N,"PVC Insulated, bedded and sheathed multicore cable  bending radius 12 x Ø manufactured to BS EN 60502-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PM10997,Scolmore Thorsman all round galvanised band 12 x 0.75mm x 10mtr,Scolmore,7.25,"This Scolmore Thorsman 10M x 12mm galvanised fixing band is suitable for suspended installations and anchoring in electrical, building, heating and ventilation applications.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Scolmore Thorsman all round galvanised band 12 x 0.75mm x 10mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/97/NW-M10997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SE_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/SE_2700610_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PM10004,Doncaster 318-Y 4core 1.5mm 50m rl per reel BLACK,Doncaster,120.22,"Ideal for appliances such as washing machines, toasters or televisions, this Doncaster 318-Y 50M, 10.5mm diameter ordinary duty cord/flexible is designed for use anywhere at normal risk of mechanical damage and mechanical stresses. This makes it suitable for domestic or commercial use in small to medium sized electrical equipment.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster 318-Y 4core 1.5mm 50m rl per reel BLACK,,,"https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4-/15/E01109,M10004,12,14-15_wm.jpg",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Doncaster_Flexible_Cord_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P457287,Regin REGQ141 quick blow glass fuse 20mm 2a (Pack of 3),Regin,1.62,"Regin Products has over 20 years experience in supplying safe, simple and easy to use products for heating and plumbing engineers.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Regin REGQ141 quick blow glass fuse 20mm 2a (Pack of 3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/87/457287_wm.jpg,,,,N,,,,,,,,,,,,,,,,,Q141,Fuse,N,ISO 9001 certified,20 mm,pack of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PBE6834,CPE Meter Boxes surface mounted gas meter enclosure box,CPE,46.44,"Designed for surface mounting, this CPE gas meter enclosure box in white is supplied complete with a bracket for ease of fitting.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> CPE Meter Boxes surface mounted gas meter enclosure box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/34/BE6834_wm.jpg,,,Meter Boxes,N,,,,,,,,,,,,,,,,,MISC0002,Gas Meter Enclosure Box,N,GRP construction,,,White,224,N/A,GRP,0,White colour,Weather-resistant design,Suitable for any domestic gas meter,With key,Includes bracket,,,,,,,,,,,,,,,,,,,
9,PM10010,Doncaster SY sy 1.5mm 5 core 50mtr rl per reel Clear,Doncaster,187.93,"Suitable for use as an interconnecting cable, this Doncaster SY 12.3mm power cable, supplied on a 50M reel, is manufactured for the measurement, control or regulation of the control equipment used on assembly and production lines. It is also suitable for use in conveyors or for computer units, however it is most popularly chosen for building and construction applications, rail and transport infrastructure and for transmission and automation and process control applications. It can also be employed in fixed installations under light mechanical stress. Suitable for use indoors in dry or moist atmospheres, SY class 5 annealed copper cable is also well-protected enough for outdoor applications.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster SY sy 1.5mm 5 core 50mtr rl per reel Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/10/NW-M10009_M10010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_SY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
