,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Pack Quantity,Hazardous,Dimensions (L x W x D),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4
0,P459248,Regin Electrical Connectors 5-way connector (1 pr),Regin,8.49,"Highly robust, this quality Regin five-way electrical connector makes the wiring in boilers more efficient, meaning simpler servicing and easier maintenance. It is supplied with a strain relief for additional safety.",Trade Essentials/Electrical Essentials/Termination/Termination.csv -> Regin Electrical Connectors 5-way connector (1 pr),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/48/NW-459248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Regin_Eleccon_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Regin_3_or_5_way_Connector_Install.pdf,,,,,,,,,,,,
1,P617057,Specialised Wiring butt splice 15mm Blue (100),Specialised Wiring,0.08,"These Specialised Wiring pre-insulated butt splice terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Electrical Essentials/Termination/Termination.csv -> Specialised Wiring butt splice 15mm Blue (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/57/NW-617057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_r/ev/Specialised_Wiring_Butt_Splices_Rev.pdf,,,,,,,,,,,,,
2,P617056,Specialised Wiring butt splice 15mm Red (100),Specialised Wiring,0.07,"These Specialised Wiring pre-insulated butt splice terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Electrical Essentials/Termination/Termination.csv -> Specialised Wiring butt splice 15mm Red (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/56/NW-617056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_r/ev/Specialised_Wiring_Butt_Splices_Rev.pdf,,,,,,,,,,,,,
3,P459246,Regin Electrical Connectors electrical connector with strain relief 3 way (1 pr),Regin,8.89,"Highly robust, this quality Regin three-way 5A electrical connector makes the wiring in boilers more efficient, meaning simpler servicing and easier maintenance. It is supplied with a strain relief for additional safety.",Trade Essentials/Electrical Essentials/Termination/Termination.csv -> Regin Electrical Connectors electrical connector with strain relief 3 way (1 pr),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/46/NW-459246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Regin_Eleccon_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Regin_3_or_5_way_Connector_Install.pdf,,,,,,,,,,,,
4,P408679,CEF Earth Clamp (1),CEF,2.53,"Suitable for use in humid or wet corrosive atmospheres, this CEF blue earth clamp is made of zinc-treated copper with phosphor bronze.",Trade Essentials/Electrical Essentials/Termination/Termination.csv -> CEF Earth Clamp (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/79/NW-408679_wm.jpg,,,Blue / Silver,1,N,136 x 1 x 13mm,Zinc treated copper and phosphor bronze,0611-1751,Earth Clamp,N,Use in Corrsoive and Humid/Wet atmospheres,Manufactured to BS 951:2009,Suitable for pipe diameters 12-32mm,Zinc treated copper and phosphor bronze
5,P439214,Regin Bits'n'Bolts connector strip 12 way 5A (2),Regin,2.48,These Regin 12-way strip connectors are made of white polyethylene material and include brass inserts and screws.,Trade Essentials/Electrical Essentials/Termination/Termination.csv -> Regin Bits'n'Bolts connector strip 12 way 5A (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/14/NW-439214_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Regin_Eleccon_Catalog.pdf,,,,,,,,,,,,,
6,P408664,F4P polyethylene strip connector 5A (1),F4P,1.17,A F4P 5A polythene strip connector.,Trade Essentials/Electrical Essentials/Termination/Termination.csv -> F4P polyethylene strip connector 5A (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/64/NW-408664_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/408664_Technical.pdf,,,,,,,,,,,,,
7,P617083,Specialised Wiring ALT cable gland 6-12mm Light Grey (1),Specialised Wiring,0.32,This Specialised Wiring ALT 20mm diameter insulated cable gland is made using polyamide for excellent resistance to a wide variety of substances.,Trade Essentials/Electrical Essentials/Termination/Termination.csv -> Specialised Wiring ALT cable gland 6-12mm Light Grey (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/84/NW-617083_617084_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SWA_Accessories_Catalogue.pdf,,,,,,,,,,,,,
8,P617058,Specialised Wiring butt splice 15mm Yellow (100),Specialised Wiring,0.14,"These Specialised Wiring pre-insulated butt splice terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Electrical Essentials/Termination/Termination.csv -> Specialised Wiring butt splice 15mm Yellow (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/58/NW-617058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_r/ev/Specialised_Wiring_Butt_Splices_Rev.pdf,,,,,,,,,,,,,
9,P617007,Specialised Wiring ring terminal 5.3mm Red (100),Specialised Wiring,0.05,"These Specialised Wiring pre-insulated ring terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Electrical Essentials/Termination/Termination.csv -> Specialised Wiring ring terminal 5.3mm Red (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/07/NW-617007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_r/ev/SWA_Ring_Terminals_Rev.pdf,,,,,,,,,,,,,
