,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Range,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 2,Diameter,Material,Feature 15,Feature 16,Feature 17,Feature 18
0,PS00288,Fischer metal cavity fixing 5 x 37mm (20),Fischer,5.99,"Versatile fixings with metric screws, these Fischer HM-S cavity metal anchors are suitable for all panel building materials, fixing lights, towel rails and curtain rails. Set with Fischer installation pliers HM-Z 1 in pre-positioned installation, these fixings are pulled into the cavity against the board building material with pliers, expanding arms swinging open to press onto the reverse side of the board. As an alternative, assembly can be carried out with a screwdriver.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Fischer metal cavity fixing 5 x 37mm (20),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/88/NW-S00288_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/le/Fischer_Cavity_Fixing_HM_Load_Table.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PS18848,Fischer DuoTec 537260 nylon toggle cavity fix 10mm (20),Fischer,19.89,"Suitable for use on high tensile and transverse loads, the Fischer DuoTec 10mm nylon toggle cavity fix and panhead screw is strong enough for radiator and TV bracket fixing. Easy to use, even in narrow or insulated cavities, these plugs and screws offer small 10mm drill hole diameters and a short toggle element. With no cutting required for easier, safer fitting into gypsum, DuoTec plugs won't fall into the drill hole, even without a screw, making pre-install straightforward. Automatically folding behind the panel for added strength, the plug's toggle element works alongside a flexible stainless steel screw seat for reliable use with wood and chipboard screws or metric hooks and threaded rods with lock nuts.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Fischer DuoTec 537260 nylon toggle cavity fix 10mm (20),,20 fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/48/S18848_wm.jpg,,20,DuoTec,N,10 x 39mm,537260,Cavity Wall Fixing,N,Pack of 20,Installation-friendly solution,Ideal for high loads in board material,Small drill-hole diameter for installation with 10mm drill bit,Short toggle element simplifies installation in narrow cavities  40mm,Short toggle element simplifies installation in mineral wool insulated cavities  50mm,Works as expansion plug in drill holes with wood substructure,Toggle element made of hard/soft glass fibre-reinforced plastic,Higher load perfomance and distribution of loads in board material than conventional plastic,Increases load-bearing capacity without damaging gypsum plasterboard,White fibreglass reinforced plastic collar sleeve increases shear load-bearing capacity,Flexible stainless steel screw entry,"Compatible with wood, chipboard and metric screws",Functions as expansion plug in solid materials where something is hit,,,,,,,
2,PIS5605,Owlett Jaton hollow wall anchor 5-13mm 60mm (M5 x 60) (Pack of 50),Owlett Jaton,22.87,"These Owlett Jaton metal hollow wall anchors create a strong, permanent anchorage to plasterboard. These expanding cavity fixings are suitable for use in plasterboard and other cavity applications.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Owlett Jaton hollow wall anchor 5-13mm 60mm (M5 x 60) (Pack of 50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/05/NW-IS5604_IS5605_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JCP_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Hollow_Wall_Anchors_Technical.pdf,,,,,,
3,PIS5604,Owlett Jaton hollow wall anchor 6-13mm 45mm (M5 x 45) (Pack of 100),Owlett Jaton,38.49,"These Owlett Jaton metal hollow wall anchors create a strong, permanent anchorage to plasterboard. These expanding cavity fixings are suitable for use in plasterboard and other cavity applications.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Owlett Jaton hollow wall anchor 6-13mm 45mm (M5 x 45) (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/05/NW-IS5604_IS5605_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JCP_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Hollow_Wall_Anchors_Technical.pdf,,,,,,
4,PS00289,Fischer metal spring toggle 5 x 50mm (20),Fischer,4.56,"Ideal for double thickness plasterboard, these Fischer spring toggle cavity fixings with metric screws are made of a heavy gauge material for superior loads and a nut to prevent stripping under load.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Fischer metal spring toggle 5 x 50mm (20),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/89/NW-S00289_wm.jpg,,20,,N,,42872,Toggle Fixing,N,Pack of 20,Cavity fixing with long metric screw for different board thicknesses,"Pushed through drill hole, toggle expands by force behind the board","Suitable for gypsum plasterboard, fibreboards, chipboard, plywood and cavity slabs","Spring-loaded, pre-assembled head for easy installation",Suitable for overhead applications,,,,,,,,,,14 mm,Metal,,,,
5,PS18863,Fischer DuoLine DuoTec nylon toggle cavity fix 10mm (50),Fischer,56.85,"Suitable for use on high tensile and transverse loads, the Fischer DuoTec 10mm nylon toggle cavity fix is strong enough for radiator and TV bracket fixing. Easy to use, even in narrow or insulated cavities, these plugs and screws offer small 10mm drill hole diameters and a short toggle element. With no cutting required for easier, safer fitting into gypsum, DuoTec plugs won't fall into the drill hole, even without a screw, making pre-install straightforward. Automatically folding behind the panel for added strength, the plug's toggle element works alongside a flexible stainless steel screw seat for reliable use with wood and chipboard screws or metric hooks and threaded rods with lock nuts.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Fischer DuoLine DuoTec nylon toggle cavity fix 10mm (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/63/S18863_wm.jpg,,50,DuoLine,N,,537258,Cavity Wall Fixing,N,Pack of 50,Installation-friendly solution,Ideal for high loads in board material,Small drill-hole diameter for installation with 10mm drill bit,Short toggle element simplifies installation in narrow cavities  40mm,Short toggle element simplifies installation in mineral wool insulated cavities  50mm,Works as expansion plug in drill holes with wood substructure,Toggle element made of hard/soft glass fibre-reinforced plastic,Higher load perfomance and distribution of loads in board material than conventional plastic,Increases load-bearing capacity without damaging gypsum plasterboard,White fibreglass reinforced plastic collar sleeve increases shear load-bearing capacity,Flexible stainless steel screw entry,"Compatible with wood, chipboard and metric screws",Functions as expansion plug in solid materials where something is hit,,10 mm,Nylonglass re-enforced plastic,,,,
6,PS18877,Fischer DuoLine DuoBlade selfdrilling plasterboard plug and screw (25),Fischer,11.11,"Featuring different components chosen for their high levels of performance, these Fischer DuoLine DuoBlade self-drilling plasterboard plugs and screws is part of the reliable DuoLine range. With a self-drilling tip, DuoBlade allows for effective drilling when a fixing is screwed into the installation pre-position with screwdriver setting tool flush to the surface of gypsum plasterboard. Universally suitable for fixing, this plug and screw system offers excellent performance with 4 - 5mm wood, metal and chipboard screws and hook and eye screws, making it suitable for a variety of fitting jobs, ranging from smoke detectors to curtain rods and shutters. Compatible with a conventional PZ2 drive, DuoBlade doesn't need a special setting device.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Fischer DuoLine DuoBlade selfdrilling plasterboard plug and screw (25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/77/S18877_wm.jpg,,25,DuoLine,N,,545676,Cavity Wall Fixing,N,Pack of 25,"With 44mm length, 29mm without drilling tip",Self-drilling for quick installation,Centering point for precise anchor positioning,Anti-rotation lock prevents spinning in drill hole,Same PZ2 drive for plug and screw,Optimum hold with appropriate chipboard screw,,,,,,,,,4.5mm Screw,Nylonglass re-enforced plastic,,,,
7,PS18849,Fischer DuoBlade 545675 self-drill plasterboard fix (50),Fischer,10.55,"Featuring different components chosen for their high levels of performance, the Fischer DuoLine DuoBlade self-drilling plasterboard fix is part of the reliable DuoLine range. With a self-drilling tip, DuoBlade allows for effective drilling when a fixing is screwed into the installation pre-position with screwdriver setting tool flush to the surface of gypsum plasterboard. Universally suitable for fixing, this plug and screw system offers excellent performance with 4 - 5mm wood, metal and chipboard screws and hook and eye screws, making it suitable for a variety of fitting jobs, ranging from smoke detectors to curtain rods and shutters. Compatible with a conventional PZ2 drive, DuoBlade doesn't need a special setting device.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Fischer DuoBlade 545675 self-drill plasterboard fix (50),,50 fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/49/S18849_wm.jpg,,50,DuoBlade,N,44mm29mm without drilling tip,545675,Cavity Wall Fixing,N,Pack of 50,Centring tip for easy precision setting of plug,Additional expansion for higher load values,Same PZ2 drive for both plug and screw,Self-drilling tip with 3x sharp cutting blades for fast installation,Anti-rotation lock prevents spinning in drill hole,Sharp self-cutting thread for optimum form lock,,,,,,,,,,,,,,
8,PS18875,Fischer DuoLine DuoTec nylon cavity fix 12mm (10),Fischer,19.85,"Suitable for use on high tensile and transverse loads, the Fischer DuoTec 12mm nylon cavity fix is strong enough for radiator and TV bracket fixing. Easy to use, even in narrow or insulated cavities, these plugs and screws offer small 10mm drill hole diameters and a short toggle element. With no cutting required for easier, safer fitting into gypsum, DuoTec plugs won't fall into the drill hole, even without a screw, making pre-install straightforward. Automatically folding behind the panel for added strength, the plug's toggle element works alongside a flexible stainless steel screw seat for reliable use with wood and chipboard screws or metric hooks and threaded rods with lock nuts.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Fischer DuoLine DuoTec nylon cavity fix 12mm (10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/75/S18875_wm.jpg,,10,DuoLine,N,,542590,Cavity Wall Fixing,N,Pack of 10,46mm length,Flexible screw mount,Suitable for screws and hooks with different thread shapes,Glass fibre-reinforced plastic,Metal skeleton insert (Fischer DuoTec 12),Toggle handles heavy tensile and transverse loads in panel building materials,Soft grey nylon contact surface distributes load over surface,Minimises weakening of building material,Standard drill hole diameters and short tilting element,Easy install in narrow cavities,Suitable for insulated cavities,White flush sleeve with snap function,Plug can be securely pre-installed in drill hole,,12 mm,Nylonglass re-enforced plastic,Scale on grip strap (Fischer DuoTec 12) determines required screw length,Choose scale value + 20 mm,Use with 6mm metric screw or 5/6mm wood and chipboard screw,Functions as expansion plug in solid materials where something is hit
9,PS18865,Fischer DuoLine DuoTec nylon toggle cavity fix and screws 10mm (10),Fischer,13.22,"Suitable for use on high tensile and transverse loads, the Fischer DuoTec 10mm nylon toggle cavity fix and screws is strong enough for radiator and TV bracket fixing. Easy to use, even in narrow or insulated cavities, these plugs and screws offer small 10mm drill hole diameters and a short toggle element. With no cutting required for easier, safer fitting into gypsum, DuoTec plugs won't fall into the drill hole, even without a screw, making pre-install straightforward. Automatically folding behind the panel for added strength, the plug's toggle element works alongside a flexible stainless steel screw seat for reliable use with wood and chipboard screws or metric hooks and threaded rods with lock nuts.",Trade Essentials/Fixings and Fasteners/Fixings/Cavity Fixings/Cavity Fixings.csv -> Fischer DuoLine DuoTec nylon toggle cavity fix and screws 10mm (10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/65/S18865_wm.jpg,,10,DuoLine,N,,537261,Cavity Wall Fixing,N,Pack of 25,Installation-friendly solution,Ideal for high loads in board material,Small drill-hole diameter for installation with 10mm drill bit,Short toggle element simplifies installation in narrow cavities  40mm,Short toggle element simplifies installation in mineral wool insulated cavities  50mm,Works as expansion plug in drill holes with wood substructure,Toggle element made of hard/soft glass fibre-reinforced plastic,Higher load perfomance and distribution of loads in board material than conventional plastic,Increases load-bearing capacity without damaging gypsum plasterboard,White fibreglass reinforced plastic collar sleeve increases shear load-bearing capacity,Flexible stainless steel screw entry,"Compatible with wood, chipboard and metric screws",Functions as expansion plug in solid materials where something is hit,,10 mm,Nylonglass re-enforced plastic,,,,
