,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Diameter,Pack Quantity,Material,Feature 3,Feature 4,Feature 5,Colour,Range
0,PN38589,Fischer recessed WC and bidet floor fixing kit,Fischer,5.25,"Designed for WC pans and bidets, this Fischer Sanitary Fixings conventional vertical fixing set includes a selection of nylon bushes and cover caps to accommodate different hole shapes and sizes. The included brass screws are suitable for screwing directly into timber floors or with the supplied nylon plugs for use in concrete floors.",Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> Fischer recessed WC and bidet floor fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/89/N38589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,
1,PN38588,Fischer recessed basin fixing kit,Fischer,4.59,This Fischer Sanitary Fixings complete fixing set enables fast and easy mounting of wash basins and urinals. The Fischer universal fixing UX without rim is suitable for pre-positioned and push-through installation in all solid or hollow building materials. A collar sleeve is included for infinite alignment.,Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> Fischer recessed basin fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/88/N38588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fischer_WST_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/le/Fischer_Urinal_Fixing_Load_Table.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,
2,PIS5599,JCP metal plasterboard fixing 15 x 35mm (Pack of 100),JCP,21.25,"Ideal for fastening light/medium loads to plasterboard, these JCP one-piece self-drilling anchors are simply screwed in using a manual or powered screwdriver. The point of the anchors drill a pilot hole, then a coarse, helical thread bites into the plasterboard substrate. Separate screws are used to mount the fixture.",Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> JCP metal plasterboard fixing 15 x 35mm (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/99/NW-IS5599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JCP_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JCP_J_Plug_Plasterboard_Fixing_Tech.pdf,,,,,,,,,,,,,,,,
3,PN38586,Fischer recessed WC and bidet fixing kit (2),Fischer,5.25,"Containing all the fittings you'll need for horizontal fitting of freestanding toilets and bidets, this Fischer Sanitary Fixings WB 5N WC fixing set includes an assembly bracket with pre-drilled rows of holes for flexible fixing in two directions. The set contains two Fischer SX 10 high quality nylon plugs, two 7 x 60 screws with integral washers, two nylon brackets, two 5 x 45 stainless steel screws and two chrome cover caps.",Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> Fischer recessed WC and bidet fixing kit (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/86/N38586_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,
4,PN38591,Fischer recessed wall mount basin fixing kit 8 x 100,Fischer,5.49,This Fischer Sanitary Fixings complete fixing set enables fast and easy mounting of wash basins and urinals. The Fischer universal fixing UX without rim is suitable for pre-positioned and push-through installation in all solid or hollow building materials.,Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> Fischer recessed wall mount basin fixing kit 8 x 100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/91/NW-N38591_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fischer_WD_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/le/Fischer_Urinal_Fixing_Load_Table.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,
5,PS01127,Georg Fischer free standing toilet with bidet fixing set (plugs/screws/caps/bushes),Georg Fischer,9.13,A Georg Fischer freestanding toilet and bidet fixing set.,Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> Georg Fischer free standing toilet with bidet fixing set (plugs/screws/caps/bushes),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/27/NW-S01127_wm.jpg,,,,,N,535878,Toilet with Bidet Fixing Set,N,Suitable for pre-positioned and push-through installation,"Includes plugs, screws, caps and bushes",,,,,,,,
6,PN38587,Fischer recessed corner basin fixing set (Pack of 2),Fischer,6.3,"Suitable for corner basins or small hand wash basins without large holes in the back strap, this Fischer Sanitary Fixings basin bracket fixing set includes slotted brackets for vertical adjustment. These brackets simply clamp on to the basin back strap and the supplied screws and nylon plugs attach the basin to a solid wall. The screws are compatible with timber using a small pilot hole.",Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> Fischer recessed corner basin fixing set (Pack of 2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/87/NW-N38587_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,
7,PN51736,Fischer self drill nylon plasterboard fixing 35mm (25),Fischer,4.73,"Made of nylon with rims and screws, these Fischer PDN universal self drill plugs are compatible with all building materials. The sharp, self-tapping threads allow for a fast, safe fixing mechanical interlock using a battery operated or electric screwdriver. No preliminary drilling is needed for boards up to 15mm thick and thanks to a short fixing length minimal space is required in and behind the board.",Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> Fischer self drill nylon plasterboard fixing 35mm (25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/36/NW-N51736_wm.jpg,,,,,N,503074,Drill Plug,N,Pack of 25,Easy installation,45 mm,25,Nylon,Nylon self-drilling 35mm plug,Supplied with screws,For use in plasterboard or fibreboard,,
8,PB17021,Ideal Standard basin fixing set,Ideal Standard,13.79,This Ideal Standard Portman 21 basin fixing set is suitable for IPS panels or block walls.,Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> Ideal Standard basin fixing set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/21/NW-B17021_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Standard_Portman_21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Standard_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,
9,PS01065,Fischer solid wall radiator fixing kit 6 x 50mm,Fischer,1.0,"Made of steel with a zinc-plated finish, this Fischer Power-Fast BP radiator fixing set fixes radiators to the wall fast and with minimal effort.",Trade Essentials/Fixings and Fasteners/Fixings/Fixing Kits/Fixing Kits.csv -> Fischer solid wall radiator fixing kit 6 x 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/65/NW-S01065_wm.jpg,,,,,N,530737,Fixing Set,N,For use in solid walls,Heavy duty design,,,Steel,Zinc-plated,,,,
