,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2
0,PN62111,Owlett Jaton JCP Shieldbolt shield anchor loose bolt 8mm x 25mm,Owlett Jaton,1.3,"These Owlett Jaton M8, 75mm length shield anchor loose bolts are made of steel with a zinc-plated and yellow passivated finish.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> Owlett Jaton JCP Shieldbolt shield anchor loose bolt 8mm x 25mm",,1pc of bolt,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/11/N62111_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Owlett_Jaton_Catalogue.pdf,
1,PM91709,"M Greenaway And Son bright zinc plated u-bolt 2"" (m10)",M Greenaway And Son,1.79,"These M Greenaway And Son M10, 50mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> M Greenaway And Son bright zinc plated u-bolt 2"" (m10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1416_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf
2,PM91710,"M Greenaway And Son bright zinc plated u-bolt 2.1/2"" (m10)",M Greenaway And Son,2.15,"These M Greenaway And Son M10, 65mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> M Greenaway And Son bright zinc plated u-bolt 2.1/2"" (m10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1616_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf
3,PM91712,"M Greenaway And Son bright zinc plated u-bolt 4"" (m12)",M Greenaway And Son,4.7,"These M Greenaway And Son M12, 100mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> M Greenaway And Son bright zinc plated u-bolt 4"" (m12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1816_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf
4,PM91713,"M Greenaway And Son bright zinc plated u-bolt 6"" (m12)",M Greenaway And Son,6.73,"These M Greenaway And Son M12, 150mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> M Greenaway And Son bright zinc plated u-bolt 6"" (m12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ2016_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf
5,PM91711,"M Greenaway And Son bright zinc plated u-bolt 3"" (m12)",M Greenaway And Son,3.87,"These M Greenaway And Son M12, 100mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> M Greenaway And Son bright zinc plated u-bolt 3"" (m12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1716_Technical.pdf
6,PM91705,"M Greenaway And Son bright zinc plated u-bolt 3/4"" (m6)",M Greenaway And Son,0.69,"These M Greenaway And Son M6, 20mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> M Greenaway And Son bright zinc plated u-bolt 3/4"" (m6)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ0716_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf
7,PM91704,"M Greenaway And Son bright zinc plated u-bolt 1/2"" (m6)",M Greenaway And Son,0.63,"These M Greenaway And Son M6, 15mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> M Greenaway And Son bright zinc plated u-bolt 1/2"" (m6)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ0416_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf
8,PM91708,"M Greenaway And Son bright zinc plated u-bolt 1.1/2"" (m10)",M Greenaway And Son,1.57,"These M Greenaway And Son M10, 40mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> M Greenaway And Son bright zinc plated u-bolt 1.1/2"" (m10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1316_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf
9,PM91706,"M Greenaway And Son bright zinc plated u-bolt 1"" (m6)",M Greenaway And Son,0.73,"These M Greenaway And Son M6, 25mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Bolts/Bolts.csv -> M Greenaway And Son bright zinc plated u-bolt 1"" (m6)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ0916_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf
