,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Feature 4,Material Type,Nut Types,Type,Feature 5,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Attachment 2,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Bolt Type,Weight,Feature 6,Feature 7,Feature 8
0,P459036,"Regin fibre washers 3/4""",Regin,2.48,"These Regin 24 x 1.5mm diverter valve washers, with 17.3mm inside diameter, are made of a general purpose commercial non-asbestos fibre material suitable for oils, fuels, low pressure steam and water. These washers offer excellent resistance to gas leakage.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Regin fibre washers 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/36/NW-459035_459036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P257451,"Center ball valve diaphram washer 1 1/4"" (5)",Center,0.77,"Ideal for the repair of a leaking toilet cistern inlet float valve, these Center 1 1/4"" ball valve diaphragm washers provide highly effective sealing of an inlet valve after every flush.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center ball valve diaphram washer 1 1/4"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/51/257451_wm.jpg,,5,N,Rubber,1.1/4,5,N/A,PPSINS374501,N,Pack of 5,Thermoplastic rubber construction,"For quick, easy installation",,,,,,,,,,,,,,,,,,,,,,,
2,P257457,Center Washers rubber trap washer 1 1/2 (5),Center,1.4,"This pack of 2mm thickness Center 1 1/2"" rubber trap washers are suitable for replacing worn washers on trap inlets.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center Washers rubber trap washer 1 1/2 (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/57/257457_wm.jpg,,5,N,Rubber,1 1/2,5,Trap Washer,PPSTAP374520,N,Pack of 5,Rubber construction,,Washers,,,,,,,,,,,,,,,,,,,,,,
3,P459035,"Regin fibre washers 1/2 """,Regin,2.48,"These Regin 18.5 x 1.5mm diverter valve washers, with 14.2mm inside diameter, are made of a general purpose commercial non-asbestos fibre material suitable for oils, fuels, low pressure steam and water. These washers offer excellent resistance to gas leakage.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Regin fibre washers 1/2 """,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/36/NW-459035_459036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P439218,Regin diverter valve fibre washer pack,Regin,2.48,"This pack of Regin diverter valve washers contains 1/2"", 3/4"" and 1"" washers made of a general purpose commercial non-asbestos fibre material suitable for oils, fuels, low pressure steam and water. These washers offer excellent resistance to gas leakage.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Regin diverter valve fibre washer pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/18/NW-439217_439218_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P257473,Center rubber doughnut washer (1),Center,3.07,"Suitable for use on WC cisterns with a 1 1/2"" outlet, this Center studio close coupling kit doughnut washer provides a reliable seal between cistern and pan.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center rubber doughnut washer (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/73/257473_wm.jpg,,1,N,Rubber,100 mm,1,N/A,PPSTRA374528,N,High-quality rubber construction,Secure fit between cistern and pan,,,,,,,,,,,,,,,,,,,,,,,,
6,P798780,Regin circulation pump washer,Regin,2.48,A pack of Regin replacement circulation pump washers in 44.95/43.95 x 2.2/1.8mm with 32.1/31.4mm inside diameters.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Regin circulation pump washer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/80/NW-798780_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P257481,Center studio doughnut washer (1),Center,3.65,"Suitable for use on coupled WC cisterns with a 1 1/2"" outlet, this Center studio close coupling kit doughnut washer provides a reliable seal between cistern and pan.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center studio doughnut washer (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/81/257481_wm.jpg,,1,N,Rubber,112 mm,1,N/A,PPSTRA374529,N,Rubber construction,Suitable for most coupled cisterns,,,,,,,,,,,,,,,,,,,,,,,,
8,P257466,"Center poly washer 1 1/4"" (5)",Center,1.94,"Ensuring a watertight seal, these Center 1 1/4"" poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center poly washer 1 1/4"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/66/257466_wm.jpg,,5,N,Polyethylene,1.1/4,5,N/A,PPSTRA374526,N,Pack of 5,Low density polyethylene construction,,,,,,,,,,,,,,,,,,,,,,,,
9,P257468,"Center sink poly washer 1 1/2"" (5)",Center,2.62,"Ensuring a watertight seal, these Center 1 1/2"" sink poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center sink poly washer 1 1/2"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/68/257468_wm.jpg,,5,N,Polyethylene,1 1/2,5,N/A,PPSFLS374464,N,Pack of 5,Low density polyethylene construction,,,,,,,,,,,,,,,,,,,,,,,,
