,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2
0,PT83755,JET Range bright zinc plated set screw (grade 8.8) 30mm (m16) (50 per bag),JET Range,2.88,This JET Range set M16 x 30mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 30mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/58/NW-T83755_T83758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
1,PT83723,JET Range bright zinc plated set screw (grade 8.8) 20mm (m10) (200 per bag),JET Range,0.78,This JET Range set M10 x 20mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 20mm (m10) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/27/NW-T83723_T83727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
2,PT83940,JET Range zinc plated high tensile screw set (grade 8.8) 60mm (m24) (25 per bag),JET Range,10.7,This JET Range set M24 x 60mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range zinc plated high tensile screw set (grade 8.8) 60mm (m24) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/44/NW-T83940_T83944_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
3,PT83757,JET Range bright zinc plated set screw (grade 8.8) 45mm (m16) (50 per bag),JET Range,3.31,This JET Range set M16 x 45mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 45mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/58/NW-T83755_T83758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
4,PT83739,JET Range bright zinc plated set screw (grade 8.8) 30mm (m12) (100 per bag),JET Range,1.3,This JET Range set M12 x 30mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 30mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/39/NW-T83738_T83739_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
5,PT83712,JET Range bright zinc plated set screw (grade 8.8) 25mm (m8) (200 per bag),JET Range,0.57,This JET Range set M8 x 25mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 25mm (m8) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/13/NW-T83712_T83713_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
6,PT83741,JET Range bright zinc plated set screw (grade 8.8) 40mm (m12) (100 per bag),JET Range,1.47,This JET Range set M12 x 40mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 40mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/41/NW-T83741_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
7,PT83921,JET Range half turn screw set grade 8.8 M16 x 60mm Zinc Plated (50 per bag),JET Range,3.95,This JET Range set M16 x 60mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range half turn screw set grade 8.8 M16 x 60mm Zinc Plated (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/23/NW-T83920_T83923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
8,PT83920,JET Range half turn screw set grade 8.8 M16 x 55mm Zinc Plated (50 per bag),JET Range,3.67,This JET Range set M16 x 55mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range half turn screw set grade 8.8 M16 x 55mm Zinc Plated (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/23/NW-T83920_T83923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
9,PT83772,JET Range bright zinc plated screw set (grade 8.8) 50mm (m20) (25 per bag),JET Range,7.09,This JET Range set M20 x 50mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated screw set (grade 8.8) 50mm (m20) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/75/NW-T83770_T83775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
10,PT83726,JET Range bright zinc plated screw (grade 8.8) 35mm (m10) (100 per bag),JET Range,1.06,This JET Range set M10 x 35mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated screw (grade 8.8) 35mm (m10) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/27/NW-T83723_T83727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
11,PT83715,JET Range bright zinc plated set screw (grade 8.8) 40mm (m8) (200 per bag),JET Range,0.65,This JET Range set M8 x 40mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 40mm (m8) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/15/NW-T83715_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
12,PT83738,JET Range bright zinc plated set screw (grade 8.8) 25mm (m12) (100 per bag),JET Range,1.26,This JET Range set M12 x 25mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 25mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/39/NW-T83738_T83739_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
13,PT83913,JET Range zinc plated high tensile screw set (grade 8.8) 60mm (m12) (100 per bag),JET Range,2.09,This JET Range set M12 x 60mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range zinc plated high tensile screw set (grade 8.8) 60mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/13/NW-T83913_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
14,PT83770,JET Range bright zinc plated screw set (grade 8.8) 45mm (m20) (25 per bag),JET Range,6.96,This JET Range set M20 x 45mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated screw set (grade 8.8) 45mm (m20) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/75/NW-T83770_T83775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
15,PT83743,JET Range bright zinc plated set screw (grade 8.8) 50mm (m12) (100 per bag),JET Range,1.89,This JET Range set M12 x 50mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 50mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/43/NW-T83743_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
16,PT83724,JET Range bright zinc plated set screw (grade 8.8) 25mm (m10) (200 per bag),JET Range,0.82,This JET Range set M10 x 25mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 25mm (m10) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/27/NW-T83723_T83727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
17,PT83910,JET Range half turn screw set grade 8.8 M10 x 60mm Zinc Plated (100 per bag),JET Range,1.75,This JET Range set M10 x 60mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range half turn screw set grade 8.8 M10 x 60mm Zinc Plated (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/10/NW-T83910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
18,PT83725,JET Range bright zinc plated set screw (grade 8.8) 30mm (m10) (200 per bag),JET Range,0.89,This JET Range set M10 x 30mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 30mm (m10) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/27/NW-T83723_T83727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
19,PT83775,JET Range bright zinc plated set screw (grade 8.8) 70mm (m20) (25 per bag),JET Range,8.71,This JET Range set M20 x 70mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 70mm (m20) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/75/NW-T83770_T83775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
20,PT83729,JET Range bright zinc plated set screw (grade 8.8) 50mm (m10) (25 per bag),JET Range,1.44,This JET Range set M10 x 50mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 50mm (m10) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/29/NW-T83729_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
21,PT83922,JET Range half turn screw set grade 8.8 M16 x 65mm Zinc Plated (25 per bag),JET Range,3.97,This JET Range set M16 x 65mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range half turn screw set grade 8.8 M16 x 65mm Zinc Plated (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/23/NW-T83920_T83923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
22,PT83923,JET Range zinc plated high tensile screw set (grade 8.8) 70mm (m16) (25 per bag),JET Range,4.78,This JET Range set M16 x 70mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Hex Screws/Hex Screws.csv -> JET Range zinc plated high tensile screw set (grade 8.8) 70mm (m16) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/23/NW-T83920_T83923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,
