,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Diameter,Pack Quantity,Range,Hazardous,Drive,Head Type,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
0,PIS5496,"Unifix countersunk pozi woodscrew 10mm x 2"" Zinc Plated (Pack of 200)",Unifix,8.49,"Suitable for use in softwood applications, these Unifix TwinQwik 2 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Unifix countersunk pozi woodscrew 10mm x 2"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/96/NW-IS5496_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
1,PIS5483,"Unifix countersunk pozi woodscrew 8mm x 1"" Zinc Plated (Pack of 200)",Unifix,4.16,"Suitable for use in softwood applications, these Unifix TwinQwik 1 x 8"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Unifix countersunk pozi woodscrew 8mm x 1"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/83/NW-IS5483_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
2,PIS5499,"Unifix countersunk pozi woodscrew 10mm x 3"" Zinc Plated (Pack of 100)",Unifix,7.49,"Suitable for use in softwood applications, these Unifix TwinQwik 3 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Unifix countersunk pozi woodscrew 10mm x 3"" Zinc Plated (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/99/NW-IS5498_IS5499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
3,PIS5494,"Unifix countersunk pozi woodscrew 10mm x 1.1/2"" Zinc Plated (Pack of 200)",Unifix,7.5,"Suitable for use in softwood applications, these Unifix TwinQwik 1 1/2 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Unifix countersunk pozi woodscrew 10mm x 1.1/2"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/94/NW-IS5492_IS5494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
4,PIS5501,"Unifix countersunk pozi woodscrew 10mm x 4"" Zinc Plated (Pack of 100)",Unifix,9.49,"Suitable for use in softwood applications, these Unifix TwinQwik 4 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Unifix countersunk pozi woodscrew 10mm x 4"" Zinc Plated (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/01/NW-IS5501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
5,PIS5498,"Unifix countersunk pozi woodscrew 10mm x 2.1/2"" Zinc Plated (Pack of 100)",Unifix,6.25,"Suitable for use in softwood applications, these Unifix TwinQwik 2 1/2 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Unifix countersunk pozi woodscrew 10mm x 2.1/2"" Zinc Plated (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/99/NW-IS5498_IS5499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
6,PIS5484,"Owlett Jaton zinc plated countersunk pozi woodscrew 8mm x 1.1/4"" (Pack of 200)",Owlett Jaton,7.25,"Made of hardened steel, these Owlett-Jaton Twinquick 8mm x 1 1/4"" countersunk recessed woodscrews have a bright zinc-plated finish. Ideal for use in softwood, the screws have twin threads for faster installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Owlett Jaton zinc plated countersunk pozi woodscrew 8mm x 1.1/4"" (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/84/NW-IS5484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
7,PIS5485,"Unifix countersunk pozi woodscrew 8mm x 1.1/2"" Zinc Plated (Pack of 200)",Unifix,5.75,"Suitable for use in softwood applications, these Unifix TwinQwik 1 1/2 x 8"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Unifix countersunk pozi woodscrew 8mm x 1.1/2"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/85/NW-IS5485_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
8,PIS5492,"Unifix TwinQwik zinc plated countersunk pozi woodscrew 10mm x 1"" (Pack of 200)",Unifix,8.18,"Suitable for use in softwood applications, these Unifix TwinQwik 1 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Unifix TwinQwik zinc plated countersunk pozi woodscrew 10mm x 1"" (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/94/NW-IS5492_IS5494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
9,PIS5489,"Unifix TwinQwik zinc plated countersunk pozi woodscrew 8mm x 2.1/2"" (Pack of 200)",Unifix,14.25,"Suitable for use in softwood applications, these Unifix TwinQwik 2 1/2 x 8"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Wood screws/Wood screws.csv -> Unifix TwinQwik zinc plated countersunk pozi woodscrew 8mm x 2.1/2"" (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/90/NW-IS5489_IS5490_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,
