,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Weight,Power Supply,Feature 10,Feature 11,Feature 12,Feature 13,Diameter,Attachment 2
0,PN20115,Rothenberger No.50 copper tube cutter 12-50mm,Rothenberger,31.28,"The Rothenberger No. 50 tube cutter is suitable for cutting copper, brass, aluminium and thin-walled steel pipes with diameters of 12 to 50mm ready for connection. A two-in-one tool capable of cutting close to flares for reduced waste, No. 50 has a foldable internal deburrer and a spare cutter hidden inside the handle.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger No.50 copper tube cutter 12-50mm,,1x Tube Cutter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/N20115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Hand Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PT64054,Rothenberger 8.8802 pipe slice copper tube cutter 22mm,Rothenberger,19.42,"This Rothenberger pipe slice kit ensures accurate one-handed cutting of 22mm copper tube. Suitable for use in confined or open spaces, this pipe slice automatically adjusts and locks on with an automatic self-clamping action for smooth cutting with no deformation.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger 8.8802 pipe slice copper tube cutter 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/53/T64053_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PN34250,Rothenberger pipe slice copper tube cutter 28mm,Rothenberger,30.35,"This Rothenberger pipe slice kit ensures accurate one-handed cutting of 28mm copper tube. Suitable for use in confined or open spaces, this pipe slice automatically adjusts and locks on with an automatic self-clamping action for smooth cutting with no deformation.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger pipe slice copper tube cutter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/50/NW-N34250_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PT64053,Rothenberger Pipeslice Copper Tube Cutter 15mm,Rothenberger,17.72,"This Rothenberger pipe slice kit ensures accurate one-handed cutting of 15mm copper tube. Suitable for use in confined or open spaces, this pipe slice automatically adjusts and locks on with an automatic self-clamping action for smooth cutting with no deformation.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Pipeslice Copper Tube Cutter 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/53/T64053_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT85876,Rothenberger Plasticut Pro Plasticut Pro 35 42mm 1.1/4In-1.1/2In,Rothenberger,31.32,"Suitable for cutting different sizes and types of plastic pipe, the Rothenberger Plasticut Pro 35 - 42mm (1 1/4 - 1 1/2"") cutting tool is a unique rotary pipe cutter with an easy to change blade. Supplied with a handy replacement blade, the Plasticut Pro has a simple hinged body that fits two different pipe profiles. Cutting cleanly and squarely, the tool's re-engineered blade will not deform a pipe.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Plasticut Pro Plasticut Pro 35 42mm 1.1/4In-1.1/2In,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/76/NW-T85876_wm.jpg,,Red,Plasticut Pro,N,Plastic,32mm-40mm,1000003042,Plasticut Pro,N,Plastic Pipe Cutting,Cuts both 35mm and 42mm pipe,New hinged design,Simple and safe to use,Clean square cuts,Minimum pipe deformation,With 1 replacement blade,Easy change blade,Replacement blades available,Cuts barrier pipe,,,,,,,,
5,PN39447,Rothenberger multi bender 12-15-22mm,Rothenberger,71.38,"Cost effective and time efficient, this Rothenberger multibender bends copper and stainless steel pipes with 15 and 22mm diameters. Creating sweeping bends and curves, this tool removes the need tor tight 90° bend fittings, reducing frictional resistance and making for a faster and more efficient system.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger multi bender 12-15-22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/47/NW-N39447_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P515521,Hep2O Hepworth HD74 pipe cutter,Hep2O,17.65,"These stainless steel Hep2O Hepworth HD74 standard scissor-type pipe cutter are easy to use and the recommended method for cutting Hep2O pipes. Hep2O fittings are suitable for use in hot and cold water and heating systems and perform best used in conjunction with other Hep2O products, though they can be used with traditional copper pipes.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Hep2O Hepworth HD74 pipe cutter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/21/NW-515521_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Hep2O_Users_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PN53898,Rothenberger Rocut pex plastic pipe cutter 28mm,Rothenberger,15.03,"Simple and effective, this Rothenberger Rocut 52003R pipe shear cuts most plastic piping up to 28mm. Comfortable to hold and operate, the Rocut has a V-shaped blade designed to cut PEX and other plastics accurately and squarely, providing the best possible finish for pipe connections.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Rocut pex plastic pipe cutter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/98/NW-N53898_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT85875,Rothenberger Plasticut Pro cutting tool 15 - 22mm,Rothenberger,15.67,"Suitable for cutting different sizes and types of plastic pipe, the Rothenberger Plasticut Pro 15 - 22mm cutting tool is a unique rotary pipe cutter with an easy to change blade. Supplied with a handy replacement blade, the Plasticut Pro has a simple hinged body that fits two different pipe profiles. Cutting cleanly and squarely, the tool's re-engineered blade will not deform a pipe.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rothenberger Plasticut Pro cutting tool 15 - 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/75/T85875_wm.jpg,,Red,Plasticut Pro,N,Plastic,118(L)x50(W)x183(H) mm,1000003041,Plasticut Pro,N,Pipe Cutter,Cuts both 15mm and 22mm pipe,New hinged design,Simple and safe to use,Clean square cuts,Minimum pipe deformation,With 1 replacement blade,Easy change blade,Replacement blades available,Cuts barrier pipe,,,,,,,,
9,PS12430,Rems Mini-Press mini-press 15-22-28mm,Rems,2611.88,"Ultra-compact, measuring just 33cm with Mini V22 pliers, this REMS Mini-Press super-action promo pack includes an efficient electro-hydraulic drive with powerful motor on a 14.4V Li-Ion battery. This lightweight tool offers ultra-fast crimping of a complete 22mm copper connection in around four seconds. It incorporates a wide range of handy features including an audible signal and automatic piston return at completion, a 360° swivel head, an electronic battery charge level control with deep discharge protection and an integrated LED to illuminate your work area during use.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Pipe and Tube Cutters/Pipe and Tube Cutters.csv -> Rems Mini-Press mini-press 15-22-28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/30/NW-S12430_wm.jpg,,,Mini-Press,N,,,578X04,Promo Pack,N,,Real radial handling pressing with one hand,Only 2.4kg,For general use up to diameter 40mm,Fast and easy to use,Rotating 360°,Rechargeable Li-Ion batteries 14.4 V capacity 1.6 or 3.2Ah for long life,"For more than 300 pressers, Viega Profipress DN15 per battery charge 2",High strength,Low weight,2kg,14.4 V,Extended operating temperature range -10 to 60°C,Deep discharge and overload protection with cell tracking,Temperature monitoring during charging process,Short charging times,,
