,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Diameter,Pack Quantity,Range,Shank Type,Feature 5,Dimensions (L x W x D),Attachment 1,Attachment 2
0,PT02755,Rothenberger self cooling diamond drill bit 6 x 67mm,Rothenberger,14.45,"Filled with a lubricating wax that melts during operation, the Rothenberger 6 x 67mm vacuum brazed diamond tile drill bit is self-cooling, meaning there's no need for a separate coolant such as water to be used.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger self cooling diamond drill bit 6 x 67mm,,1x Tile Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/55/T02755_wm.jpg,N,Steel,6 x 67 mm,89096,Self Cooling Diamond Drill Bit,N,Corded and cordless drills,Steel construction,Compatible with corded and cordless drills,Drills at speeds between 800 and 200 RPM,"Filled with lubricating wax, eliminating need for coolant",,,,,,,,
1,PT02757,Rothenberger self cooling diamond drill bit 10 x 80mm,Rothenberger,14.45,"Filled with a lubricating wax that melts during operation, the Rothenberger 10 x 80mm vacuum brazed diamond tile drill bit is self-cooling, meaning there's no need for a separate coolant such as water to be used.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger self cooling diamond drill bit 10 x 80mm,,1x Tile Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/57/T02757_wm.jpg,N,Steel,10 x 80 mm,89098,Self Cooling Diamond Drill Bit,N,Corded and cordless drills,Steel construction,Compatible with corded and cordless drills,Drills at speeds between 800 and 200 RPM,"Filled with lubricating wax, eliminating need for coolant",,,,,,,,
2,PT81721,Rothenberger Sawing & Drilling 88830M Flat wood bit 25MM (1),Rothenberger,4.59,"Suitable for use with high speed electric drills, this Rothenberger 25mm steel flat wood bit offers quick and clean cutting.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger Sawing & Drilling 88830M Flat wood bit 25MM (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/21/T81721_wm.jpg,N,Steel,,88830M,Wood Bit,N,For use with high speed electric drills,Ranges from 10mm to 25mm,"Fast, clean cutting high speed flat wood bits",Suitable for use with high speed electric drills,,25 mm,1,Sawing & Drilling,N/A,,,,
3,PT02731,Rothenberger SDS cross tip drill bit 5.5 x 160mm,Rothenberger,3.1,"The Rothenberger 5.5 x 160mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 5.5 x 160mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/31/T02731_wm.jpg,N,Steel,,1500004805,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,5.5 mm,,,,Fully tempered and hardened,,,
4,PT02732,Rothenberger SDS cross tip drill bit 6.5 x 160mm,Rothenberger,3.3,"The Rothenberger 6.5 x 160mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS cross tip drill bit 6.5 x 160mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/32/T02732_wm.jpg,N,Steel,,1500004806,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,6.5 mm,,,,Fully tempered and hardened,,,
5,PT02730,Rothenberger standard masonry drill bit 7 x 150mm,Rothenberger,4.08,"The Rothenberger 7 x 150mm standard masonry drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger standard masonry drill bit 7 x 150mm,,1x Masonry Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/30/T02730_wm.jpg,N,Steel,,173206UK,Masonry Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,10 mm,,,,Fully tempered and hardened,,,
6,PT02729,Rothenberger standard masonry drill bit 5.5 x 150mm,Rothenberger,3.4,"The Rothenberger 5.5 x 150mm standard masonry drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger standard masonry drill bit 5.5 x 150mm,,1x Masonry Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/29/T02729_wm.jpg,N,Steel,,88847,Masonry Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,5.5 mm,,,6,Fully tempered and hardened,,,
7,PT02772,Rothenberger dry diamond core drill bit 127 x 150mm,Rothenberger,54.83,"The Rothenberger 127 x 150mm dry diamond core drill bit offers compatibility with any standard or rotary SDS drill. Fitted with a 1/2"" BSP female thread, this bit features a full 7mm height diamond segment.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger dry diamond core drill bit 127 x 150mm,,1x Dry Core Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/72/T02772_wm.jpg,N,Steel,,89009,Dry Core Drill Bit,N,Hole cutter can be used with SDS electric drill.,Suitable for use with SDS electric drills,With high quality diamond segment,Reliable design,,127 mm,,,,,,,
8,PT02773,Rothenberger HEX 1/2in BSP adaptor pack,Rothenberger,24.19,The Rothenberger HEX 13mm three-jaw standard chuck adapter is a replacement part compatible with the brand's diamond core drill set.,Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger HEX 1/2in BSP adaptor pack,,1x Chuck Adaptor,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/73/T02773_wm.jpg,N,,,89012,3 Jaw Chuck,N,,Highly reliable over long term,High quality manufacture,Compatible with diamond core drill set,,,,,,,252 x 25 x 25 mm,,
9,PT02774,Rothenberger SDS plus 1/2in BSP adaptor pack,Rothenberger,15.3,"The Rothenberger SDS+ 1/2"" BSP chuck adapter for 32 to 158mm cores is a replacement part suitable for the brand's diamond core drill set.",Trade Essentials/Power Tool Accessories/Drill Bits/Drill Bits.csv -> Rothenberger SDS plus 1/2in BSP adaptor pack,,"1x SDS, 1x Adaptor Core",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/74/T02774_wm.jpg,N,,,89014,SDS+ Chuck,N,,Highly reliable over long term,High quality manufacture,Compatible with diamond core drill set,,,,,,,115 x 23 x 23 mm,,
