,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,PN44062,CT1 Adhesive and Sealant White or Clear,CT1,11.25,"CT1 sealant and construction clear adhesive harnesses revolutionary Tribrid technology to bond to all metals, including lead, as well as to glass, mirrors, wood, MDF, polystyrene, fibreglass, tiles, concrete, most stones, most synthetic materials and plastics (excluding PP, PE and PTFE). A huge 360% stronger than a traditional hybrid polymer, CT1 won't stain stone and has scientifically proven colour retention.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> CT1 Adhesive and Sealant White or Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/62/N44062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Sealant_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_SealantAdhesive_ClearSilver_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ce/CT1_DOP_Clear_Silver_CE.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/en/ce/CT1_GEV_EMICODE_Clear_Silver_Licence.pdf,,,,,,,,,,,,,,,,,,,
1,PN44057,CT1 Adhesive and Sealant White or Clear,CT1,9.75,"Using innovative Tribrid technology, CT1 sealant and construction adhesive effectively bonds to all metals, lead, glass, mirrors, wood, MDF, polystyrene, fibreglass, tiles and concrete. It will also adhere to most stone types, most synthetic materials and many plastics, excluding PP, PE and PTFE. UV-resistant and stain-free, CT1 retains its white colour well and is proven to be a massive 360% stronger than traditional hybrid polymers, supplying reliable adhesion, even underwater.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> CT1 Adhesive and Sealant White or Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/57/N44057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Sealant_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_Sealant_Adhesive_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/en/ce/CT1_GEV_EMICODE_Licence.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/ce/CT1_Declaration_of_Performance_CE.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/CT1_Certificate_of_Compliance.pdf,,,,,,,,,,,,,,,,,,
2,PS91643,Bostik Evo-Stik sticks like sh*t adhesive,Bostik,6.99,"A high performance single component adhesive, Bostik Evo-Stik Sticks Like Sh*t white moisture curing Silyl Modified Polymer (SMP) adhesive will bond most surfaces, even if both are impervious. This low odour adhesive dries hard for an elastic rubber finish with almost no shrinkage and can be applied to damp or wet surfaces. Containing no water or solvent, Sticks Like Sh*t it ideal for bonding foam polystyrene sheets.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Bostik Evo-Stik sticks like sh*t adhesive,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/43/NW-S91643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Smart_Adhesives_P_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/BostikEvoStik_SticksLikeAdhesive_SDS.pdf,,,,,,,,,,,,,,,,,,,,
3,PT10595,Maxam Dura+ adhesive sealant tube 290ml White,Maxam,8.79,"There's no longer any need to buy and transport multiple sealents, mastics, fillers and adhesives thanks to Maxam DURA+, a six-in-one hybrid adhesive sealant that works reliable on a wide range of surfaces, from lead to brick to glass. Sealing and bonding in any situation, even underwater, this high performance product can be used to fill, repair, plug and much more, helping you complete a variety of jobs without the hassle of using multiple tubes and bottles. Food-safe and chemical-resistant, DURA+ can be used in just about any room or situation and provides a tough yet flexible seal that's resistant to high temperatures and extremes of weather.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Maxam Dura+ adhesive sealant tube 290ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/95/T10595_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/be/ls/Maxam product labels.pdf,,,,,,,,,,,,,,,,,,,,,,
4,PN44056,CT1 construct adhesive Black,CT1,12.98,"Using innovative Tribrid technology, CT1 sealant and construction adhesive effectively bonds to all metals, lead, glass, mirrors, wood, MDF, polystyrene, fibreglass, tiles and concrete. It will also adhere to most stone types, most synthetic materials and many plastics, excluding PP, PE and PTFE. UV-resistant and stain-free, CT1 retains its black colour well and is proven to be a massive 360% stronger than traditional hybrid polymers, supplying reliable adhesion, even underwater.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> CT1 construct adhesive Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/56/N44056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Sealant_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_Sealant_Adhesive_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/en/ce/CT1_GEV_EMICODE_Licence.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/ce/CT1_Declaration_of_Performance_CE.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/CT1_Certificate_of_Compliance.pdf,,,,,,,,,,,,,,,,,,
5,PF49938,McAlpine MACXSEAL MACXSEAL-CL hybrid sealant and adhesive 290ml Clear,McAlpine,12.87,"Suitable for use in all trades, McAlpine MACXSEAL-CL silicone and adhesive is compatible with sanitaryware, tiles and mirrors. It can be safely used on a variety of materials, including metal, wood, stone, concrete, marble and brick.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> McAlpine MACXSEAL MACXSEAL-CL hybrid sealant and adhesive 290ml Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/39/NW-F49938_F49939_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/McAlpine_Macxseal_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_MACXSEAL-CL_WH_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
6,PS92227,Bostik Evo-Stik 30614757 Sticks Like Sh*t Aadhesive Clear (12),Bostik,6.99,"Suitable for use on almost all building materials, Bostik Evo-Stik Sticks Like Sh*t high performance clear grab adhesive, supplied in a pack of twelve 290ml tubes, is powerful enough to provide reliable and immediate grab in wet conditions. Offering excellent bond strength, Sticks Like Sh*t's SM polymer formulation is weatherproof and water-resistant, standing up to extreme temperatures and movement for use both inside and outside. Solvent-free, Evo-Stik Sticks Like Sh*t is suitable for use on wood, concrete, brick, plaster and glass. It also works effectively on ceramic, metals, rigid PVC, GRP, insulation boards and polystyrene foam.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Bostik Evo-Stik 30614757 Sticks Like Sh*t Aadhesive Clear (12),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/27/NW-S92227_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bostik_Evo_Stik_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Smart_Adhesives_P_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Evo_Stik_Clear_Adhesive_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,
7,PS92323,Bostik Evo-Stik sanitary silicone White,Bostik,6.65,"Waterproof and mould-resistant, this Bostik Evo-Stik sanitary silicone sealant is ideal for use around baths, sinks, showers and kitchen worktops.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Bostik Evo-Stik sanitary silicone White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/23/NW-S92323_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Evo_Stik_Silicone_Sealant_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Smart_Adhesives_P_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
8,PN29668,Center extra strong multipurpose adhesive 290ml White,Center,6.78,"Offering a high final bond strength, this Center CB extra-strong multi-purpose white adhesive is suitable for interior and exterior bonding, adhering well to all common building surfaces. It is UV-resistant, water-resistant and over-paintable.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Center extra strong multipurpose adhesive 290ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/68/NW-N29668_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_N29668_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Wolseley_Plumbing-Heating_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,
9,P651271,Center CB spray contact adhesive 400ml,Center CB,4.94,"A solvent-based, pressure-sensitive spray, this Center CB contact adhesive offers both an excellent initial bond and a strong cured bond. Fast drying to a clear finish, this adhesive won't expand, ensuring a perfect, neat finish every time. Center CB spray contact adhesive is suitable for bonding porous and smooth surfaces, including cardboard, felt, fabric, paper, leather, rubber, foam, foil, most plastics, metal, stainless steel, glass, cork and wood.",Trade Essentials/Sealants and Adhesives/Adhesives/Adhesives.csv -> Center CB spray contact adhesive 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/71/NW-651271_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_651271_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,
