,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8
0,PF15215,Center CB silicone lubricant spray 400ml,Center CB,4.94,This Center CB all purpose silicone spray is a dry silicone lubricant and mould release agent designed to ease friction between two surfaces.,Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> Center CB silicone lubricant spray 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/15/F15215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_F15215_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_F15215_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
1,PS87228,WD-40 smart straw multi purpose penetrant spray 450ml,WD-40,6.57,"A classic multi-purpose product, WD-40 Multi-Use Smart Straw spray does it all, from stopping that hinge's irritating squeak to loosening jammed components and lubricating gears, chains and mechanisms. Smart Straw technology makes reaching hard to get into spots simpler than ever, directing the WD-40 liquid straight into tight spaces for targeted lubrication exactly where it's required. If wider coverage is needed Spray2Ways technology means all you need do is flip the Smart Straw down to rest against the can and press to dispense WD-40 via the can's standard nozzle.",Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> WD-40 smart straw multi purpose penetrant spray 450ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/28/S87228_wm.jpg,,,,Light Brown,450 ml,N,Single,Liquid,44137/156,Penetrant Spray,N,450ml can,Smart Straw technology for easy use,Spray2Ways technology for flexibility,Multi-purpose use,For squeaking hinges,Loosens rusted parts,Loosens stuck parts,Displaces moisture for protection,,,,,
2,PF15220,Center CB Silicone Lubricant PHCB041 Silicone Lubricant 500Grm (1),Center CB,21.5,This water-repellent Center CB silicone lubricant grease is suitable for use in hot and cold water systems up to 65°C.,Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> Center CB Silicone Lubricant PHCB041 Silicone Lubricant 500Grm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/20/NW-F15220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_F15220_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_F15220_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
3,P691366,Emkarate RL RL68H Lubricant 5ltr,Emkarate,209.59,"Suitable for initial and service fill, Emkarate RL ISO VG 68 synthetic polyol ester (POE) lubricant is formulated for use in refrigeration and air-conditioning compressors using HFC refrigerants. Offering effective wear protection for steel and aluminium surfaces, this product increases system life and improves efficiency. Emkarate RL 68H is suitable for use over a wide operating temperature range, thanks to low temperature characteristics and chemical and thermal stability.",Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> Emkarate RL RL68H Lubricant 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/66/NW-691366_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Chemical_Lubricant_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Emkarate_RL68H_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Emkarate_RL68H_SDS.pdf,,,,,,,,,,,,,,,,,,,,,
4,P691363,Emkarate RL RL32H Lubricant 5ltr,Emkarate,174.93,"Suitable for initial and service fill, Emkarate RL ISO VG 32 synthetic polyol ester (POE) lubricant is formulated for use in refrigeration and air-conditioning compressors using HFC refrigerants. Offering effective wear protection for steel and aluminium surfaces, this product increases system life and improves efficiency. Emkarate RL32H is suitable for use over a wide operating temperature range, thanks to low temperature characteristics and chemical and thermal stability.",Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> Emkarate RL RL32H Lubricant 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/63/NW-691363_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Chemical_Lubricant_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Emkarate_RL32H_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Emkarate_RL32H_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
5,P497667,Rocol gas tap lubricant 50g,Rocol,27.85,"Formulated for effective lubrication and sealing of gas taps and taper plug cocks, Rocol M23660 gas tap lubricant is a molybdenum disulphide lubricant developed with cooker and tap manufacturers for taps operating with 1st, 2nd and 3rd family gases.",Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> Rocol gas tap lubricant 50g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/67/NW-497667_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ROCOL_Gas_and_Plumbing_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/ROCOL_M23660_Lubricant_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ROCOL_M23660_Lubricant_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
6,P679024,Danfoss PVE lubricant 320HV PVE Lubricant in a Can 1ltr,Danfoss,117.3,"This Danfoss PVE lubricant is supplied in a 1L can suitable for HCJ, HCP, HHP, HLH, HLJ, HLP, HRH, HRP and MLZ scroll compressors.",Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> Danfoss PVE lubricant 320HV PVE Lubricant in a Can 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/24/NW-679024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_CmrclCompressorParts_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_CPI_R_5402036P01B_160MPZ_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_ZEROL_150T_SDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_Huile_Ester_160SZ_160Z_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Oil_Types_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_EMKARATE_RL32HB160SZ160Z_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_Huile_Ester_160PZ_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_Daphne_Hermetic_Oil160HV_SDS.pdf
7,PH68148,Wavin OsmaS 4S392 silicone lubricant spray 400ml,Wavin,35.07,"This Wavin OsmaS silicone lubricant is ideal for use in waste, soil and ventilation systems.",Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> Wavin OsmaS 4S392 silicone lubricant spray 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/48/NW-H68148_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Silicone_Lubricant_Spray_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,
8,P692215,Emkarate RL RL32-3MAF Lubricant 1ltr,Emkarate,46.01,"Suitable for initial and service fill, Emkarate RL ISO VG 32 synthetic polyol ester (POE) lubricant is formulated for use in refrigeration and air-conditioning compressors using HFC refrigerants. Offering effective wear protection for steel and aluminium surfaces, this product increases system life and improves efficiency. Emkarate RL 32-3MAF is suitable for use over a wide operating temperature range, thanks to low temperature characteristics and chemical and thermal stability.",Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> Emkarate RL RL32-3MAF Lubricant 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/15/NW-692215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Chemical_Lubricant_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Emkarate_RL_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/692215_SDS.pdf,,,,,,,,,,,,,,,,,,,,,
9,P683673,Danfoss POE lubricant 160Z POE Lubricant in a Can 1ltr,Danfoss,76.08,"This Danfoss POE lubricant is supplied in a 1L can suitable for LFZ, MFZ and PSH with R410A, SH and SZ with R407C, R134A and R404A and VSH and VZH scroll refrigeration compressors.",Trade Essentials/Sealants and Adhesives/Lubricants/Lubricants.csv -> Danfoss POE lubricant 160Z POE Lubricant in a Can 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/73/NW-683673_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_CmrclCompressorParts_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_CPI_R_5402036P01B_160MPZ_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_ZEROL_150T_SDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_Huile_Ester_160SZ_160Z_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Oil_Types_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_EMKARATE_RL32HB160SZ160Z_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_Huile_Ester_160PZ_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Danfoss_Daphne_Hermetic_Oil160HV_SDS.pdf
