,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Attachment 3,Range,Pack Size,Pack Type,Feature 4,Feature 5,Feature 6,Feature 7,Application
0,P514518,Center CB Cotton Twill Dust Sheet 12 x 9ft,Center CB,9.49,"Superior to the usually used plain cotton sheeting, this Center CB 12 x 9' twill dust sheet is ideally folded in two to provide protection to carpets, flooring and furniture when painting and decorating.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Center CB Cotton Twill Dust Sheet 12 x 9ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/at/ed/NW-514518-UPDATED_wm.jpg,N,12 (L) x 9' (W),AD62822,Twill Dust Sheet,N,Professional quality,Heavy duty cotton twill,Laminated backing,,,,,,,,,,,
1,PN57006,Floorprotec TacBac clear carpet protection 0.6m x 100m,Floorprotec,26.85,"Used to protect carpeted areas and staircases, this Floorprotec TacBac clear self-adhesive carpet protection film can be laid freehand in single strips or across a whole carpet area to create a waterproof barrier protecting from dirt, spills and foot traffic. Providing optimal health and safety adherence, TacBac won't travel like loose protection methods such as dust sheets.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Floorprotec TacBac clear carpet protection 0.6m x 100m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/06/NW-N57006_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Floorprotec_TacBac_Technical.pdf,,,,,,,,,,
2,PE68122,"Geocel Cox Easiflow skeleton silicone applicator gun 10""",Geocel,5.25,"Designed for professional or DIY use, this Geocel Easiflow silicone applicator gun makes in applying silicone sealant easy.","Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Geocel Cox Easiflow skeleton silicone applicator gun 10""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/22/NW-E68122_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geocel_3282368_Technical.pdf,,,,,,,,,,
3,PN37666,Center CB Decorator filler 13789 decorators caulk filler 400ml White,Center CB,1.5,"Easy to apply and fast drying, this single component Center CB decorators' caulk filler is a plasto-elastic joint sealant based on acrylic dispersions.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Center CB Decorator filler 13789 decorators caulk filler 400ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/66/NW-N37666_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Center-CB_Decorators-Caulk_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center-CB_Decorators-Caulk_SDS.pdf,,,,,,,,,
4,P800815,Regin Back to Black coal paint 200ml,Regin,12.12,"Regin Back To Black coal paint is used to return fireplaces to their original deep black colour. Supplied in an easy to use aerosol, Back To Black OEM pigment is suitable for use in gas fires up to 1100°C.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Regin Back to Black coal paint 200ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/NW-800815_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Regin_REGZ65_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,
5,PT00017,JET Range ochre gloss 2.5ltr,JET Range,24.7,"Fast drying, this Jet hardwearing polyurethane ochre gloss is suitable for use in commercial and industrial environments.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> JET Range ochre gloss 2.5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/17/NW-T00017_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_T00002-016_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_T000017-270_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Jet_T00017_MSDS.pdf,,,,,,,,
6,PN39504,Rodo ProDec CRPR129 protector dust sheet 12 x 9ft,Rodo,20.0,"Ensuring protection from both dust and liquids, these Rodo ProDec 12 x 9ft protective dust sheets are made of an absorbent cotton twill. In addition, they have a water-resistant backing for added protection against spills and less risk of tread-through.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Rodo ProDec CRPR129 protector dust sheet 12 x 9ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/04/NW-N39504_wm.jpg,N,12 (L) x 9' (W),CRPR129,Protector Dust Sheet,N,Pack of 10,Absorbent cotton twill,Water-resistant backing protects against spills and tread-through,,,,Pro Dec,10,PE,Anti-slip coating keeps sheet in place,Slip-free on smooth floors,,,
7,PT60915,"A E Southgate Economy Paint Brush 2""",A E Southgate,2.33,"An A E Southgate Economy 2"" paintbrush.","Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> A E Southgate Economy Paint Brush 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/15/NW-T60913_T60915_wm.jpg,N,,C12.0,Paint Brush,N,Size: 2 inch,,,,,,Economy,,,,,,,
8,P651255,Arctic Hayes Calico dust sheet 12 x 9 ft,Arctic Hayes,12.67,"This Arctic Hayes 12 x 9' heavy duty calico dust sheet with carrying straps is designed to protect floors and carpets during painting or maintenance work. More hardwearing than cotton sheets, this calico sheet is suitable for use in homes or industrial settings.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Arctic Hayes Calico dust sheet 12 x 9 ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/55/NW-651255_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,
9,P457169,Regin Calico cotton dustsheet 4x4ft,Regin,5.18,"High quality, this Regin 4 x 4' dust sheet is made of cotton with a fine, flat weave for the effective protection of flooring and furniture during decorating and maintenance.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Regin Calico cotton dustsheet 4x4ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/69/NW-457169_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,
