,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Colour,Diameter,Length (M),Range,Size,Feature 7,Feature 8,Feature 9,Connection Size,Feature 10,Feature 11,Feature 12,Attachment 1,Attachment 2
0,PT02727,Rothenberger 88834R tote tool bag,Rothenberger,29.14,The Rothenberger 88834R 400mm length open top tote style tool bag is a practical design ideal for carrying all your essential tools. It features a range of internal and external pockets along with a tape holder and elasticated gas cylinder holder. A waterproof base ensures protection in challenging environments while a soft grip carry handle and detachable shoulder strap support comfortable use.,Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Rothenberger 88834R tote tool bag,,1x Tool Bag,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/27/T02727_wm.jpg,N,430 x 90 x 340 mm,88834R,Storage,N,With steel tape holder,With gas cylinder holder,With setachable shoulder strap for ease of carrying,"Robust, waterproof rubber base",Internal and external pockets,Soft grip covered metal carry handle,,,,,,,,,,,,,,
1,P667756,Javac Veto Pro Pac Backpack technicians tool bag,Javac,394.11,"Designed for HVAC/R technicians' tools, this Javac Veto Pro Pac Tech Pac tool bag is built to withstand harsh working conditions, with tough plastic handles and heavy duty fastenings and zips.",Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Javac Veto Pro Pac Backpack technicians tool bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/56/667756_wm.jpg,N,,AX3501,Tool Bag,N,Hinged ergonomic handles,Large tool pockets,56x pockets,Small punch and bit pockets,Small neoprene pockets,Waterproof base of 3mm polypropylene,Black/Textured,251,0.362,Veto Pro Pac,251 mm (W) x 362 mm (D) x 457 mm (H),Weatherproof body fabric,1800 PVC impregnated denier fabric,5 year zero downtime warranty,,,,,,
2,P667761,Javac Veto Pro Pac Classic MC small tool bag,Javac,171.45,"Designed for HVAC/R technicians' tools, this Javac Veto Pro Pac Tech XL tool bag is built to withstand harsh working conditions, with tough plastic handles and heavy duty fastenings and zips.",Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Javac Veto Pro Pac Classic MC small tool bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/61/NW-667761_wm.jpg,N,,AX3506,Tool Bag,N,Hinged ergonomic handles,Large tool pockets,20x pockets,Small punch and bit pockets,Small neoprene pockets,Waterproof base of 3mm polypropylene,Black/Smooth,203,0.254,Veto Pro Pac,203 mm(W) x 254 mm (D) x 317.5 mm (H),Weatherproof body fabric,1800 PVC impregnated denier fabric,5 year zero downtime warranty,N/A,,,,,
3,P690594,Javac Veto Pro Pac AX3517 pouch service tool bag,Javac,55.92,"Compact yet spacious, this Javac Veto Pro Pac 15 pocket clip-on utility pouch attaches to your tool bag's tape clip or D-ring and holds a small selection of meters, analysers and repair tools, keeping your most used instruments to hand.",Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Javac Veto Pro Pac AX3517 pouch service tool bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/94/NW-690594_wm.jpg,N,,AX3517,Utility Pouch,N,Organise multiple job specific bags,With 15 pockets of various sizes,Heavy duty fastenings and clips,Detachable rubber handles,Nylon plastic connection clips,Clips onto any model Veto tool bag's tape clip or D-rings,,,,Veto Pro Pac,,Weatherproof 600-1200 PVC impregnated denier fabric body,5 year zero downtime warranty,,,,,,,
4,P667763,Javac Veto Pro Pac Pouches MB2 meter tool pouch,Javac,106.98,"Compact yet spacious, this Javac Veto Pro Pac MB2 clip-on meter tool pouch holds a small selection of meters, analysers and repair tools.",Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Javac Veto Pro Pac Pouches MB2 meter tool pouch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/63/NW-667763_wm.jpg,N,,AX3508,Tool Bag,N,Organise multiple job-specific bags,Heavy duty fastenings and clips,Detachable rubber handles,Nylon plastic connection clips,For various size tool pockets,10x pockets,,76,0.203,Veto Pro Pac,76 mm (W) x 203 mm (D) x 330 mm (H),Clips onto any model Veto tool bag's tape clip or D-Rings,Weatherproof body made of 600-1200 PVC impregnated denier fabric,5 year zero downtime warranty,,,,,,
5,P693289,Javac veto tech pac mc small blackout,Javac,385.12,"A stealth version of the ever-popular Tech Pac MC, the Javac Tech Pac MC Blackout small backpack has a tactical all-black finish and features Veto Pro Pac's V-SWAP system for ease of toting your essential tools. Supplied with tool and meter panels, this backpack is compatible with separately available laptop and bulk storage tool panels while additional tool and meter panels can be purchased to round out your collection. Each panel can be removed and swapped as needed, making it easy to carry only what you need with you each day.",Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Javac veto tech pac mc small blackout,,The TECH PAC MC BLACKOUT small backpack bag,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/_a/693289_A_wm.jpg,N,,AX3582,Tool Backpack,N,V-SWAP removable tool pocket panel system,Includes tool and meter panels,Alternate V-SWAP panels sold separately,Tactical all-black construction,Interior magnetic screw catcher,Thermo-formed cushioned EVA back pad,,,,,,Waterproof polypropylene plastic base,Quick-release metal hasp supports load,Easy access to rear storage bay,,With YKK zippers,,,,
6,P667792,Javac Veto Pro Pac TECH MC SPEC OPS tool bag,Javac,462.3,"Designed to keep your most used tools and instruments handy, the Javac Tech Pac Special Ops compact backpack makes traveling hands-free simple. Ideal for those service calls and minor installation jobs that require just basic kit, this rugged backpack includes two PB5 parts bags so there's no need to dig deep for small accessories.",Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Javac Veto Pro Pac TECH MC SPEC OPS tool bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/92/667792_wm.jpg,N,430 x 305 x 230 mm,AX3623,Tool Bag,N,With 39 internal and external pockets,Subtle black reflective elements and hi-viz yellow accents,2x PB5 hi-viz parts bags included,With neoprene meter pockets,Interior magnetic screw catcher,2x storage bays and 4x storage platforms,,,,Veto Pro Pac,,Padded EVA foam back pad,Waterproof polypropylene base protects against moisture and abrasion,Quick-release metal hasp for easy access to rear storage bay,,Hasp provides positive connection to bag body,,,,
7,P667790,Javac Veto Pro Pac TECH OT-SC tool bag,Javac,264.95,"A sub-compact open-top electrician's tote, the Javac Tech OT-SC bag has an internal structural box with repositionable insert, lid and dividers, plus the capability to add on more (sold separately) for storage that suits your needs exactly. An array of vertical tool pockets is also included, giving you easy access to your most used service tools and equipment.",Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Javac Veto Pro Pac TECH OT-SC tool bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/90/667790_wm.jpg,N,260 x 330 x 255 mm,8515780003043,Tool Bag,N,With 27 pockets in various sizes,1x removable plastic partition,Insert box with lid,"8"" electrical tape strap",Exterior utility pocket,Over-molded ergonomic grip,,,,Veto Pro Pac,,Detachable padded shoulder strap,Waterproof polypropylene base protects against moisture and abrasion,,,,,,,
8,P667796,Javac Veto Pro Pac MB2 blackout tool pouch,Javac,112.25,"Designed for stealth, the Javac MB2 Blackout tool pouch is an understated take on the popular MB2 meter bag. Compact and versatile, this handy pouch is suitable for throwing over a shoulder or clipping to a belt using the inbuilt D-rings or metal belt clip.",Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Javac Veto Pro Pac MB2 blackout tool pouch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/96/667796_wm.jpg,N,330 x 200 x 90 mm,AX3577,Tools Pouch,N,Tactical all-black design,With 10x interior and exterior pockets,2x meter pockets,"Suitable for meters up to 12.5"" height",2x D-rings,Bit extension pockets,,,,Veto Pro Pac,,Metal belt clip and belt slot,Detachable elastomeric handle and electrical tape strap,,,,,,,
9,P667791,Javac Veto Pro Pac TP4B blackout tool pouch,Javac,115.07,"Suitable for carrying a meter, the Javac TP4B Blackout clip-on service tool pouch also provides space for a selection of hand tools. Giving you even more capacity than the TP3B, this pouch features 22 vertical pockets and has a plastic bottom, keeping it protected and dry if placed on the floor.",Trade Essentials/Van and Site Essentials/Tool and Equipment Storage/Tool and Equipment Storage.csv -> Javac Veto Pro Pac TP4B blackout tool pouch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/91/667791_wm.jpg,N,290 x 215 x 125 mm,AX3598,Tool Pouch,N,With 22 vertical pockets,Tactical all-black construction,Waterproof polypropylene base protects from moisture and abrasion,With metal belt clip,Detachable ergonomic over-molded elastomeric grip,Tape strap,,,,Veto Pro Pac,,,,,,,,,,
