,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Type,Operating Temperature,Range,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14
0,PD68910,Elson Handwash EHW3 manual handwash 3kW,Elson,69.0,"Install the compact Elson EHW3 2kW hand wash unit anywhere where handwashing facilities are vital but space is limited or a full hot water system isn't necessary. Ideal for staff or customer toilets or for medical or dental surgeries, the EHW3 has a convenient stainless steel swivel spout for convenience and a power on indicator as a handy reminder to switch off at the end of the day.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Elson Handwash EHW3 manual handwash 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/10/D68910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Elson_EHW3_HW_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD70540,Heatrae Sadia Handy 3 hand wash unit and spout pack 3.1kW,Heatrae Sadia,113.49,"The manually operated Heatrae Sadia Handy 3 unvented handwash unit requires only a cold water supply and a mains electrical connection and includes push-fit connections for fast, convenient and neat installation over a basin or sink. Providing instant on-demand hot water, this practical, slimline and compact 3.2kW unit is ideal for use in workplace washrooms, offering high levels of protection from scalding and pressure build-up and an ErP A rating for improved efficiency.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Heatrae Sadia Handy 3 hand wash unit and spout pack 3.1kW,,Water heater;Spout assembly;Fixing screws ;plugs;Installation ;user Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/40/D70540_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Handy_Handwash_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD72603,Triton T30I T30I  electric handwash with arm new 3kW,Triton,92.7,"With its neat, compact design, the Triton T30I Handwash fits effortlessly into smaller spaces in order to supply instant hot water in those awkward locations where only a cold mains water supply is available.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Triton T30I T30I  electric handwash with arm new 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/03/D72603_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_Instaflow_T30I_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_Instaflow_T30I_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD68140,Santon Hand Hygiene EV 2008/3 hand wash unit 3.1kw,Santon,107.71,"The compact, easy to install Santon EV 2008/3 instantaneous unvented hand wash unit effortlessly supplies on-demand hot water to a basin via a useful swivel spray outlet. The perfect choice for commercial properties where controlled water flow is required, the 3.1kW output Santon EV is ErP A-rated for cost-effective energy efficiency and reduced waste.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Santon Hand Hygiene EV 2008/3 hand wash unit 3.1kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/40/D68140_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_EV2008_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Santon_EV2008_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD68142,Santon Hand Hygiene EV 2008 NT no touch handwash unit,Santon,170.2,"The Santon EV 2008 NT instantaneous no-touch unvented hand wash unit brings together economy and hygiene, providing on-demand hot water for handwashing in those environments where cleanliness is key. User-friendly, with a straightforward touch-free on/off control dial and tamper-proof adjuster for temperature flow control, this ErP A-rated 3.1kW Santon unit is supplied with a swivel spray outlet for direct water dispensing to a single basin.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Santon Hand Hygiene EV 2008 NT no touch handwash unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/42/D68142_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_EV2008_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Santon_EV2008_NT_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD69999,Ariston Piccolo 5 water heater 5 L,Ariston,170.98,"The compact Ariston 5L Piccolo wall-mounted electric point-of-use water heater is designed for occasional use areas like kitchens, loft conversions, cloakrooms or anywhere space is at a premium. With a directional spout and external temperature control, the efficient, ErP A-rated 2kW Piccolo is easy to use and offers flexible siting.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Ariston Piccolo 5 water heater 5 L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/99/D69999_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_Piccolo(ErP)_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/o_/ds/Ariston_Piccolo_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_Piccolo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD70442,Heatrae Sadia Handy 3NT no touch handwash,Heatrae Sadia,220.6,"The touch-free Heatrae Sadia Handy unvented handwash unit requires only a cold water supply and a mains electrical connection and includes push-fit connections for fast, convenient and neat installation over a basin or sink. Providing instant on-demand hot water and the convenience and hygiene of no-touch automatic operation, this slimline and compact 3.2kW unit is ideal for use in workplace washrooms, offering high levels of protection from scalding and pressure build-up and an ErP A rating for improved efficiency.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Heatrae Sadia Handy 3NT no touch handwash,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/42/D70442_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Handy_No_Touch_installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Megalife_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P515486,Sunamp UniQ HW +iPV HW9 +iPV heat battery 365mm x 575mm x 860mm,Sunamp,2109.26,"Storing surplus energy from solar PV systems, the 300L Sunamp UniQ HW +iPV water heater makes use of electricity that would otherwise be lost back to the grid, providing users with plentiful hot water with no extra cost. And when the sun isn't shining, alternative heat sources, such as a boiler or high temperature heat pump, can always take over so there's no need for cold shower frustration. The 2.8kW Sunamp battery incorporates the high-quality myenergi eddi power diverter, which is easy to install and user-friendly, with a straightforward back-lit LCD screen and fanless cooling system. Compatible with the myenergi app, UniQ owners can set timers to make the most of economy tariffs, employ the boost function remotely and monitor usage at the touch of their smartphone screen.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Sunamp UniQ HW +iPV HW9 +iPV heat battery 365mm x 575mm x 860mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/86/NW-515485_515486_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sunamp_Mobile_Version_3_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sunamp_Product_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Sunamp_Reference_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD72685,"Triton Instaflow T30i+R With all the great features of the manual Instaflow T30i handwash, the T30IR provides the additional be",Triton,84.02,"Packed with features, the Triton Instaflow T30IR provides all the functionality of the brand's T30I with the added benefit of an infrared sensor for hygienic hands-free operation. Fitting directly into the mains cold water supply and mains electric, this handwash unit is easy to install for an effortless supply of instant source of hot water. T30IR features a 200mm swivel arm for flexible, comfortable operation.","Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Triton Instaflow T30i+R With all the great features of the manual Instaflow T30i handwash, the T30IR provides the additional be",,Handwash unit;cover screw pack;200mm arm,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/85/D72685_wm.jpg,,,,,White,Threaded,Dependant on flow rate,Instaflow,1 year,180Kg,N,XXS,15 dB(A),3 kW,245,N/A,No,1,N/A,Single Point,Manual,No,A,IPX4,ABS,145,14.5,Wall Mount,1/2 BSP,SPT303IR,N,White colour,3kW rating,Minimum running pressure of 1 bar,On/off infrared motion sensor,Timed shut down for less water waste,Supplies both hot and cold water,Single control for start/stop and temperature selection,Heats water on demand,"Fast, easy installation",Ideal retrofit for old T30i,200mm swivel arm for flexible operation,Complies with BEAB,CE marked,1 year warranty
9,P515483,Sunamp UniQ eHW eHW 6 heat battery 365mm x 575mm x 645mm,Sunamp,1566.37,"Helping homeowners to save on space and money, the 185L Sunamp UniQ eHW heat battery is especially powerful when used with an off-peak tariff and acts as a convenient replacement for outdated direct hot water cylinders. Heated by an internal element, this 2.8kW water heater harnesses advanced storage technology, helping it to achieve a size up to 4x smaller than equivalent cylinders, ensuring powerful, hot showers and reliable washing up temperatures without giving away valuable storage space.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Hand Wash Water Heaters/Hand Wash Water Heaters.csv -> Sunamp UniQ eHW eHW 6 heat battery 365mm x 575mm x 645mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/84/NW-515483_515484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sunamp_Mobile_Version_3_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Sunamp_Reference_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sunamp_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
