,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Connection Type,Operating Temperature,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 6
0,PD70627,Heatrae Sadia FBM Eco 70 electric vented water heater 70ltr,Heatrae Sadia,2011.0,"Designed to service multiple outlets, the Heatrae Sadia FBM Eco 70L is a vented cistern-type water heater suitable for first time installation and as a retrofit unit. An ideal choice for handwashing in customer or office washrooms with more than one sink or for pot filling in commercial kitchens with space to install the heater above an outlet point, the 3kW FBM Eco offers high levels of performance and easy to use controls.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia FBM Eco 70 electric vented water heater 70ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5e/co/HS_FBM25Eco_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_FBM_Eco_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_FBM_Eco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD70680,Heatrae Sadia Streamline 7 under sink water heater 7ltr 3kw pack,Heatrae Sadia,239.99,"The contemporary, slimline 3kW Heatrae Sadia Streamline 7L undersink vented water heater is designed for mounting beneath a basin for convenient handwashing and cup filling in washrooms or office breakrooms. Quick and straightforward to install, the Streamline requires only a cold water supply and mains electricity and with a range of safety features and requiring minimal maintenance it's an ideal choice for spots where small amounts of water are regularly required.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Streamline 7 under sink water heater 7ltr 3kw pack,,Water heater;Wall mounting bracket;Fixing plugs ;screws;2x plumbing connections;Thermostat knob;Flow restrictor,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/20/D70520_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Streamline_Undersink_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Streamline_Taps_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD49997,"Ariston Andris Lux 15 oversink electric water heater 3kw 30ltr plus kits a, b and c pack",Ariston,355.0,"Built to last, the Ariston Andris Lux 30L electric storage water heater is made up of a titanium-enamel tank with eco-friendly insulation. Resistant to pressure and corrosion, thanks to smart shell technology, this 3kW storage water heater is extremely robust, and it looks great in-situ too. Carefully built to meet the world's strictest safety standard, the Andris Lux is equipped with multiple safety devices working in harmony to ensure safe comfort for all users.","Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux 15 oversink electric water heater 3kw 30ltr plus kits a, b and c pack",,Unvented water heater (with factory-fitted T&P model 30L);Wall bracket;Pressure relief valve set at 6 bar;2x dielectric junctions;Check valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/97/NW-D49997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/AristonHT_WHeater_UcylinderCatalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Ariston_Andris_Lux_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD70625,Heatrae Sadia FBM Eco 25 electric vented water heater 25ltr,Heatrae Sadia,1364.86,"Designed to service multiple outlets, the Heatrae Sadia FBM Eco 25L is a vented cistern-type water heater suitable for first time installation and as a retrofit unit. An ideal choice for handwashing in customer or office washrooms with more than one sink or for pot filling in commercial kitchens with space to install the heater above an outlet point, the 3kW FBM Eco offers high levels of performance and easy to use controls.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia FBM Eco 25 electric vented water heater 25ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5e/co/HS_FBM25Eco_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_FBM_Eco_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_FBM_Eco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD70990,Heatrae Sadia Express 7 express pack 7ltr 240V 3kW,Heatrae Sadia,123.0,"The efficient, easy to install Heatrae Sadia Express 7L vented water heater is equally suitable for domestic and commercial applications. Heating water using a factory-fitted electric heating element and thermostatically controlled by an adjustable thermostat, this ErP A-rated 3kW cistern-fed water heater is vented for added safety.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Express 7 express pack 7ltr 240V 3kW,,Water heater;Heater;Spout;Valve;Fixing screws;Raw plugs;Fitting Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/di/a2/D70785_pg_heatraesadia2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Express_7_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD70695,Heatrae Sadia Streamline 7 over sink water heater and spout 7ltr 3kW pack,Heatrae Sadia,271.99,"The contemporary, slimline 3kW Heatrae Sadia Streamline 7L oversink vented water heater is designed for mounting above a basin for convenient handwashing and cup filling in washrooms or office breakrooms. Quick and straightforward to install, the Streamline requires only a cold water supply and mains electricity and with a range of safety features and requiring minimal maintenance it's an ideal choice for spots where small amounts of water are regularly required.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Streamline 7 over sink water heater and spout 7ltr 3kW pack,,Water heater;Wall mounting bracket;Fixing plugs ;screws;Spout;Thermostat knob;Control knob;Control knob extension;Flow restrictor,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/05/D70505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Streamline_Oversink_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Streamline_Taps_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD69019,Zip Aquapoint AP3/15OB over sink water heater 15ltr,Zip,290.48,"Connecting directly to the mains water supply, the oversink 15L Zip Aquapoint III AP3/15OB unvented water heater is capable of serving fast and plentiful hot water to multiple outlets via conventional taps and mixers. Well-protected and tested for reliability and longevity, the 2kW Aquapoint III is ErP A-rated, ensuring less waste and potential cost savings.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Zip Aquapoint AP3/15OB over sink water heater 15ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/19/D69017_D69019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL_spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Zip_Aquapoint_III_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Aquapoint_III_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD70500,Heatrae Sadia Streamline 7 oversink water heater and spout 7ltr 1kw,Heatrae Sadia,331.93,"The contemporary, slimline 1kW Heatrae Sadia Streamline 7L oversink vented water heater is designed for mounting above a basin for convenient handwashing and cup filling in washrooms or office breakrooms. Quick and straightforward to install, the Streamline requires only a cold water supply and mains electricity and with a range of safety features and requiring minimal maintenance it's an ideal choice for spots where small amounts of water are regularly required.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Streamline 7 oversink water heater and spout 7ltr 1kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/00/D70500_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Streamline_Oversink_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Streamline_Taps_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Streamline_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD70520,Heatrae Sadia Streamline 7 under sink heater 7ltr 3kw,Heatrae Sadia,283.06,"The contemporary, slimline 3kW Heatrae Sadia Streamline 7L undersink vented water heater is designed for mounting beneath a basin for convenient handwashing and cup filling in washrooms or office breakrooms. Quick and straightforward to install, the Streamline requires only a cold water supply and mains electricity and with a range of safety features and requiring minimal maintenance it's an ideal choice for spots where small amounts of water are regularly required.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Streamline 7 under sink heater 7ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/20/D70520_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Streamline_Undersink_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Streamline_Taps_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Streamline_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD73810,Ariston Andris Lux Eco 3100721 oversink electric water heater 2.5kw 15ltr pack,Ariston,169.0,"Ideal for use in those places where safety is of utmost concern, the Ariston Andris Lux Eco 15L electric storage water heater with built-in anti-Legionella system is suitable for installation in schools, hospitals and care homes, as well as homes and light commercial premises. Extremely efficient, this 2.5kW storage water heater has a tough titanium enamelled tank and offers fast reheat times. With the Lux Eco's 'Eco Evo' function daily usage is remembered for comfort and savings of up to 15% on energy bills.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux Eco 3100721 oversink electric water heater 2.5kw 15ltr pack,,Unvented water heater;Wall bracket;Pressure relief valve set at 6 bar;2x dielectric junctions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/11/NW-D73809_D73811_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Ariston_AndrisLuxEco_15_2_5KW_EU_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_Andris_Lux_Eco_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Ariston_Unvented_Water_Heater_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Eco_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
