,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Connection Type,Operating Temperature,Range,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
0,PD70400,Heatrae Sadia Multipoint 10 water heater 10ltr 3kw,Heatrae Sadia,723.96,"Built for longevity, the ErP A-rated Heatrae Sadia Multipoint 10L unvented water heater includes a corrosion-resistant copper inner vessel, long life element and an outer casing of tough thermoplastic and painted steel. Simply connected to the cold water mains, the practical and user-friendly 3kW Multipoint is simple to install and requires minimal maintenance, providing reliable and safe handwash hot water without effort.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Heatrae Sadia Multipoint 10 water heater 10ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/00/D70400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Multipoint_10_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Multipoint_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Multipoint_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Multipoint_10_15_Pack_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD70461,Heatrae Sadia Multipoint 15 water heater 15ltr 3kw pack,Heatrae Sadia,665.26,"Built for longevity, the ErP A-rated Heatrae Sadia Multipoint 15L unvented water heater includes a corrosion-resistant copper inner vessel, long life element and an outer casing of tough thermoplastic and painted steel. Simply connected to the cold water mains, the practical and user-friendly 3kW Multipoint is simple to install and requires minimal maintenance, providing reliable and safe handwash hot water without effort.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Heatrae Sadia Multipoint 15 water heater 15ltr 3kw pack,,Water heater;Fixing bracket;Screw pack;Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/02/D70402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Multipoint_10_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Multipoint_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Multipoint_10_15_Pack_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD70471,Heatrae Sadia Hotflo 15 water heater 15ltr 2.2kW pack,Heatrae Sadia,302.99,"The Heatrae Sadia Hotflo 15L unvented water heater is the ideal handwash choice for small to medium commercial businesses, providing reliable hot water in washrooms with two or three sinks. Installed anywhere were there's no need for a cold water cistern, the 2.2kW Hotflo provides flexible, straightforward installation thanks to its compatibility with both standard and mixer taps. With a high-grade copper inner container and integral element, this reliable, functional handwash unit is built to last.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Heatrae Sadia Hotflo 15 water heater 15ltr 2.2kW pack,,Water heater;Pressure relief valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/70/D70470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Hotflo_10_15_Pack_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Hotflo_10_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD49990,Ariston Andris Lux 10 undersink electric water heater 2kw 10ltr pack,Ariston,90.0,"Tough and reliable, the titanium-enamel Ariston Andris Lux 10L undersink electric storage water heater is generously lagged with eco-friendly insulation for good heat retention. Harnessing smart shell technology, this 2kW water heater is highly resistant to pressure and corrosion while its attractive design ensures it blends in with its surroundings if left exposed after installation. Equipped with a variety of safety devices, the Andris Lux meets the very strictest standards, ensuring the ideal combination of hot water comfort and safe peace of mind.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Ariston Andris Lux 10 undersink electric water heater 2kw 10ltr pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/pk/D49990 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/AristonHT_WHeater_UcylinderCatalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Ariston_Andris_Lux_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD49991,Ariston Andris Lux 15 15L Under Sink 2kW pack,Ariston,110.0,"Featuring cutting-edge Italian design, the Ariston Andris Lux 15L unvented electric undersink water heater offers excellent hot water performance and simple, straightforward operation. This easy to install 2kW unit includes a tough titanium-enamel tank insulated with eco-friendly materials for high levels of efficiency and heat retention alongside reliable durability.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Ariston Andris Lux 15 15L Under Sink 2kW pack,,EP unvented water heater;Wall bracket;Pressure relief valve set at 6 bar;2x dielectric junctions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/93/D69990_D69993_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/AristonHT_WHeater_UcylinderCatalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Ariston_Andris_Lux_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD69990,Ariston Andris Lux 10 10L Under Sink 2kW,Ariston,212.33,"Featuring cutting-edge Italian design, the Ariston Andris Lux 10L unvented electric undersink water heater offers excellent hot water performance and simple, straightforward operation. This easy to install 2kW unit includes a tough titanium-enamel tank insulated with eco-friendly materials for high levels of efficiency and heat retention alongside reliable durability.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Ariston Andris Lux 10 10L Under Sink 2kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/93/D69990_D69993_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_AndrisLux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_ANDRISLUX_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_AndrisLux_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_AndrisLux_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD70402,Heatrae Sadia Multipoint 15 water heater 15ltr 3kw,Heatrae Sadia,829.28,"Built for longevity, the ErP A-rated Heatrae Sadia Multipoint 15L unvented water heater includes a corrosion-resistant copper inner vessel, long life element and an outer casing of tough thermoplastic and painted steel. Simply connected to the cold water mains, the practical and user-friendly 3kW Multipoint is simple to install and requires minimal maintenance, providing reliable and safe handwash hot water without effort.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Heatrae Sadia Multipoint 15 water heater 15ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/02/D70402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Multipoint_10_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Multipoint_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Multipoint_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Multipoint_10_15_Pack_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P112159,"Hyco Speedflow SF10K Hyco Speedflow, SF10K - 10L 2kW Unvented Water Heater",Hyco,140.0,"Supplying hot water to up to two units, the Hyco Speedflow SF10K 2kW unvented water heater is compatible with normal taps for ease of specification and operation. Providing mains pressure flow, this 10L water heater unit is designed for safety and convenience, incorporating features such as frost protection and a pressure relief valve.","Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Hyco Speedflow SF10K Hyco Speedflow, SF10K - 10L 2kW Unvented Water Heater",,SF10K;Pressure Relief Valve;Wall Mounting Brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/28/596328_wm.jpg,,,,,,,White,"Inlet/ Outlet 2 x 1/2 BSP male,  2 x 15mm compression to 1/2 BSP female adapter",Adjustable between approx. 50°C to 75,Speedflow,1 Year Parts or Replacement Warranty.,6.8,N,XXS,15 dB,2 kW,280,12 min,N/A,4.2,Adjustable between approx. 50°C to 75,Multi Point,Manual,No,B,IPX4,High Impact Plastic,60.92,7.25,Floor StandingWall Mounted,Inlet/ Outlet 2 x 1/2 BSP male (100mm apart centre to centre). Fittings required (not supplied): 2 x 15mm compression to 1/2 BSP female adapter.,SF10K,N,10 l,Can supply hot water to one or two basins depending on usage,"Compatible with regular taps, including mixer taps",Offers mains pressure flow rates,10L tank capacity,External temperature control,Includes frost protection setting,Cable is pre-wired,With glass lined tank,Pressure relief valve included,PRV requires on-site fitting,ErP B rated,IPX4 protection,1 year parts or replacement warranty
8,PD69087,Zip Aquapoint 5 AP450S smart universal water heater 50ltr,Zip,662.96,"Connecting directly to the mains water supply, the feature-packed Zip Aquapoint IV 50L smart universal unvented water heater is capable of delivering reliable hot water to multiple conventional taps. Designed to maximise efficiency, this large 2kW water heater incorporates a robust powder-coated steel casing and polyurethane foam insulation for less heat loss while an anti-Legionella function ensures an always healthy water delivery.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Zip Aquapoint 5 AP450S smart universal water heater 50ltr,,"Water heater, installation kit",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/89/D69086_D69089_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Aquapoint_IV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D69087_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD68982,Santon Aquaheat AH15/2.2 unvented water heater 15ltr 2.2kW pack,Santon,222.99,"The small 15L Santon Aquaheat AH15/2.2 is a cost-effective unvented water heater well-suited to handwashing, food preparation and dishwashing in canteens, workshops or other commercial premises With a robust copper inner container and expansion relief valve, the 2.2kW Aquaheat combines safety and reliability.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Undersink Water Heaters/Undersink Water Heaters.csv -> Santon Aquaheat AH15/2.2 unvented water heater 15ltr 2.2kW pack,,Unvented water heater;Pressure relief valve;Fixing screws ;plugs;Installation;User instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/nt/on/D68180_santon_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Santon_Aquaheat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aquaheat_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
