,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Fuel Type,Operating Temperature,Range,Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Mugs (250ml) per Tank,Antimicrobial Protection,Body Material,Controls,Eco Setting,Frequency,IP Rating,Material,Min Bar Pressure,Min Pressure (Psi),Water Connection,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Flow Rate,Watts,Projection,Tap Holes,Safety Lock,Water Options,Cartridge Type,Spout Type,Handle Type,Mounting Type,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Connection Type,Water Heating Declared Load Profile,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,ErP Rating,Max Pressure (Psi)
0,PD69521,Zip HydroBoil Plus 403562 Wall mounted water boiler 3Ltr,Zip,1220.18,"The technologically advanced Zip HydroBoil Plus 3L instant water heater is designed to minimise energy consumption without compromising on convenience. Its integral state-of-the-art technology maintains boiling water to within 0.5°C of the user-set temperature, while energy-saving Power-Pulse technology, inactivity and low-light sleep modes and timer settings help to ensure best-ever efficiency. Additionally, the cool-touch  two-way safety tap enhances insulation of the boiler. Located to the right of the tap, a safety lock makes restricting the use of boiling water simple, ensuring safety for curious fingers.",Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> Zip HydroBoil Plus 403562 Wall mounted water boiler 3Ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_5/23/D69521_523_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Zip_Autoboil_Hydroboil_Plus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_A5_AW_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD68915,Elson EBW 25 boiling water dispenser 2.5ltr,Elson,459.1,"Designed for office breakrooms and canteens, the 2.5L Elson EBW25 wall-mounted boiling water dispenser delivers generous amounts of boiling water on demand, filling cups with no time, energy or water wasted in boiling kettles. This 2.5kW unit is fast and simple to install with fittings included in the box.",Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> Elson EBW 25 boiling water dispenser 2.5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/15/D68915_wm.jpg,,,White,Electric,N/A,EBW,2 Year,56 kg,N,N/A,25 kW,190,16 mins,10,No,ABS,Electronic,No,50/60,IPX2,Thermoplastic,0.5,7.25,15 mm,93200001,Boiling Water Dispenser,N,2.5 l,"Includes heater, screws, plugs and instructions",14 cups or 167ml delivered at once,"Quick, easy installation",15mm connections,IPX2 rating,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PU48020,Lincat FilterFlow FX EB3FXHCPB countertop combined water boiler and chiller 3kW,Lincat,1852.56,This Lincat FilterFlow 108mm end feed coupling is a replacement part for the FilterFlow push button water boiler and chiller.,Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> Lincat FilterFlow FX EB3FXHCPB countertop combined water boiler and chiller 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/20/U48020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lincat_FilterflowEB3FXHC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ua/ls/Lincat_IS726_Instruction_manuals.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD70805,Heatrae Sadia Supreme 150 water boiler 150ltr White,Heatrae Sadia,1066.45,"Providing instant boiling water on demand, the 2.5L capacity Heatrae Sadia Supreme 150 water heater pack requires only a mains electrical connection and plumbing directly to the cold water supply for easy installation. Featuring Heatrae Sadia's smart Intelliboil Plus technology for energy efficient management of the boiling cycle and with an integrated water conditioner to decrease scaling, the 2.5kW, wall-mounted Supreme promises high levels of efficiency and convenience as well as clean and hygienic use thanks to a long-term antimicrobial surface.",Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> Heatrae Sadia Supreme 150 water boiler 150ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/07/D70805_D70807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Supreme_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Supreme_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_150_165_180_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD10754,HYDROTAP G5 CLASSIC B/C 160/175 T/F CHR,Zip,5570.96,"Designed for accessible use, the Zip HydroTap Classic offers a variety of functions designed to make day-to-day use simple for every user. Supplying fresh-tasting, MicroPurity filtered boiling and chilled water on demand, this tap combines an under-counter command centre with a smart, touchless chrome tap, providing instant delivery for users with visual impairments or limited dexterity. In addition, the HydroTap Classic offers a slanted design for a reduced risk of accidental dispensing, large convex buttons for ease of use and illuminated fascia panels, making it easier to see what you're doing. A range of safety features, including sputter-free delivery and a safety lock, provide users with peace of mind.",Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> HYDROTAP G5 CLASSIC B/C 160/175 T/F CHR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/54/D10754_wm.jpg,,,Bright Chrome,,,HydroTap G5,"2 Years Parts & Labour, 5 Year Boiling Tank",,N,,,,,,,,,,,,,,,,H51704Z00UKDT,HydroTap,N,,With 207mm height chrome tap,Under sink command centre,Filters to 0.2 micron,25x more effective than a standard water filter jug,With 2x boiling water safety modes,Cool-touch tap surface,,,,,4 L/min,1.9kW,N/A,35mm,Yes,"Boiling, Chilled",MicroPurity Filter,Fixed,Touch Free,Fixed tap in work top and free standing command center in cupboard with moveable touch free controller,Won't spit or spray,Fast operation with minimal energy use,Provides pure-tasting drinking water,Water-conserving air cooling technology,Uses zero-impact refrigerant R290,Energy saving sleep mode,With boiling isolation,Safety lock feature,Touch-free controller,Boiling point factory set to 98°C'Boiling capacity 160 cups/hr,Chilled capacity 175 glasses/hr,2 parts and labour year warranty,5 year warranty on boiling tank,,,,,,,,
5,PD68286,Heatrae Sadia Hotflo 50H horizontal unvented water heater ERP 3kW 50ltr,Heatrae Sadia,1032.11,"Perfect for installation in light commercial settings, the 50L capacity Heatrae Sadia Hotflo 50H horizontal unvented water heater provides useful handwashing, pot-filling and tea-making facilities in canteens, washrooms and kitchens. Manufactured from robust stainless steel and featuring inbuilt pressure and temperature control, this safe, reliable 3kW water heater offers generous, convenient delivery with minimal maintenance requirements.",Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> Heatrae Sadia Hotflo 50H horizontal unvented water heater ERP 3kW 50ltr,,Water heater;Wall mounting brackets;Literature pack;Expansion vessel (including bracket);Tundish;Pressure reducing valve;Expansion (pressure) relief valve;Check valve;Compression nuts;Copper olives,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/lo/_h/Hotflo_H_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Hotflo_50_100_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Hotflo_Horiz_50_100_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD68881,Heatrae Sadia Supreme 165SS supreme pack 5ltr 2.5kW Stainless steel,Heatrae Sadia,875.99,"The clean, hygienic Heatrae Sadia Supreme 165SS 5L capacity water boiling unit pack has antimicrobial, fingerprint-resistant stainless steel outer casing, making it ideal to deliver on-demand hot water in hospital, clinical and kitchen settings. Straightforward to install and easy to use, the 2.5kW, wall-mounted Supreme is an efficient, safe alternative to kettles, ensuring heat-up steam is condensed and retained, guarding against scalds.",Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> Heatrae Sadia Supreme 165SS supreme pack 5ltr 2.5kW Stainless steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/83/D68880_D68883_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_SS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_150SS_165SS_180SS_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PV06051,Instanta SureFlow wall mounted boiler 7ltr White,Instanta,907.41,"Enjoy the convenience of an instant cuppa with the Instanta SureFlow water boiler. Designed to be easily fitted with a simple connection to a potable cold water supply, this 7L capacity water boiler is constructed from impact-resistant stainless steel and contains a range of useful features including an ECO mode, a programmable timer and a filter change indicator as well as a handy diagnostics indicator for easy issue detection.",Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> Instanta SureFlow wall mounted boiler 7ltr White,,Main boiler unit;Boiler case;Paper mounting template;Fitting kit;Instruction booklet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/51/NW_V06051_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Instanta_wmsp_spare_parts_drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Instanta_wmsp7w_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Instanta_sureflow_premium_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD69512,Zip EconoBoil 403542 Wall mounted water boiler 3Ltr,Zip,791.05,"Thermostatically controlled, the Zip EconoBoil 3L instant water heater offers affordable reliability, delivering generous levels of boiling water at a constant temperature from a attractively designed command centre. With patented twin chamber Steam-Heat-Boost technology, the EconoBoil recycles energy from steam to preheat incoming cold water which, along with the insulated drinking water tank, improves overall efficiency.",Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> Zip EconoBoil 403542 Wall mounted water boiler 3Ltr,,Instant water heater only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_5/13/D69512_513_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Econoboil_Hydroboil_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_A5_AW_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD68150,Santon Speediboil SP2.5 water boiler 2.5kw,Santon,724.52,"Ideal for use in canteens, offices, workshops and salons, the commercial grade Santon Speediboil SP 2.5L boiling water heater provides instantaneous hot water direct from the wall. Supplying over 150 cups of boiling water an hour on a 2.5kW output, this efficient unit is ideal for busy breakrooms, saving wasted time, electricity and water.",Water Heating and Storage/Water Heaters/Water Boilers/Water Boilers.csv -> Santon Speediboil SP2.5 water boiler 2.5kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/52/D68150_D68952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Speediboil_Issue_4_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/rd/Santon_Warranty_Card.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Speediboil_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
